symbol,date,open,high,low,close,volume
HES,2025-07-18,0.0,0.0,0.0,0.0,104703
JNPR,2025-07-02,0.0,0.0,0.0,0.0,0
K,2025-12-11,0.0,0.0,0.0,0.0,0
