root,pairs,median_bp,abs_median_bp,abs_p95_bp,window
AAPL,230,2.5210377996958373,5.054115767993502,37.061443351498575,2025-06
JNJ,173,2.3660562710512822,8.262924607534558,52.461343726593086,2025-06
MOH,49,-9.264021109512816,19.4974394128743,65.87341922160944,2025-06
NVDA,538,0.4039808433234847,2.9581207428224694,51.97349904240135,2025-06
NWSA,9,-2.1348198683216966,2.809930420064876,20.410980551425656,2025-06
