series,mean,median,p25,p75,share_positive,share_above_one
implied_move,0.06159557616351224,0.05811557744648402,0.046416260549150115,0.07272069464544138,1.0,
realized_move,0.03332918000288801,0.028306011397389252,0.012900024807739996,0.04932593180015843,0.9982785602503912,
move_ratio,0.5690042211330925,0.4810810810810813,0.22733812949640414,0.8281355932203395,,0.16306729264475744
iv_crush,-0.236563227678025,-0.23383777616029638,-0.34607072691552065,-0.13236407693472674,0.0611947547353084,
iv_runup_rise,0.15292343112252454,0.12997170231867283,0.04681610791509638,0.23449569631427924,0.8685235683677445,
