side,effective_spread,series,events,months,event_mean,event_median,share_positive,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
long,0.0,print_straddle,10317,108,-0.07956701758699038,-0.13732193732193732,0.3005718716681206,-0.0955444949521486,0.06477662424110651,-15.328485074306736,-0.27557876704349443,0.06522797135546216,-1.4749841639866923,-0.10309731594458105,-0.1149467869643469
long,0.0,print_hedged,10317,108,-0.08003673301623832,-0.13132350877192975,0.29776097702820586,-0.09532933991158908,0.062271219885929166,-15.909300683173424,-0.2760460071054444,0.06538838352687733,-1.5308731720081454,-0.10232363156441193,-0.1133764599222088
long,0.0,runup_straddle,10317,108,0.009815486364220766,-0.02281368821292773,0.42551129204226035,0.012203597128535684,0.049592615887092815,2.557306149348746,-0.07256736433788785,0.16126178934424198,0.24607689895446397,0.008707955811091628,0.004302475567630415
long,0.0,runup_hedged,10317,108,0.008726210326366321,-0.0222877837837837,0.43055151691383153,0.01056592015839289,0.05147985732383449,2.1329558582027808,-0.08167894947107594,0.16032460599833473,0.20524377315049414,0.006812492893215394,0.002117608503548807
long,0.25,print_straddle,10317,108,-0.11756071132672602,-0.1715376716724425,0.25899001647765824,-0.13169463179006088,0.06552355626587053,-20.88730890175505,-0.31925157045638974,0.03403481420657627,-2.0098822361791906,-0.13965918422695434,-0.1518995902745165
long,0.25,print_hedged,10317,108,-0.11803599863013486,-0.16542795797868248,0.2526897353881942,-0.13150127595592828,0.06325134197011732,-21.605887001424605,-0.3227939554986377,0.03397817996555265,-2.079027446058855,-0.1389561292208551,-0.15056620360501438
long,0.25,runup_straddle,10317,108,-0.020457387960808975,-0.04965217476623596,0.3523311040031017,-0.016942144135327894,0.05158436609594305,-3.4132032612707666,-0.14111425840305572,0.14155351799705726,-0.3284356369489309,-0.020910179010012353,-0.02609599877750135
long,0.25,runup_hedged,10317,108,-0.02152735678247636,-0.048414491427000675,0.35204032179897254,-0.018552298566895414,0.05344603107714022,-3.6073986862003884,-0.15017670829653432,0.13760284004243922,-0.3471221004253494,-0.022802419053683298,-0.028331951997032312
long,0.5,print_straddle,10317,108,-0.15277778619361448,-0.20399098809140637,0.22341766017253079,-0.1652913401047991,0.06811100280879953,-25.219978033476135,-0.3593117231113318,0.004180671777080917,-2.4267935177639823,-0.17416481178064847,-0.18752598776937512
long,0.5,print_hedged,10317,108,-0.15325568946262352,-0.198942493023256,0.21828050789958323,-0.1651158706418459,0.06611006204658125,-25.955723068552484,-0.3631269736913174,0.003925604780688999,-2.4975906167733593,-0.17352917811914004,-0.18642855184627705
long,0.5,runup_straddle,10317,108,-0.049088023507225055,-0.07315057170409145,0.29911796064747503,-0.04457387260064421,0.05485379033991628,-8.444726778879057,-0.20238676424247912,0.1223835400286958,-0.8125942131697774,-0.04930244549030327,-0.055783595974112976
long,0.5,runup_hedged,10317,108,-0.05014096531859207,-0.07181339855778358,0.292817679558011,-0.0461583637492784,0.05663298236908305,-8.470184107942126,-0.21103173144963028,0.1155284245658819,-0.8150438458010127,-0.05119156075099407,-0.058072799968882594
long,1.0,print_straddle,10317,108,-0.21660914243222504,-0.2617104751877062,0.17611708830086265,-0.22637314346312418,0.07580925103159136,-31.032343462975295,-0.4270678254127799,-0.05193700213354983,-2.9860886419889514,-0.23818183995849151,-0.25555442472698797
long,1.0,print_hedged,10317,108,-0.21708741352178268,-0.25624792834463556,0.1700106620141514,-0.2262255537472114,0.07430762078803821,-31.638812996982683,-0.4312876012515586,-0.05254062824154351,-3.0444462001080304,-0.23767448614033349,-0.25492031341084564
long,1.0,runup_straddle,10317,108,-0.10226602200296149,-0.11815126050420166,0.22138218474362703,-0.09606158881406356,0.06299208436566722,-15.848043844610366,-0.30711920495207334,0.085519674034525,-1.524978729969131,-0.10298265055344025,-0.11344538082936151
long,1.0,runup_hedged,10317,108,-0.10328955847933277,-0.11579433218522728,0.2108170979936028,-0.0975991361925985,0.0645643298107077,-15.7096027936199,-0.31509967693385854,0.07316381009276067,-1.5116572336264245,-0.1048668137728147,-0.11585489289150208
short,0.0,print_straddle,10317,108,0.07956701758699038,0.13732193732193732,0.6967141610933411,0.0955444949521486,0.06477662424110651,15.328485074306736,-0.06522797135546216,0.27557876704349443,1.4749841639866923,0.09010493747302029,0.08332614259908588
short,0.0,print_hedged,10317,108,0.08003673301623832,0.13132350877192975,0.7022390229717941,0.09532933991158908,0.062271219885929166,15.909300683173424,-0.06538838352687733,0.2760460071054444,1.5308731720081454,0.09031196924992813,0.08407681707513648
short,0.0,runup_straddle,10317,108,-0.009815486364220766,0.02281368821292773,0.5684792090724048,-0.012203597128535684,0.049592615887092815,-2.557306149348746,-0.16126178934424198,0.07256736433788785,-0.24607689895446397,-0.016084475372268203,-0.021709625941638278
short,0.0,runup_hedged,10317,108,-0.008726210326366321,0.0222877837837837,0.5694484830861685,-0.01056592015839289,0.05147985732383449,-2.1329558582027808,-0.16032460599833473,0.08167894947107594,-0.20524377315049414,-0.014771062245925615,-0.020942946749296087
short,0.25,print_straddle,10317,108,0.03811431925208159,0.10173791988503689,0.6475719685955219,0.056233538060646814,0.06705462907806474,8.715223364848375,-0.1029768731526786,0.25334064691552,0.8386227592904876,0.05023062997518335,0.042822749468551136
short,0.25,print_hedged,10317,108,0.03857328753936943,0.09432952853598008,0.6503828632354367,0.05599085046808728,0.06442726912202382,9.03148611679096,-0.09828476644307638,0.25180105142490816,0.8690551567852713,0.050454541172101575,0.043646020130046814
short,0.25,runup_straddle,10317,108,-0.04204808064033399,-0.004106458651913059,0.4867694097121256,-0.04315436977295043,0.04981884515211843,-9.002082740432979,-0.19339063810884305,0.04091091406431227,-0.866225815576044,-0.047248906572841864,-0.05330782642531828
short,0.25,runup_hedged,10317,108,-0.04093628813284617,-0.005628652638274111,0.48095376562954345,-0.041486848178936137,0.05162110403820405,-8.352087414321842,-0.20027378040766539,0.050227740597794945,-0.803679986159,-0.045915674414802266,-0.05257241931096557
short,0.5,print_straddle,10317,108,-0.007914865919930458,0.06218487394957972,0.5892216729669477,0.01277292258793967,0.07394617919828506,1.7950907908952844,-0.15947709944793037,0.23010174565238847,0.1727326918905351,0.0051023810849244455,-0.0045040705385048785
short,0.5,print_hedged,10317,108,-0.0074768146464731814,0.05607507002801109,0.5867984879325385,0.01249339927369483,0.07137798981043562,1.8189810914052826,-0.15392128558732485,0.2299906825060469,0.17503153712894653,0.005337822267996728,-0.0036168688948325922
short,0.5,runup_straddle,10317,108,-0.07673747975704319,-0.03244680260939026,0.4067073761752447,-0.07637082576708022,0.05355379342989132,-14.820031445698666,-0.25169098756686364,0.020650262486909546,-1.4260581907621406,-0.08130523678721391,-0.0887015231081939
short,0.5,runup_hedged,10317,108,-0.07559854200947858,-0.033137520338431564,0.39594843462246776,-0.07467046122798963,0.05511300432165487,-14.080128738762596,-0.25840527305888,0.029121095759498998,-1.3548610195915285,-0.07994065235403769,-0.08797619609522211
short,1.0,print_straddle,10317,108,-0.12800561821798623,-0.01617888534724221,0.480566056024038,-0.099022861385263,0.11801200648517295,-8.72009376698504,-0.4777165499844406,0.18201239857220947,-0.8390914139545984,-0.12556631369921556,-0.17496924618906162
short,1.0,print_hedged,10317,108,-0.12775038334684194,-0.020017269977499343,0.4732965009208103,-0.09946702129933287,0.11630000529776087,-8.888147552197774,-0.48041725065702034,0.183245994593364,-0.8552623969764163,-0.12549504996956162,-0.17496405262085557
short,1.0,runup_straddle,10317,108,-0.1599909223492852,-0.08887159533073907,0.266550353785015,-0.1554462334496145,0.08360248602014145,-19.322925931777657,-0.42449705507573016,-0.01702588856434719,-1.8593494147071716,-0.170129189639738,-0.19650824683712753
short,1.0,runup_hedged,10317,108,-0.15880816611702042,-0.08978799433489483,0.25550063002810897,-0.1536787530604164,0.0841773483597732,-18.97275788779832,-0.41221823908602495,-0.017778801877142203,-1.8256544789649924,-0.16843069147040401,-0.19420853109863567
