sort,effective_spread,series,events,months,event_mean,event_median,share_positive,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
implied move,0.0,print_straddle,4299,108,0.15389050176611777,0.17288135593220344,0.7773900907187719,0.17911599500655992,0.08844571957151029,21.045993314494837,-0.009270074880686721,0.41199425322641153,2.025151650914443,0.16961542058825185,0.15783257443047383
implied move,0.0,print_hedged,4299,108,0.15446484535893434,0.16656800000000002,0.7864619678995115,0.18038075563005723,0.08809866960578627,21.27809431336099,0.012452188266555678,0.416617387736522,2.0474855799435354,0.17106461370027315,0.15973465695436717
implied move,0.25,print_straddle,4299,108,0.11745382028051425,0.13924553358891478,0.7285415212840195,0.1452508412497362,0.09350062332255323,16.144181372060252,-0.04052467076937992,0.40219224297363065,1.5534745768341882,0.1344559829605967,0.12137486478880932
implied move,0.25,print_hedged,4299,108,0.1180358075471146,0.13057532728141424,0.7357525005815306,0.14653568606622966,0.09344029521828931,16.297503307052537,-0.012472506637645469,0.40653365736184927,1.5682279869075997,0.13585624800027984,0.1231003607335528
implied move,0.5,print_straddle,4299,108,0.07741472087567845,0.10458494582620248,0.6680623400790882,0.10815763394430206,0.10150442793974568,11.073478528198093,-0.07491524767642765,0.3947146190018206,1.065545968186785,0.09513490135230507,0.07963298288475262
implied move,0.5,print_hedged,4299,108,0.07800252668099202,0.09394525751683593,0.6680623400790882,0.10946143390914334,0.10180239538742715,11.174163296165084,-0.10330613246645474,0.3991206994836417,1.0752343645016245,0.09642604729279092,0.08094146994931695
implied move,1.0,print_straddle,4299,108,-0.024244103043527074,0.030958342818119933,0.5440800186089788,0.015786899654166825,0.14006560402082519,1.1713245012362765,-0.3684903212480594,0.3794442326952608,0.1127107526828614,-0.014235095593923663,-0.05951811002928231
implied move,1.0,print_hedged,4299,108,-0.02374837921343961,0.025092071281288205,0.5350081414282392,0.01706778759075069,0.14176544309744016,1.251176928625179,-0.3945816738307664,0.3839833934920168,0.12039455609093272,-0.014432826157078305,-0.06565611036268515
iv level at entry,0.0,print_straddle,4299,108,0.16274199987060428,0.20772946859903396,0.763898581065364,0.18647698615004768,0.086895862977202,22.301702524476188,0.01685925737242927,0.4523033856958225,2.1459823259822137,0.17754838620712787,0.16677060668886545
iv level at entry,0.0,print_hedged,4299,108,0.1633065016055433,0.2043625507246377,0.7708769481274715,0.18745807717038734,0.08572355004740963,22.72562770221551,0.033043795538429135,0.4535174945715233,2.186774545229557,0.17881974608941253,0.16849743447496301
iv level at entry,0.25,print_straddle,4299,108,0.12707498009650034,0.1740212363615532,0.7264480111653873,0.15353302290651383,0.09223565455764851,17.298754863663508,-0.010091014577449264,0.44439266975153685,1.6645734628635789,0.14330892266775708,0.13122398646190803
iv level at entry,0.25,print_hedged,4299,108,0.12762263322108272,0.17017432006152422,0.7308676436380553,0.1545283078251942,0.09131123182928935,17.587160418201275,-0.003621436599629456,0.44552379120008706,1.6923253002882728,0.1445541319235657,0.1328526860908601
iv level at entry,0.5,print_straddle,4299,108,0.08765883087774125,0.14175762416067672,0.6822516864387067,0.11733122349655369,0.10095820548061683,12.077689343394733,-0.0461408158842693,0.43626872033385744,1.162176198932937,0.10477055447670858,0.09014809979914595
iv level at entry,0.5,print_hedged,4299,108,0.08817536425363232,0.13221483661675285,0.6836473598511281,0.11833535880662452,0.10036916931977093,12.252538613643354,-0.042305908807413535,0.4373114796167518,1.1790010778072124,0.10594252348232014,0.0915297820197658
iv level at entry,1.0,print_straddle,4299,108,-0.01445276396075817,0.07039845376152232,0.5810653640381485,0.025761879621249987,0.1454989549422279,1.8400496864130262,-0.46512085552834076,0.4193212248595753,0.17705886362880785,-0.008823098949406472,-0.07763908572065081
iv level at entry,1.0,print_hedged,4299,108,-0.014235337230480224,0.062009131204225916,0.5796696906257269,0.026659564030117402,0.14640039278456568,1.8924424393757693,-0.4810710975865096,0.4201692170939046,0.1821003586332454,-0.009315526344699565,-0.08612908390696938
iv rise into print,0.0,print_straddle,3458,108,0.1349424814380874,0.2001381215469613,0.7359745517640255,0.15289209944400445,0.08571781689066667,18.536418256008343,-0.11580180850380338,0.4603327099000293,1.7836676783196517,0.14355307679910667,0.13073095030067372
iv rise into print,0.0,print_hedged,3458,108,0.13496752728077574,0.1947210810341836,0.742914979757085,0.15188288245094414,0.08686639542469982,18.17058492542756,-0.17054714776355126,0.45192429950552626,1.7484653496714262,0.1420518348886417,0.12734901761963213
iv rise into print,0.25,print_straddle,3458,108,0.09644676096217895,0.16695768563046803,0.7006940427993059,0.11541800410360364,0.08878950663486003,13.509018449967188,-0.17266168344539432,0.4477464530462067,1.2999059064293628,0.10499615573924137,0.09008163741695663
iv rise into print,0.25,print_hedged,3458,108,0.09643474473640345,0.16032975894983564,0.7044534412955465,0.11436431185181659,0.09029110146852798,13.163077788061493,-0.22864046577581956,0.43925898737135505,1.266617750716881,0.10321570830342597,0.08542719243272745
iv rise into print,0.5,print_straddle,3458,108,0.05348621734383041,0.1253609054176677,0.6518218623481782,0.07358322954831367,0.09607829737290277,7.959126815165304,-0.23320848694381224,0.4347629487457242,0.7658673348750095,0.060783122518678345,0.04159960297298593
iv rise into print,0.5,print_hedged,3458,108,0.05342837687779301,0.12057291263734848,0.6547137073452863,0.07248013686307987,0.09793190260476077,7.691422891663338,-0.2904964868933415,0.42619404782408066,0.740107512825513,0.05862825592723997,0.03521849535365029
iv rise into print,1.0,print_straddle,3458,108,-0.0588468418324674,0.050093467150057414,0.5561017929438982,-0.037171391557557464,0.15082556453119386,-2.5612132385850543,-0.6766156862573943,0.40750698130164836,-0.24645285879151904,-0.09312065047024742,-0.3198974158734187
iv rise into print,1.0,print_hedged,3458,108,-0.05905091892267684,0.0431242667404229,0.5491613649508387,-0.038370056496616255,0.15299668236344613,-2.606287390607077,-0.6834949164135571,0.3987674186993383,-0.2507901210920872,-0.0975643765175469,-0.333155209169402
