month,events,print_straddle,print_hedged,runup_straddle,runup_hedged,move_ratio,iv_crush
2017-01-01,125,-0.033458306709363596,-0.04513757333283191,-0.05621465452151451,-0.05338008175823488,0.6275604721574363,-0.24030522406393875
2017-02-01,146,-0.03377848146492253,-0.048870659903255294,-0.004848646485718934,-0.015449822276744025,0.6130294868465236,-0.2324265227919657
2017-03-01,23,-0.06635886512674131,-0.05757687608123905,-0.00328749185787926,0.004785565110936113,0.7226756908745117,-0.3475194358967306
2017-04-01,164,-0.07077994361308686,-0.06622456365880443,0.006660750910240444,-0.004845119527177968,0.5910111884872481,-0.24797033532437832
2017-05-01,110,-0.09516440212996183,-0.08704566884444728,0.02171889918281379,0.02450978940050403,0.5946349352516397,-0.290657776820179
2017-06-01,19,-0.10368477554714413,-0.10666082808449813,0.06218671254590096,0.06865335825881885,0.683360673637837,-0.36640850209429676
2017-07-01,180,-0.05994248906366044,-0.05453262066250663,-0.015344246244699388,-0.013729966425262075,0.6344763422369529,-0.25960422618746903
2017-08-01,105,-0.0926720063072344,-0.08928556310189566,0.02895491640081855,0.015674443413923947,0.6247176375786896,-0.2965943361210279
2017-09-01,16,0.000018767443457856636,-0.023992848025333136,0.020778937893496354,0.013203237072632565,0.7956194138508004,-0.3179841604459341
2017-10-01,191,-0.07382696239148641,-0.06950104212334911,0.06455973660369563,0.062245920313318756,0.5984199639493792,-0.2516998705510466
2017-11-01,95,-0.10033621268448119,-0.1151400285792506,0.04967027439292892,0.034745243102823065,0.6102553953292658,-0.3226061575105135
2017-12-01,18,-0.2537144936276205,-0.258196381228072,0.01988425269657006,-0.00029014071749769525,0.4998786739425742,-0.4262379886087954
2018-01-01,128,-0.06779494172984682,-0.06810913250897538,0.10225189667028545,0.09145367710788908,0.5993382083548936,-0.24871876824017627
2018-02-01,160,-0.07712866745726095,-0.07410790992852914,0.09390066502652102,0.12152362442802676,0.5681230327885005,-0.21929098809451072
2018-03-01,24,-0.11420567841783386,-0.10975210362149179,0.049293510751855917,0.06433838440320694,0.6009441909890075,-0.2715142325947432
2018-04-01,173,-0.0524531811144388,-0.04694972033545696,-0.011696732311626289,-0.0070429914329205355,0.6279209517577533,-0.2399042139297894
2018-05-01,123,-0.10191800317390759,-0.0904653427073999,-0.028697089590681697,-0.02861931259085946,0.5940124739105381,-0.2633775641966093
2018-06-01,16,0.06522797135546216,0.06538838352687733,0.05379749758572689,0.06435633648052824,0.8906327831052383,-0.2979216560523071
2018-07-01,214,-0.0001900135274554908,0.0013667670069980053,-0.008618395306222042,-0.01497276354609318,0.705630125109185,-0.23810683048748832
2018-08-01,103,-0.12630359432443294,-0.1310506654819096,0.013188915640871176,0.004951627880682905,0.6121488154837389,-0.3242474241878382
2018-09-01,15,-0.10637672730404776,-0.07539451547153388,-0.02144872197225485,-0.020237207820564207,0.6871586818050657,-0.334659590182009
2018-10-01,202,-0.003998556716005336,0.004695877442428817,0.1341805993194347,0.16032460599833473,0.6209229111121272,-0.17348813839100216
2018-11-01,96,-0.08293848278876889,-0.06877363277600392,0.007511465121990809,0.010969179059300949,0.6403999142536227,-0.27153664380912407
2018-12-01,17,-0.05607371930948284,-0.055565102299587166,0.05414960069541471,0.06077921964123717,0.6907742451642245,-0.31297405368009995
2019-01-01,132,-0.06469672447295564,-0.07788189333959268,0.023936006025089267,0.008812840917829986,0.6229793038646092,-0.2632228066158112
2019-02-01,175,-0.08951867045298373,-0.09344746146080601,0.01829922202401342,0.0025271524476828946,0.5733725983407448,-0.2705121143670821
2019-03-01,23,-0.056868348327567445,-0.05899310837588399,0.03688762642560254,0.027031900815256697,0.7811815644015165,-0.39738828774540064
2019-04-01,194,-0.10534824359435067,-0.09568432187840994,0.02308190859438414,0.02332140381226076,0.5844586837760056,-0.2851609728751003
2019-05-01,130,-0.13202205390213462,-0.12708330566844941,-0.009045405177633083,-0.006590371837876982,0.5616684158773947,-0.29985880939514364
2019-06-01,18,-0.08014725751495236,-0.09612816290548347,0.002635326740617812,0.004023149052335749,0.6873679657630629,-0.3339165133528268
2019-07-01,218,-0.02309794560381919,-0.03009292377614482,0.015791891672018176,0.024195291183273807,0.6463623898152477,-0.23767350303543622
2019-08-01,103,-0.0999533023877325,-0.10729447614570836,0.11441079962003402,0.13501567500246642,0.5688274692449569,-0.2767725639924955
2019-09-01,14,-0.2271693331369507,-0.22628435262115681,0.07158935310345806,0.058260767250166046,0.5186719333290706,-0.4000838452052414
2019-10-01,219,-0.11013139432085307,-0.1050164675804448,0.03620207344743071,0.032091254687879454,0.5743081250791141,-0.27195498454730155
2019-11-01,90,-0.14673233973401645,-0.14751997532015074,0.02480049883983708,0.01809093691725511,0.5667258672357609,-0.326883576972754
2019-12-01,20,-0.23677611678316382,-0.23243988578383062,0.004097954256407588,-0.004729890297012649,0.5725860231564981,-0.4260139984013127
2020-01-01,142,-0.02719747229520609,-0.02449718867835822,0.07227122646513374,0.07052027953942169,0.6817303415247773,-0.25007005342619426
2020-02-01,169,-0.046861441752223475,-0.044614076848966296,0.05612663585848301,0.06314632761926978,0.660276391794336,-0.2545959189756897
2020-03-01,22,-0.13772472986812645,-0.1479766934603238,0.13885739658203802,0.14588327634324075,0.38283073592559097,-0.19652740385267856
2020-04-01,169,-0.10663654492587099,-0.10604582713295892,-0.07173513616335947,-0.08129975815928556,0.3798443706689239,-0.1602944844079992
2020-05-01,142,-0.12429581612849115,-0.12329991333334184,-0.07250459534748778,-0.07548526612471691,0.4157550118667585,-0.1872440485341418
2020-06-01,16,-0.0774157160583927,-0.08356126797026353,-0.009961254674687255,-0.02243590636237585,0.59135032078341,-0.22611827747421473
2020-07-01,224,-0.12395405899260581,-0.12013691633099313,-0.07256736433788785,-0.08167894947107594,0.40520042657728045,-0.1929782353691689
2020-08-01,112,-0.0666919121622419,-0.07178860380147808,-0.030902703800174354,-0.037588017828923154,0.4828866514685304,-0.1752993835295523
