sort,tercile,sort_mean,series,events,months,event_mean,event_median,share_positive,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
implied move,1,0.043038860478485874,print_straddle,4223,108,-0.012189900750456343,-0.09733124018838302,0.36443286762964716,-0.021266111185626317,0.0923512940332212,-2.3930786528879673,-0.30758922069978795,0.3002680170416696,-0.23027410073946916,-0.034924367138728485,-0.05648947252853065
implied move,1,0.043038860478485874,print_hedged,4223,108,-0.012341340071545501,-0.09517281553398058,0.3592233009708738,-0.02004789210978136,0.09218365498986031,-2.260094876209018,-0.317991028457217,0.30597941121131694,-0.2174777308622284,-0.033561540327763706,-0.055109513990644565
implied move,1,0.043038860478485874,move_ratio,4223,108,0.6254113343409989,0.5086705202312126,0.997632015155103,0.6501864701479837,0.14552890584032083,46.43019862703409,0.40124579050627346,1.2178210572438561,4.46774794597432,0.6331118145687051,0.6139968285775177
implied move,2,0.05901212707033127,print_straddle,4258,108,-0.05961217551980746,-0.11653463577342299,0.32480037576326914,-0.07671510240259861,0.09005203982423124,-8.853177917690841,-0.3677510651498707,0.2849785412279898,-0.8518974423270763,-0.09069463868770988,-0.11379314025382337
implied move,2,0.05901212707033127,print_hedged,4258,108,-0.05937337089297336,-0.10746674350519286,0.33090652888680133,-0.07553962400813609,0.08924035192843557,-8.79681426211752,-0.35433322497788333,0.2774271638071528,-0.8464738470407815,-0.0890270667801335,-0.11060859584064198
implied move,2,0.05901212707033127,move_ratio,4258,108,0.5899198967260753,0.5208498264980729,0.9988257397839361,0.6040940050799748,0.12882165367470017,48.73349221188173,0.3411059882719948,1.1040602035843698,4.689382474513408,0.589802176973871,0.5723936047881526
implied move,3,0.08238304687219586,print_straddle,4299,108,-0.15389050176611777,-0.17288135593220344,0.2212142358688067,-0.17911599500655992,0.08844571957151029,-21.045993314494837,-0.41199425322641153,0.009270074880686721,-2.025151650914443,-0.19473615905976005,-0.2187901326749655
implied move,3,0.08238304687219586,print_hedged,4299,108,-0.15446484535893434,-0.16656800000000002,0.2135380321004885,-0.18038075563005723,0.08809866960578627,-21.27809431336099,-0.416617387736522,-0.012452188266555678,-2.0474855799435354,-0.19615450668178835,-0.22105151603513862
implied move,3,0.08238304687219586,move_ratio,4299,108,0.4928781020933368,0.4261022927689617,0.998371714352175,0.49489938353250484,0.11008028077341335,46.7217672896694,0.24536440986984412,0.882439369726985,4.495804153617613,0.48274057315086516,0.4661292783758255
implied move,3-1,,print_straddle,,108,,,,-0.1578498838209337,0.11738792800793002,-13.974385103461346,-0.5695458485344234,0.07798920589175001,-1.344685833540484,-0.1901113650292161,-0.2619603848377994
