date,gross_pnl,vega_pnl,spread_cost_full,hedge_cost,positions,names_today,mean_iv,mean_relative_spread,net_vega,net_hedge_notional,gross_premium,long_pnl,short_pnl,net_pnl_25,net_pnl_50
2017-03-30,-62.603326948216775,-377.77777777777385,169902.21945098552,100.325879857566,36,171,0.2399888888888889,0.15843920534691153,0.0,-30371.940163045278,483054.99439702,-855.0225561424833,792.4192291942663,-42638.484069552156,-85114.03893229854
2017-03-31,-4103.278396385018,-10907.894736842103,173993.08869773333,92.33891556311872,38,185,0.2564026315789474,0.18780771866416054,0.0,-46170.273909730604,515700.9864715254,-8802.064220754402,4698.785824369385,-47693.889486381464,-91192.1616608148
2017-04-03,-2509.680892340586,-4440.000000000002,168262.7614393263,85.75889258955235,40,191,0.25745625000000005,0.16435215051131424,5.684341886080802e-14,1336.383674394605,517446.2544913262,-2912.233252672701,402.5523603321153,-44661.130144761715,-86726.8205045933
2017-04-04,-2727.229270543303,-4097.500000000018,232018.00456595095,94.18916870132622,40,194,0.27461,0.14337170808806945,1.1368683772161603e-13,105422.5421906571,552250.0142273313,2980.5034453880266,-5707.732715931329,-60825.91958073237,-118830.42072222011
2017-04-05,4771.921171519814,1684.2105263158003,213292.26762045742,98.49772692018189,38,189,0.2684907894736842,0.19811439204718817,0.0,-30327.99038765092,540850.6077525602,1562.1163281764377,3209.8048433433764,-48649.64346051473,-101972.71036562907
2017-04-06,4366.003751102463,2969.999999999998,172147.36050539435,101.01625147701893,40,195,0.25475250000000005,0.16237367364840233,-5.684341886080802e-14,119121.91451257064,512452.4835358687,1544.5533847673782,2821.4503663350847,-38771.85262672314,-81808.69275307174
2017-04-07,-2242.4473081381943,-7139.99999999998,158105.44281842883,97.64006943257975,40,196,0.266585,0.14953011377407097,-5.684341886080802e-14,-25748.22708829767,537040.1594897615,-6860.425274043368,4617.977965905173,-41866.44808217798,-81392.80878678519
2017-04-10,-9853.622550494933,-10802.499999999987,173595.44168536592,110.31500943580085,40,197,0.29116625,0.13577765584777432,1.1368683772161603e-13,54463.960584998866,587976.8880932545,3813.7059682757867,-13667.328518770719,-53362.79798127221,-96761.6584026137
2017-04-11,4336.036781894937,4157.499999999986,182805.99836278762,113.9123642683674,40,198,0.27422375,0.16211352993887584,-5.684341886080802e-14,22294.02624603711,553300.975389109,-1077.6317677857164,5413.668549680654,-41479.37517307034,-87180.87476376725
2017-04-12,1361.0967781184622,4425.6410256410245,172802.17869309537,125.85273947783489,78,384,0.2539839743589744,0.16878949646362762,0.0,-97873.35482746962,514465.704219131,-2486.58970514767,3847.686483266132,-41965.30063463322,-85165.84530790706
2017-04-13,5557.060902053753,2683.3333333333253,161157.18757427746,134.7429454758083,84,412,0.2450244047619048,0.16806200997860984,0.0,-32675.981494398984,497965.19456790463,-10483.559408369945,16040.6203104237,-34866.97893699142,-75156.27583056079
2017-04-17,-2434.96990977403,-2009.302325581389,111198.99181851874,209.22340798406594,86,424,0.23562383720930236,0.11846946646880162,-1.9895196601282805e-13,268669.97912781086,486710.0283231851,-2533.106968668089,98.13705889405927,-30443.941272387783,-58243.689227017465
2017-04-18,2991.1738155026123,1901.162790697665,117845.48506924404,211.32562182035758,86,429,0.24051976744186046,0.1170594578634495,-5.684341886080802e-14,21334.064609507055,496359.5670308846,-3092.5331684617913,6083.706983964404,-26681.523073628752,-56142.89434093977
2017-04-19,5086.063987710458,8961.363636363632,117891.789182795,197.64993603589116,88,433,0.23003409090909094,0.1307957931376967,1.9895196601282805e-13,22420.77457917246,473254.49902077136,-833.158233601735,5919.222221312192,-24584.53324402418,-54057.480539722936
2017-04-20,3095.8019034948284,2237.5000000000036,135867.3672829302,213.37127500257523,88,436,0.2262977272727273,0.12823300611903587,-2.842170943040401e-14,140435.12094367424,467181.1510036881,594.8739853902517,2500.9279181045767,-31084.4111922403,-65051.25301297285
2017-04-21,4328.967256082854,797.7272727272762,139912.10745887345,231.33358150292335,88,431,0.2374477272727273,0.15755002219173211,5.684341886080802e-14,14902.379899650363,488998.4976434026,-16027.136680965248,20356.1039370481,-30880.39319013843,-65858.4200548568
2017-04-24,3347.73888708523,3615.9090909090987,190620.18154860733,218.8774482625402,88,431,0.22521818181818185,0.20791135499652255,8.526512829121202e-14,92899.27927040306,466169.1792157378,-281.11878496706345,3628.8576720522933,-44526.18394832914,-92181.22933548098
2017-04-25,4546.348410796201,6461.6279069767415,173907.2210314359,263.59250935126556,86,425,0.2230354651162791,0.17755260727687017,-5.684341886080802e-14,42154.27307152308,466651.47329415404,1957.2365452455963,2589.111865550605,-39194.04935641404,-82670.85461427302
2017-04-26,10943.41477237299,17323.80952380952,165889.86439364968,287.03364541025667,84,419,0.2212392857142857,0.1870496077955952,0.0,-350488.6914725617,465817.1401104389,-382.78035295966777,11326.195125332657,-30816.084971449687,-72288.55106986211
2017-04-27,12067.437261725574,18113.953488372088,182760.84754130512,306.91403389108825,86,426,0.23244534883720933,0.18016382107915585,2.2737367544323206e-13,-95160.60968126512,496228.31192933465,-859.4625649794773,12926.899826705052,-33929.688657491795,-79619.90054281808
2017-04-28,-813.6437813812997,-574.4186046511652,162900.601982386,293.261052855649,86,421,0.22081627906976745,0.17414721105171588,5.684341886080802e-14,-397408.40369225823,468224.9808289214,-7153.823004468722,6340.1792230874225,-41832.05532983345,-82557.20582542995
2017-05-01,1285.3620511091422,-1965.0000000000014,132111.75767362205,88.37333523599956,40,199,0.24789625,0.14855209132169045,3.979039320256561e-13,-5243.13394720854,498336.3100928822,-2334.288653220142,3619.650704329284,-31830.95070253237,-64858.89012093788
2017-05-02,-8504.542064928575,-4659.999999999999,130202.50396512198,108.4536628122282,40,196,0.24872375,0.12795897465086697,-1.7053025658242404e-13,66950.34787749284,500873.173772183,3081.0260895355623,-11585.56815446414,-41163.6217190213,-73714.2477103018
2017-05-03,-333.2341019471003,2752.3255813953474,125034.6877563406,119.0910303036307,86,423,0.23996220930232556,0.12216517511661494,-1.4210854715202004e-13,-121035.28491828435,485097.2502063994,532.9609057553963,-866.1950077024966,-31710.997071335878,-62969.66901042103
2017-05-04,3321.4261206117876,3736.363636363641,151212.12546667168,154.54724256885171,88,434,0.2441965909090909,0.14486814765891778,8.526512829121202e-14,-212886.90403920488,498183.7105589188,-1122.0995097587754,4443.525630370563,-34636.15248862498,-72439.18385529291
2017-05-05,5566.429034234272,1142.0454545454654,117119.22549470243,136.1285847855063,88,434,0.23636761363636366,0.1317476952806689,-8.526512829121202e-14,62502.99071701496,480580.43858607503,-4288.95249247808,9855.381526712352,-23849.505924226843,-53129.31229790245
2017-05-08,-32.017832712000796,-247.77777777777328,134295.3790656481,133.382336335893,90,442,0.2322838888888889,0.14344590909751456,-8.526512829121202e-14,-94214.84932897029,473286.91343510896,556.016737173743,-588.0345698857437,-33739.244935459916,-67313.08970187194
2017-05-09,-9789.284203614732,2493.3333333333358,123052.60933718816,163.81034748390874,90,444,0.22622555555555557,0.13830680455106242,5.684341886080802e-14,-99279.86430103562,463793.6607646381,-2292.5026187718004,-7496.781584842932,-40716.24688539568,-71479.39921969273
2017-05-10,-8241.080930907729,7059.999999999992,121567.71414992108,155.1762085617909,90,442,0.22028555555555557,0.1294713905887102,8.526512829121202e-14,-125601.30186072557,451724.81352559954,691.3350178959018,-8932.415948803631,-38788.18567694979,-69180.11421443007
2017-05-11,-779.8955332806554,-1571.1111111111086,114744.73815244419,171.31424510305777,90,441,0.22643555555555556,0.12786774549167612,-5.684341886080802e-14,-35189.162603814024,464501.905430046,772.9603880218747,-1552.85592130253,-29637.39431649476,-58323.57885460581
2017-05-12,-536.2543804681542,-6332.222222222223,109311.57325074181,162.60488449168727,90,443,0.22633333333333333,0.12221943076880082,8.526512829121202e-14,-28366.808105840115,464464.44542366825,-6246.089556165356,5709.835175697202,-28026.752577645297,-55354.64589033075
2017-05-15,2740.1785656292495,2154.5454545454604,85616.8392756537,269.27709896125606,88,439,0.22465852272727274,0.09330506957733836,-1.4210854715202004e-13,200073.04895849508,470838.2796859083,1561.587485850564,1178.5910797786855,-18933.308352245433,-40337.51817115886
2017-05-16,12515.3279827258,6907.954545454535,110497.35239839424,249.36570032622734,88,436,0.22547215909090912,0.09924712753969435,-1.1368683772161603e-13,305184.6563440538,472213.89953896526,27766.98447908493,-15251.65649635913,-15358.375817198988,-42982.71391679755
2017-05-17,4184.86035733554,7339.772727272732,123953.91416995203,244.11713847038584,88,435,0.25875909090909094,0.1308765894022433,-1.9895196601282805e-13,-62631.92873992077,540298.648729107,-437.7668854625938,4622.627242798134,-27047.735323622852,-58036.213866110855
2017-05-18,12284.795560227429,16062.222222222226,128921.48159349122,244.43156382924022,90,441,0.24498555555555557,0.13097970393698646,-1.4210854715202004e-13,-222311.20961851242,509543.3994662276,-2202.274320189381,14487.06988041681,-20190.006401974613,-52420.37680034742
2017-05-19,1036.984941429998,-4320.454545454546,123056.43429191873,285.8295272958789,88,439,0.2306727272727273,0.14269602526846714,8.526512829121202e-14,-12436.20778243609,485780.8131449302,-11232.110023690373,12269.09496512037,-30012.953158845565,-60777.06173182525
2017-05-22,-4618.2108269974005,3029.545454545456,132955.40880842117,212.82859865087084,88,437,0.23684034090909092,0.13366794912873842,-1.1368683772161603e-13,-270588.2574918714,487972.7051764402,1755.4143717768736,-6373.625198774274,-38069.89162775356,-71308.74382985885
2017-05-23,-7560.277145903998,-844.3181818181895,149238.32546786946,265.85326887431427,88,439,0.2263193181818182,0.1543450581432777,-8.526512829121202e-14,-312377.0938642109,472198.184461206,-2420.969540834999,-5139.307605068999,-45135.711781745675,-82445.29314871304
2017-05-24,-384.41923543888845,9120.454545454544,181471.01399652066,274.6205051310306,88,433,0.2275681818181818,0.16778881520368136,-1.7053025658242404e-13,-142764.294505457,479641.90675772284,-67.30882360624003,-317.1104118326483,-46026.793239700084,-91394.54673883025
2017-05-25,4580.3252603527935,7281.818181818176,151713.62363196525,284.84416490736623,88,437,0.2169045454545455,0.15808035311982224,1.4210854715202004e-13,-271121.0027392908,457346.2997051198,-3175.8525580112346,7756.177818364028,-33632.92481254588,-71561.3307205372
2017-05-26,1276.802734179929,-5247.619047619055,121001.48364700357,81.13874881927781,42,203,0.20846428571428574,0.15915871499468445,5.684341886080802e-14,38424.396179755495,419165.5702591941,-2750.0740091208168,4026.876743300746,-29054.70692639024,-59305.07783814113
