signal_lag,iv_decile,mean,tstat,days,observations
0,0,0.4755899888886701,10.90735616393539,2202,90470
0,1,0.2639623263221693,6.776042654483802,2202,89376
0,2,0.20796254565004968,5.201251656371494,2202,89576
0,3,0.15005330406935438,3.821261801436353,2202,89371
0,4,0.08438380382622007,2.1589539031333844,2202,89147
0,5,0.04365633060956346,1.1221381618340478,2202,89808
0,6,-0.03237691320939523,-0.7731510544667767,2202,89575
0,7,-0.08066913959856144,-1.902676588264053,2202,89372
0,8,-0.22278769217193511,-5.151242512424505,2202,89580
0,9,-0.44605420404755264,-9.316352646331735,2202,88492
1,0,0.06765777013343546,1.7791481550381636,2201,88066
1,1,0.05397556875906376,1.4204499843839602,2201,86976
1,2,0.059330432526918206,1.5258940290352658,2201,87167
1,3,0.06123695372609396,1.6629192746780892,2201,86972
1,4,0.05423752022537245,1.435189657914612,2201,86745
1,5,0.02303465757255962,0.613677090373181,2201,87402
1,6,0.042988359349965505,1.0232206424707195,2201,87182
1,7,0.0489616984775581,1.1205118204472468,2201,86957
1,8,0.05345626193675518,1.2664246342538494,2201,87186
1,9,-0.011023925040286608,-0.2368754520862002,2201,86077
