label,days,start,end,mean_names,positions_per_side,gross_pnl_per_day,gross_tstat,gross_sharpe,gross_total,hit_rate,unmarked_share,one_sided_mark_share,gross_premium_per_day,gross_return_on_premium_bps,vega_share_of_pnl,vega_r2,spread_cost_full_per_day,hedge_cost_per_day,breakeven_spread_fraction,net_25_pnl_per_day,net_25_tstat,net_25_sharpe,net_50_pnl_per_day,net_50_tstat,net_50_sharpe
Honest — as reported,2202,2017-03-30,2025-12-31,401.8855585831063,40.63760217983651,224.0657809287431,0.9164982983765605,0.31176806621414405,493392.84960509225,0.536330608537693,0.0007905750150493012,0.0031414788384707014,659601.5976094289,3.396986631639718,4.789775434903561,0.5872015043472618,199440.5566501324,168.38412655735894,0.00027918922463229676,-49804.45750816171,-31.202284526478884,-23.349016234886772,-99664.5966706948,-31.197891484100495,-24.29014229358596
Require the contract to still be quoted tomorrow,2200,2017-03-30,2025-12-30,401.335,40.58409090909091,503.71960572567036,2.231018826729469,0.7479510225441443,1108183.132596475,0.5531818181818182,0.00007622669381562661,0.0,658849.3888721255,7.6454439244146615,2.017876852263255,0.5943915747230245,197317.97539470365,168.13080423965008,0.0017007512914863823,-48993.90504718988,-31.508822983324976,-23.858723090018696,-98323.39889586579,-31.779656245128752,-24.901463573236015
Z-score against the full-sample moments,2261,2017-01-04,2025-12-31,410.7673595754091,41.51127819548872,889.2951530745833,3.1593326184298287,1.1029805351395803,2010696.341101633,0.5851393188854489,0.0007319234685431123,0.0033364806261967244,683399.3849063335,13.012817580988457,1.6419050026428506,0.4544665246095681,206065.07992102456,167.30285729422536,0.0035037100709012178,-50794.277684475775,-34.88636505740673,-25.066910036753377,-102310.54766473192,-34.84015520557512,-26.506700420576745
"Today's index membership, applied to all history",2201,2017-03-30,2025-12-31,355.82235347569286,36.03407542026352,472.1681846826341,2.0742794126772237,0.6978865497415476,1039242.1744864777,0.550658791458428,0.0007050674605269729,0.0027512086534034383,638578.7833840846,7.394047484328025,2.58065817320749,0.5595094460348204,187818.04486874107,167.43415345707209,0.0016224960250146845,-46649.7771859597,-31.32700284795583,-23.53565191615902,-93604.28840314496,-31.214350867289742,-24.362708371532797
All three defects together,2259,2017-01-04,2025-12-30,360.4488711819389,36.47985834440018,1370.801762138904,4.870286057002427,1.7426103274385811,3096641.1806717846,0.5993802567507747,0.00004887584082997551,0.0,663037.0574588663,20.674587441501284,1.2008581897087884,0.4402803317757897,192005.74298655507,165.11129332968483,0.006279450031313106,-46795.74527782955,-35.33649787465437,-25.290229071518404,-94797.18102446831,-35.18504915723602,-26.774519065301924
