date,gross_pnl,vega_pnl,spread_cost_full,hedge_cost,positions,names_today,mean_iv,mean_relative_spread,net_vega,net_hedge_notional,gross_premium,long_pnl,short_pnl,unmarked_share,one_sided_mark_share,net_pnl_25,net_pnl_50
2017-03-29,4334.786920400526,2113.1578947368416,173316.64380510966,112.42131206301256,38,181,0.25315394736842106,0.1625218095760386,0.0,-101302.76255307312,510270.7894204744,-2595.2888676133653,6930.075788013891,0.0,0.0,-39106.795342939906,-82435.95629421732
2017-03-30,6381.232204465522,6310.000000000002,210855.67256896614,98.18199882396826,40,192,0.2627975,0.16783689987842598,5.684341886080802e-14,-147953.96392326697,528924.817222894,4907.3078512742595,1473.9243531912625,0.0,0.0,-46430.86793659998,-99144.78607884153
2017-03-31,5275.26563805078,-3778.947368421036,171248.03838463133,94.15357180913603,38,188,0.26154868421052635,0.1777542793886064,0.0,-3661.4322004826654,527483.563268056,-4206.751979951943,9482.017618002723,0.0,0.0,-37630.89752991618,-80442.90712607402
2017-04-03,9667.502278957389,2037.500000000006,174406.90119467513,92.50100624509986,40,194,0.2746425,0.15808332109855439,1.7053025658242404e-13,-1881.598787314746,552327.6561374858,5578.588827610489,4088.9134513469007,0.0,0.0,-34026.72402595649,-77628.44932462528
2017-04-04,1607.2962099783645,1057.4999999999902,218183.11183849207,101.52481911723984,40,196,0.267135,0.1618885807795703,-5.684341886080802e-14,71897.26002603523,537315.57843693,712.4894353307145,894.8067746476495,0.0,0.0,-53040.0065687619,-107585.78452838492
2017-04-05,9308.19095943812,6226.315789473692,181048.8769883147,108.25098187136868,38,189,0.2569526315789474,0.18239162554711288,0.0,-91256.31102968636,518468.3063240864,2794.1860942550825,6514.004865183037,0.0,0.0,-36062.27926951192,-81324.49851659061
2017-04-06,3446.1566374965423,2509.999999999998,165094.46734392378,107.37798197793808,40,195,0.26399875,0.14997034358624806,1.1368683772161603e-13,114418.08849351539,531707.0702792583,1265.4665267969044,2180.6901106996384,0.0,0.0,-37934.83818046234,-79208.45501644329
2017-04-07,1148.1445702063738,-4062.499999999979,169346.86952548783,119.37489427135657,40,199,0.28160625,0.15228869887888222,-5.684341886080802e-14,-144089.25052136954,569458.7047755158,-6893.50659363398,8041.651163840354,0.0,0.0,-41307.94770543694,-83644.66508680889
2017-04-10,-3276.1417724402113,-4243.023255813949,158782.7284935721,144.33195194063276,86,423,0.24529476744186046,0.15406275795892113,5.684341886080802e-14,-256889.64831372024,499561.7357312091,4971.158324874648,-8247.30009731486,0.0,0.0,-43116.15584777387,-82811.8379711669
2017-04-11,2347.4870641126945,3612.790697674419,177706.9470436877,146.38492058718964,86,427,0.2517348837209302,0.16509605567202934,1.1368683772161603e-13,-93222.85956696543,512572.83888167137,1707.3207294857614,640.1663346269329,0.0,0.0,-42225.63461739642,-86652.37137831835
