label,days,start,end,mean_names,positions_per_side,gross_pnl_per_day,gross_tstat,gross_sharpe,gross_total,hit_rate,unmarked_share,one_sided_mark_share,gross_premium_per_day,gross_return_on_premium_bps,vega_share_of_pnl,vega_r2,spread_cost_full_per_day,hedge_cost_per_day,breakeven_spread_fraction,net_25_pnl_per_day,net_25_tstat,net_25_sharpe,net_50_pnl_per_day,net_50_tstat,net_50_sharpe
all names,2202,2017-03-30,2025-12-31,401.8855585831063,40.63760217983651,224.0657809287431,0.9164982983765605,0.31176806621414405,493392.84960509225,0.536330608537693,0.0007905750150493012,0.0031414788384707014,659601.5976094289,3.396986631639718,4.789775434903561,0.5872015043472618,199440.5566501324,168.38412655735894,0.00027918922463229676,-49804.45750816171,-31.202284526478884,-23.349016234886772,-99664.5966706948,-31.197891484100495,-24.29014229358596
no report ≤7d,2202,2017-03-30,2025-12-31,368.90917347865576,37.333333333333336,5.184564594938877,0.021598976692514423,0.007387546887737221,11416.41123805556,0.5336058128973661,0.0007944525950334718,0.0028695271257049345,658256.2137329428,0.07876210640743521,-190.29507284993647,0.7024749979852309,199123.31463076113,170.06583769081772,-0.0008280360007145415,-49945.70993078616,-31.15075172189766,-23.34510220707695,-99726.53858847643,-31.166219688058348,-24.250330210767345
no report ≤35d,2194,2017-03-30,2025-12-31,261.7087511394713,26.62397447584321,-108.71861015723637,-0.35934551648765944,-0.11254737805150809,-238528.63068497702,0.5314494074749316,0.0009409169071664367,0.0036008583470833115,660420.7577128256,-1.646202195911463,-4.371549403872234,0.6491944555662136,209369.76888494455,178.96119303656462,-0.0013740274191728727,-52630.12202442993,-33.10884464532523,-23.604712397499448,-104972.56424566606,-33.37420678089914,-25.436773580944422
