signal_lag,year,label,days,start,end,mean_names,positions_per_side,gross_pnl_per_day,gross_tstat,gross_sharpe,gross_total,hit_rate,unmarked_share,one_sided_mark_share,gross_premium_per_day,gross_return_on_premium_bps,vega_share_of_pnl,vega_r2,spread_cost_full_per_day,hedge_cost_per_day,breakeven_spread_fraction,net_25_pnl_per_day,net_25_tstat,net_25_sharpe,net_50_pnl_per_day,net_50_tstat,net_50_sharpe
0,2017,lag0-2017,192,2017-03-29,2017-12-29,403.1666666666667,40.75,2843.7861064443996,5.453607988753463,6.136202784049167,546006.9324373247,0.765625,0.0001831935425685426,0.002850731847824871,498680.92912185827,57.026165236599375,1.4572400939446313,0.3592450608459166,146235.90868799353,204.97346652493434,0.018044901991545667,-33920.164532078925,-29.628233789889162,-50.411672438187665,-70479.14170407732,-33.97207578964668,-67.25853604321209
0,2018,lag0-2018,251,2018-01-02,2018-12-31,418.398406374502,42.310756972111555,5182.157496178854,7.29768962818987,8.980967951170202,1300721.531540892,0.7808764940239044,0.000044267374944665784,0.0025987427008721,583580.7261294556,88.79932568282415,1.1026165725324923,0.4247755754194556,143058.4559884767,176.26995127101952,0.0349919025080982,-30758.72645221134,-21.285336705538136,-37.47686719650425,-66523.34044933051,-20.787216250341345,-41.99727805391863
0,2019,lag0-2019,252,2019-01-02,2019-12-31,419.76190476190476,42.3968253968254,3781.0569105497843,7.922732259144806,7.754732804336735,952826.3414585455,0.7817460317460317,0.000485363448794524,0.0023105637075977485,582134.4103323825,64.95161329478712,1.3147505606645937,0.29942498628196224,140153.17111941346,176.49060324933933,0.025718763824682054,-31433.726472552924,-26.821732127318818,-45.395154205428696,-66472.01925240629,-29.967347698363188,-58.601656509097936
0,2020,lag0-2020,253,2020-01-02,2020-12-31,381.4110671936759,38.60474308300395,14342.684262421448,5.48967904905491,8.872743993914193,3628699.118392626,0.841897233201581,0.0003974135172832012,0.0029434195335379413,900249.3109534847,159.31902516238108,1.1142105144628218,0.8032027469224684,369569.42456345115,142.2225988390675,0.03842434119206826,-78191.89447728041,-9.656838072767828,-21.21655515441493,-170584.25061814324,-9.588140006494715,-22.15979170295383
0,2021,lag0-2021,252,2021-01-04,2021-12-31,422.468253968254,42.73015873015873,11433.691098254545,16.06241731939398,18.907982967524315,2881290.156760145,0.9285714285714286,0.00008722490606548579,0.0007906083754217685,640583.6808323216,178.48864153702053,1.0084895493549264,0.5894816879890892,212468.66381777293,144.92217199804193,0.0531314534737155,-41828.39702818674,-21.050941496364192,-39.63078519056263,-94945.56298262998,-22.2480456977371,-45.75470532416515
0,2022,lag0-2022,251,2022-01-03,2022-12-30,419.62948207171314,42.398406374501995,7599.941067547217,11.036226734116086,12.169768966241762,1907585.2079543518,0.8446215139442231,0.001600933541523054,0.0012511029568180137,767223.0122404825,99.05778302130817,1.2237753590842588,0.40877899275497015,215031.31855405195,152.99696201806833,0.03463190457838926,-46310.88553298384,-30.130983673669306,-51.426371605567766,-100068.71517149682,-33.59937150773276,-65.01330765979213
0,2023,lag0-2023,250,2023-01-03,2023-12-29,430.96,43.54,5431.867762927536,7.028383864539201,6.149069085129661,1357966.940731884,0.764,0.0005714781954606192,0.0011702730356291872,635066.9764396909,85.53220312886752,1.0978004065648768,0.7367945426689988,135475.69270676147,188.13344872387603,0.0387060897009309,-28625.188862486706,-20.471399036079532,-27.002034197928065,-62494.11203917708,-24.129820935043938,-41.66199895210787
0,2024,lag0-2024,252,2024-01-02,2024-12-31,411.75,41.63095238095238,10643.551341574648,14.057481620066692,17.221189317284306,2682174.938076811,0.9047619047619048,0.00017650058937554726,0.002940110896564791,618225.0629723334,172.16305159810327,1.0856140379418553,0.41812904854589117,176110.4279270804,190.53682613812762,0.05935488680865992,-33574.592466333575,-23.334294031378857,-38.675209993284504,-77602.1994481037,-24.964593125741548,-47.542483718394536
0,2025,lag0-2025,250,2025-01-02,2025-12-31,399.344,40.388,15361.39096711514,13.916951600782307,20.56337336683663,3840347.7417787844,0.908,0.004150790650790651,0.010415829615205872,704952.5359749596,217.90674099597513,1.0330215160673721,0.4402572314648378,245711.93792673165,170.17780250654724,0.06182529547725283,-46236.77131707432,-24.981393888486732,-39.623745531777146,-107664.75579875725,-26.067959564275267,-48.78695085897403
1,2017,lag1-2017,191,2017-03-30,2017-12-29,392.27225130890054,39.68062827225131,229.78564331164392,0.4525802789268604,0.5175421708869807,43889.05787252396,0.5706806282722513,0.00018415267106366585,0.002848408068790389,495592.1900340176,4.636587257274398,7.771754721853724,0.2214065157840063,146441.4913844626,198.96951318911857,0.00021043305303154535,-36579.55671599313,-30.658114415022165,-57.47175888561419,-73189.9295621088,-32.69444241194304,-69.14624593391324
