signal_lag,label,days,start,end,mean_names,positions_per_side,gross_pnl_per_day,gross_tstat,gross_sharpe,gross_total,hit_rate,gross_premium_per_day,gross_return_on_premium_bps,vega_share_of_pnl,spread_cost_full_per_day,hedge_cost_per_day,breakeven_spread_fraction,net_25_pnl_per_day,net_25_tstat,net_25_sharpe,net_50_pnl_per_day,net_50_tstat,net_50_sharpe
0,lag0,2202,2017-03-29,2025-12-30,406.3428701180745,41.08537693006358,9183.872037935307,21.3164122129733,11.019939094527185,20222886.227533545,0.8533151680290645,663807.0063309951,138.3515381781906,1.0345466458105246,197920.47958936045,167.32567351346523,0.0455564092363211,-40463.57353291827,-31.264789562047067,-22.983049233616224,-89943.69343025838,-31.73329375222474,-24.75256091973856
1,lag1,2200,2017-03-30,2025-12-30,395.74227272727273,40.025454545454544,746.9535431541353,2.8072765723959106,1.0851332822051578,1643297.794939098,0.5531818181818182,659202.907985015,11.33116274376501,1.4437708078838685,196074.18581198357,164.67740556422643,0.0029696726021254845,-48436.27031540597,-32.68158768192007,-24.510384402989384,-97454.81676840186,-32.5092127944919,-25.359251575213776
2,lag2,2199,2017-03-31,2025-12-30,385.05593451568893,38.95043201455207,639.9112755266481,2.6108338474334634,0.9442757422652605,1407164.8948830995,0.5438835834470214,658135.3135905247,9.72309587880259,1.7311453546617197,194105.63390792522,162.48522172839188,0.0024596197657236743,-48048.98242318305,-33.621668300904524,-25.115085990245262,-96575.39090016435,-33.44212046499069,-26.031042875385094
3,lag3,2198,2017-04-03,2025-12-30,374.5773430391265,37.90582347588717,411.48309199134366,1.7468190974848348,0.6313645641292176,904439.8361969737,0.5377616014558689,657168.0257201697,6.261459412003688,2.2994293563583947,193325.69862580916,160.7410592350434,0.0012969927668107033,-48080.68262369599,-32.93550172499736,-24.74249384944131,-96412.10728014828,-33.13481068339405,-25.832003093509613
4,lag4,2196,2017-04-04,2025-12-30,364.4075591985428,36.89526411657559,99.00505467815606,0.3728584447721088,0.1431428855719109,217415.10007323074,0.5204918032786885,656114.834201896,1.508959247943033,10.187360466180044,192328.0570030846,159.07306543357078,-0.00031232058229783565,-48142.08226152653,-32.57506112422778,-24.267630860756437,-96224.09651229763,-33.003382872637786,-25.564118520840676
5,lag5,2194,2017-04-05,2025-12-30,354.2657247037375,35.88331814038286,347.85443927169894,1.467016938580245,0.4970624607236899,763192.6397621075,0.5341841385597083,655318.6041641745,5.308172804209787,3.36993742648477,191213.5971495635,157.23382437446818,0.0009968988489251164,-47612.77867249363,-32.618138312719964,-24.203935401558645,-95416.1779598845,-33.03950214896766,-25.58649578698022
