signal_lag,spread_quintile,long_short,tstat,days
0,0,0.2384158333562601,5.601312719533415,2190
0,1,0.2656943303017012,5.265629075883662,2197
0,2,0.4698902180666098,9.593499253076361,2202
0,3,0.8084556269635856,16.353128666339245,2197
0,4,2.310654591701817,38.13729906947441,2200
1,0,0.07515018982453806,1.7891584476867752,2193
1,1,0.012327009168249338,0.2839875836687693,2197
1,2,0.023455251434142205,0.5291988005528514,2195
1,3,-0.005747304090699113,-0.09843127399104562,2191
1,4,0.04130293529868055,0.7210431287330796,2194
