label,filters,holding_days,nw_lags,formation_days,names_per_side,days,mean_daily_pnl,t_stat_nw,daily_vol,sharpe_annual,total_pnl,max_drawdown,hit_rate,gross_pnl,spread_cost,break_even_spread_frac
30d oi>=0,vega>=5 & px>=10 & no_earnings_in_life,21,19,195,24.5,211,1524.4845344464532,1.8462516047770532,11201.958224638776,2.160376002923074,321666.23676820163,172953.60229999316,0.7014218009478673,321666.2367682017,0.0,NaN
30d oi>=25,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,10,102,19.2,207,1865.7018423549475,2.670455092638847,10700.956573308264,2.7677057064853643,386200.2813674739,130192.67663313879,0.6618357487922706,386200.281367474,0.0,NaN
30d oi>=100,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,8,77,15.3,184,1512.4692045540296,2.4381547091429963,10778.917360737092,2.2274690009980747,278294.33363794134,82060.9454780649,0.6086956521739131,278294.33363794134,0.0,NaN
30d oi>=250,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,6,58,11.7,168,766.2393237046485,0.9020244163078146,11894.574509029932,1.022623563579403,128728.206382381,131492.56143016915,0.5535714285714286,128728.20638238089,0.0,NaN
30d oi>=1000,vega>=5 & px>=10 & oi>=1000 & no_earnings_in_life,21,4,26,7.7,122,-1240.538200716046,-0.6036786548319937,23703.01396444046,-0.8308198044081945,-151345.66048735747,320785.5963878327,0.5819672131147541,-151345.66048735747,0.0,NaN
60d oi>=0,vega>=5 & px>=10 & no_earnings_in_life,21,21,105,24.5,177,1277.3332952529668,6.387212523984084,4705.198683361131,4.309496539476026,226087.9932597752,23179.46632722774,0.6610169491525424,226087.9932597751,0.0,NaN
60d oi>=25,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,17,82,19.2,171,1067.6598711122692,4.289007389966541,4629.134983354343,3.6612833895625205,182569.8379601979,21177.31236638868,0.5614035087719298,182569.837960198,0.0,NaN
60d oi>=100,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,16,72,15.0,169,1290.0209348392546,3.95386488216058,5678.860655245456,3.6060838117228338,218013.5379878339,20396.893960431946,0.5621301775147929,218013.53798783402,0.0,NaN
60d oi>=250,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,15,66,11.2,164,1401.5279215713135,2.912711489216525,7066.7566187967695,3.148341907908211,229850.5791376957,33897.3342295234,0.573170731707317,229850.57913769543,0.0,NaN
60d oi>=1000,vega>=5 & px>=10 & oi>=1000 & no_earnings_in_life,21,5,21,8.1,130,1282.0228158092038,2.8156320545673967,7292.148967495981,2.7908756890686397,166662.9660551966,39963.52897397918,0.5461538461538461,166662.96605519654,0.0,NaN
90d oi>=0,vega>=5 & px>=10 & no_earnings_in_life,21,10,36,13.2,170,988.2266276567752,2.845660178692303,6719.572090069203,2.3346146397767944,167998.52670165178,27366.547740770504,0.611764705882353,167998.52670165178,0.0,NaN
90d oi>=25,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,10,33,10.4,165,941.3064061231219,2.809774952887575,6506.722315899574,2.2965135475612506,155315.557010315,34509.81594984271,0.5757575757575758,155315.55701031504,0.0,NaN
90d oi>=100,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,7,25,8.1,160,1251.936348432918,2.9120186733210973,6807.604182881911,2.9193638286710013,200309.81574926688,41002.979537747684,0.55,200309.8157492669,0.0,NaN
90d oi>=250,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,3,12,7.5,152,231.63464343936653,0.4421231219133742,8452.836966745172,0.43501205380777475,35208.46580278375,106488.18597531632,0.506578947368421,35208.46580278373,0.0,NaN
90d oi>=1000,vega>=5 & px>=10 & oi>=1000 & no_earnings_in_life,21,2,2,5.5,41,-154.98954355456283,-0.18608812201137875,7282.728982699407,-0.33783801844192207,-6354.571285737066,46264.51816742736,0.4634146341463415,-6354.571285737066,0.0,NaN
