predictor,rows,spearman_with_realized,mean_log_error,rms_log_error
har forecast,28065,0.5055180133643129,0.25090773898819024,0.8494230889497859
21d realized var,28187,0.5002766214698771,0.00359738822110606,0.9283119365360629
12m realized var (hv),28187,0.5343729268831066,0.2515366953039378,0.8884362233784037
implied var,28187,0.7152654654504262,0.14529596988820312,0.6818833291963666
