decile,straddle,call_hedged,put_hedged,daily_hedged,signal
1,0.0074793480762130144,-0.002644257966565209,0.0003720531909171462,-0.004474054133826149,har: log(forecast vol / IV)
2,0.0021313164241447244,-0.0026259134529440305,-0.000592182194437415,-0.000813975515127773,har: log(forecast vol / IV)
3,0.060710275198765616,0.0026062199786082226,0.004382015987238291,0.02333826409492579,har: log(forecast vol / IV)
4,0.04706632832810402,0.0017985106023958764,0.001537571801419461,0.016009154017284984,har: log(forecast vol / IV)
5,0.03063697701012482,-0.000905637014995248,-0.0007853573332044075,0.009655033904970401,har: log(forecast vol / IV)
6,0.05975616317804026,0.003114842712146796,0.00268638445222333,0.021702084981752513,har: log(forecast vol / IV)
7,0.03723000350256038,0.00022600701121761347,0.0012797917377411333,0.013151584064880312,har: log(forecast vol / IV)
8,0.0440597503982921,0.001255695718897819,0.0013546557425384853,0.01480321754490914,har: log(forecast vol / IV)
9,0.062045782442475036,0.0025308240902313715,0.0022189472212715004,0.026774914469590953,har: log(forecast vol / IV)
10,0.02047034090561796,0.0006539676427279188,0.0003475690720933645,0.006505484332573357,har: log(forecast vol / IV)
1,0.006101912021962523,-0.0024325795335739604,-0.00045189288084219846,-0.0033897601860650795,rv21: log(21d realized vol / IV)
2,0.04495147777852317,0.0006895245552305099,0.0016937787178742348,0.01923552679087546,rv21: log(21d realized vol / IV)
3,0.050532455718735325,0.001794268762666653,0.002233038864659269,0.0164840873566373,rv21: log(21d realized vol / IV)
4,0.029282443875190734,0.00019049512967338572,0.001265579058814109,0.007845922875437577,rv21: log(21d realized vol / IV)
5,0.03757844288791701,-0.00004260944787472671,0.00025667875614658804,0.015727516803855437,rv21: log(21d realized vol / IV)
6,0.05124374445546067,0.0014414196179968629,0.0014747992024388462,0.017018725294356146,rv21: log(21d realized vol / IV)
7,0.04534143850286414,0.0007226833240900654,0.001536978668820403,0.012177494153487747,rv21: log(21d realized vol / IV)
8,0.04951383518659288,0.0019122639995821514,0.0021050995064286044,0.022468573335931587,rv21: log(21d realized vol / IV)
