label,filters,holding_days,nw_lags,formation_days,names_per_side,days,mean_daily_pnl,t_stat_nw,daily_vol,sharpe_annual,total_pnl,max_drawdown,hit_rate,gross_pnl,spread_cost,break_even_spread_frac
30d all names,vega>=5 & px>=10 & oi>=250,21,8,76,12.9,201,848.0087654321435,0.9190627795903265,14278.547806143884,0.9427934829496973,170449.76185186076,158955.5992682506,0.527363184079602,170449.76185186073,0.0,NaN
30d no earnings in life,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,6,58,11.7,168,766.2393237046485,0.9020244163078146,11894.574509029932,1.022623563579403,128728.206382381,131492.56143016915,0.5535714285714286,128728.20638238089,0.0,NaN
60d all names,vega>=5 & px>=10 & oi>=250,21,30,161,14.5,206,676.9529844298343,1.4945566602143945,7425.89534359202,1.4471380189567524,139452.3147925458,65420.06013005544,0.5825242718446602,139452.3147925459,0.0,NaN
60d no earnings in life,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,15,66,11.2,164,1401.5279215713135,2.912711489216525,7066.7566187967695,3.148341907908211,229850.5791376957,33897.3342295234,0.573170731707317,229850.57913769543,0.0,NaN
