signal,months,names_per_month,straddle_10_1,straddle_t,straddle_sharpe,call_hedged_10_1,call_hedged_t,call_hedged_sharpe,put_hedged_10_1,put_hedged_t,put_hedged_sharpe,daily_hedged_10_1,daily_hedged_t,daily_hedged_sharpe,corr_signal_vs_rv_minus_iv2
har: log(forecast vol / IV),98,286.3775510204082,0.012990992829404932,0.29965777507887625,0.03027000639907809,0.003298225609293128,1.3376760188684451,0.1351256834246431,-0.000024484118823780674,-0.011124699164830233,-0.0011237643168731113,0.010979538466399505,0.6369348944498683,0.06434014043426282,0.16556832698292082
rv21: log(21d realized vol / IV),98,287.6224489795918,0.01674160592437954,0.5954374695716528,0.06014826750095346,0.003409339909171819,1.6417301167680607,0.16583978549212547,0.0019690100293582305,0.9683421040009319,0.09781732403535828,0.007568133214989956,0.7469796162530337,0.07545633600866358,0.05188013652403203
"hv252: log(12m realized vol / IV), the paper",98,287.6224489795918,-0.0019050835231349456,-0.06584235582789222,-0.00665108232788574,0.003301496464524214,1.302500565532892,0.13157242605537445,0.001002453485477268,0.41512365145589425,0.041933821282197664,0.011958327157894333,0.9158555946513101,0.0925153859379399,0.03211063502179507
idio: -idiosyncratic vol (Cao-Han),98,287.6224489795918,0.02352515568873862,0.660500065568633,0.06672058219110567,0.002157758170099192,0.8930368440237464,0.09021034403694632,-0.00036329480418926445,-0.1635193666093794,-0.01651795042640304,0.0234771030220294,1.770009632268911,0.1787979733918363,0.12212520426984073
har_only: -forecast vol,98,286.3775510204082,-0.016442900486059377,-0.40146354011340035,-0.04055394165904899,-0.0003794111739672724,-0.09795676779005817,-0.00989512782392373,-0.0015796557508942176,-0.43224597299010337,-0.04366343694883991,0.005317651035485284,0.2431428646758097,0.0245611383441983,0.1848953580449942
