formation_day,rows,const,b_1,b_5,b_22
2017-10-23,74196,-1.6168380796802542,0.013852701440859259,0.07301673512681507,0.4458622688702382
2017-11-20,83459,-1.6077789956864905,0.012705971561003917,0.06484952750542144,0.4517687134343139
2017-12-18,92296,-1.5973367148800108,0.013936293689156082,0.06788651389466221,0.44382772651391766
2018-01-22,102523,-1.6088275906437401,0.012974246338948477,0.06896297722732941,0.44234451015080994
2018-02-20,111857,-1.5627706305625388,0.014523728303506454,0.07779001134003272,0.4291828079737537
2018-03-19,120946,-1.4869315552600086,0.016708118914905947,0.09101180309170116,0.42028192390644786
2018-04-23,132694,-1.4431235072366901,0.016190353193709327,0.08686103165058826,0.43417487291992274
2018-05-21,142525,-1.4198720655019001,0.016428461647190327,0.09020275288465598,0.43606585179446206
2018-06-18,151858,-1.454439661221616,0.016601155435841695,0.08756580306177573,0.4303970294523604
2018-07-23,163567,-1.473027650917129,0.01613058895767705,0.09038914936834269,0.4231928237497089
2018-08-20,173353,-1.4808557966477056,0.015629270272926727,0.09130506477209083,0.4178771817911166
2018-09-24,185080,-1.5138984642074969,0.016145622704506517,0.09414171101493019,0.408820602035558
2018-10-22,194838,-1.5241018721962971,0.016163111429525912,0.09736168674390538,0.3993187942848313
2018-11-19,204575,-1.4668206632843985,0.016450722646537137,0.11296906089011698,0.3858144679770934
2018-12-24,215729,-1.3880631019396446,0.016809736033980307,0.11407040018403278,0.4039509418938875
2019-01-22,224339,-1.3003529076160303,0.016638448469560883,0.1181287492076426,0.4198889120094055
2019-02-19,233379,-1.3183136645782219,0.01673435782188753,0.11731658875522334,0.4166174969444118
2019-03-18,242534,-1.3526707888225078,0.017262675647029026,0.1180110379088232,0.40793836704711217
2019-04-22,254268,-1.3680450767464651,0.017070309421898116,0.12110381863502682,0.4006230448107109
2019-05-20,264080,-1.3749574631419559,0.016645282656375573,0.11747803389590374,0.40204006728888236
2019-06-24,275885,-1.3733816374622654,0.016413374348484968,0.1183930091213425,0.39967251011818555
2019-07-22,285215,-1.384654027043639,0.01602907581804811,0.1166691692002326,0.40064336836369363
2019-08-19,295017,-1.3834356699053525,0.01563136586401089,0.11507669529830652,0.4007078153583144
2019-09-23,306783,-1.356979853649041,0.015944028129976192,0.12107833556399185,0.3963894487821076
2019-10-21,316082,-1.3629145161716818,0.015579809820088213,0.11988520907434727,0.3978106929117276
2019-11-18,325350,-1.3514503547326548,0.015279561475049564,0.11896846442786908,0.40213616938802527
2019-12-23,336422,-1.3652065820319441,0.015745107655368195,0.1176084400953131,0.4013403802284403
2020-01-21,344623,-1.3648556444899382,0.01550658822287843,0.12051853358502292,0.4020632548085032
2020-02-24,355012,-1.3702656364375252,0.015504050410179503,0.11943421203507604,0.39896408797326977
