label,filters,holding_days,formation_days,names_per_side,days,mean_daily_pnl,t_stat_nw,daily_vol,sharpe_annual,total_pnl,max_drawdown,hit_rate,gross_pnl,spread_cost,break_even_spread_frac
iv_zscore_60,vega>=5 & px>=10 & oi>=25,21,161,18.8,208,830.6780255077238,2.2328625286627224,8013.719305003609,1.6455037103837884,172781.0293056065,71998.62757171293,0.6201923076923077,172781.0293056065,0.0,NaN
iv_zscore_20,vega>=5 & px>=10 & oi>=25,21,188,19.3,208,1368.1890667567875,4.532605640786001,5964.420323370527,3.641481808019584,284583.3258854119,38586.20909345528,0.6298076923076923,284583.3258854118,0.0,NaN
vrp_garch,vega>=5 & px>=10 & oi>=25,21,192,19.2,208,133.62856376169907,0.31680140822403385,7476.682140759943,0.2837204587105197,27794.741262433454,115549.32027380026,0.4807692307692308,27794.741262433425,0.0,NaN
vrp_rv,vega>=5 & px>=10 & oi>=25,21,192,19.2,208,307.5529445680128,0.7009518746662389,8412.15652109583,0.5803805035762188,63971.012470146576,88773.04964898934,0.5384615384615384,63971.01247014664,0.0,NaN
iv_level,vega>=5 & px>=10 & oi>=25,21,197,19.8,208,-677.1729693455518,-0.8303792728618401,14433.600088352538,-0.7447752163686254,-140851.97762387473,334073.7640548174,0.5865384615384616,-140851.97762387482,0.0,NaN
