window,sessions,skip,signal_rows,spread,spread_t_naive,spread_t_overlap_adj,decile_1,decile_10,rank_gross_pnl,rank_sharpe,rank_max_drawdown,rank_turnover,rank_positions,rank_market_loading,rank_market_t,rank_intercept_t,mvo_gross_pnl,mvo_sharpe,mvo_max_drawdown,mvo_turnover,mvo_positions,mvo_market_loading,mvo_market_t,mvo_intercept_t,rank_net_pnl_full_cost,rank_net_sharpe_full_cost,rank_cost_total
1w,5,0,1066227,-1.2898540719540799,-10.922236216471235,-1.4100546323245533,2.407050497327214,1.117196425373135,4683969.4986790605,4.515347836028901,-78541.26183461095,88.40509385760662,493.1080773606371,-0.03528365217506666,-3.1560378143008085,12.161879494016778,13432009.177850349,3.778989301625065,-197794.2186367195,78.11901733848684,489.3265073947668,-0.004200990144158114,-0.1100274804795874,9.931441443602429,-55008187.93902755,-6.525771168823907,59692157.4377066
1w_skip1,5,1,1065568,0.11423944053064833,0.9796130717078825,0.1264675037483907,1.7250923721168907,1.8393318126475389,778131.1658467044,1.049784170025527,-118783.27357231191,89.30570524588765,493.08191126279866,-0.03923118248967557,-4.7777347215791535,2.9097777732526118,1232792.4621624842,0.37705539996232595,-569342.8755492456,78.73118714490467,489.3265073947668,0.026924773960996788,0.8153193221020358,1.1359904000837855,-59050820.625977315,-7.088950487401696,59828951.79182403
2w,10,0,1064250,-0.7961915924450963,-6.495579905282082,-0.8385757599039019,2.1467404668232923,1.3505488743781957,3651930.743582319,3.7796341779049634,-80481.29856280098,68.22315650486834,493.0136518771331,-0.058034118490165224,-5.624644857578325,10.367514611693814,8752614.432249958,2.9188804847913543,-305123.6343332655,59.34175206601852,489.3265073947668,0.022182626137572055,0.6881316640431433,7.705424815595346,-45627326.41375103,-6.335296266169734,49279257.15733334
1m,21,0,1060955,-0.35223219469139083,-2.6156399766452685,-0.3376776689740494,1.889569849012481,1.5373376543210902,2945513.6116284328,3.333422271420677,-93161.37157488614,54.25010574038232,492.88452787258245,-0.06370967281989336,-6.77706868346823,9.163582212701952,6049284.428394003,2.1113078600907316,-320335.3281884282,44.815810149951,489.3265073947668,0.028487756125958105,0.9287191508514218,5.43836268433414,-39730143.67169818,-6.170582591357117,42675657.28332661
1m_skip1,21,1,1060296,0.40974783766927947,3.055149689981692,0.39441812898232814,1.527295643989249,1.9370434816585285,576542.577708289,0.7726891731733442,-142655.8161341129,54.53819686730906,492.87656427758816,-0.0485458682747922,-5.998180136296653,2.2422134934697775,1108824.8595935623,0.42233463917950076,-494231.74112323666,44.85010016974828,489.3265073947668,0.04764606640717959,1.6702465091096448,1.0217864278872446,-41976186.092807755,-6.612982365065462,42552728.670516044
2m,42,0,1053706,-0.12849640778191085,-0.9987655948116865,-0.12894008384902023,1.6648942337729886,1.5363978259910782,2148224.4357891805,2.6166410637787068,-91205.5296279533,44.17444480851324,492.5773606370876,-0.06829892559774817,-7.976855878624556,7.421576050248104,3351740.027643444,1.2713277486275605,-437177.93580678036,35.66575941303038,489.3265073947668,0.015268915397930745,0.5418132196988913,3.2154914073681224,-35411360.69317853,-5.951340355648727,37559585.12896772
