quantile,mean_daily_pnl,t_stat_nw
0,408.17280657215076,0.3273540459566431
1,822.9133460306043,0.6172047932979197
2,41.508683334084594,0.0346147170027161
3,-413.7263481929813,-0.4513998234983431
4,-228.30400706152352,-0.19513068200386205
5,-147.00624375917982,-0.11742796894412978
6,-3.945835355445297,-0.003372658584353937
7,-851.9840517190468,-0.8434429065343267
8,-886.3189972727994,-0.8222507804672312
9,-771.2024081651635,-0.546790824304444
