label,filters,holding_days,nw_lags,formation_days,names_per_side,days,mean_daily_pnl,t_stat_nw,daily_vol,sharpe_annual,total_pnl,max_drawdown,hit_rate,gross_pnl,spread_cost,break_even_spread_frac
30d all names,vega>=5 & px>=10 & oi>=250,21,8,180,12.6,450,978.3016414702556,1.7712258567327417,12433.412362676829,1.2490583156268698,440235.7386616148,180076.15352224853,0.5377777777777778,440235.73866161495,0.0,NaN
30d no earnings in life,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,7,130,11.3,391,1108.7178233230036,1.6071614699388044,15202.044105826291,1.1577620539332363,433508.6689192944,132303.39088872133,0.6035805626598465,433508.6689192943,0.0,NaN
60d all names,vega>=5 & px>=10 & oi>=250,21,32,358,14.6,455,422.49016487235343,1.6777829435648766,6182.636522663803,1.0847837198826458,192233.02501692067,60964.150802590506,0.5604395604395604,192233.02501692082,0.0,NaN
60d no earnings in life,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,15,152,11.1,396,751.3181360444498,2.405051240942178,7696.611683710764,1.5496176955424859,297521.981873602,77105.42151779686,0.553030303030303,297521.9818736022,0.0,NaN
