label,filters,holding_days,nw_lags,formation_days,names_per_side,days,mean_daily_pnl,t_stat_nw,daily_vol,sharpe_annual,total_pnl,max_drawdown,hit_rate,gross_pnl,spread_cost,break_even_spread_frac
iv_zscore,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,14,380,10.7,1094,316.319872674762,1.7872700256942031,6756.3433122029655,0.7432159786789959,346053.9407061895,160316.84023141587,0.5310786106032906,346053.9407061896,0.0,NaN
vrp_garch,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,14,173,10.7,483,-11.942190156626054,-0.043075260570283616,7456.041237684292,-0.02542587755887132,-5768.077845650438,135353.80093172757,0.4803312629399586,-5768.077845650409,0.0,NaN
vrp_rv,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,14,204,10.9,563,106.49288907846324,0.4859949173394979,6427.127168208121,0.26302921369793236,59955.4965511748,73782.66051314487,0.48312611012433393,59955.49655117479,0.0,NaN
iv_level,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,14,390,10.6,1104,108.43978824711141,0.4128285225612671,9935.692660163606,0.17325699681312642,119717.52622481064,396288.24753003765,0.5353260869565217,119717.52622481098,0.0,NaN
