date,option_pnl,vega_pnl,theta_pnl,gamma_pnl,hedge_pnl,cost,gross_pnl,total_pnl,long_pnl,short_pnl,gross_vega,n_positions
2021-04-23,0.0,0.0,0.0,0.0,0.0,2057.217976126682,0.0,-2057.217976126682,-255.2372113776358,-1801.980764749046,20000.0,11
2021-04-26,-568.8484896375924,-1101.0159331118184,464.42278557135893,371.66584470112525,320.8943203156384,2547.0923993065517,-247.95416932195408,-2795.046568628506,13.156877863083585,-2808.2034464915896,39419.98590142456,22
2021-04-27,707.0346203690282,15.160939335732044,345.6127599891029,-53.757806577859434,-380.0295645932998,2310.5766489106627,327.0050557757285,-1983.571593134934,-1040.9765255841073,-942.5950675508267,58722.58237184133,33
2021-04-28,6456.167697842274,5171.435850816368,491.6636764160398,-722.1123969444752,-1712.5877369163215,3296.2133381673216,4743.579960925952,1447.3666227586298,-1332.216849182673,2779.583471941303,77249.03250614983,46
2021-04-29,726.7923376267431,-562.3026756884456,534.459287379694,-633.6052511183585,-1482.9470425459642,1886.8930859890615,-756.1547049192212,-2643.047790908283,-1542.496307476665,-1100.551483431618,95787.43274714467,61
2021-04-30,271.9003602577458,1565.230519960716,685.7487305794822,-732.1462877074204,803.4872428687702,2249.6767748541665,1075.387603126516,-1174.2891717276502,1652.4885306876783,-2826.777702415329,113207.80158290712,80
2021-05-03,-3131.0377134537325,-4581.458375922197,2110.8580350754173,-770.2074046724806,98.16149443266703,0.0,-3032.876219021066,-3032.876219021066,-1932.2505627981077,-1100.6256562229582,106248.64768282954,80
2021-05-04,5358.569871931825,6348.459009469749,778.4862501216728,-2928.5013136269176,-2432.8586550784726,0.0,2925.711216853352,2925.711216853352,4573.958083363483,-1648.246866510131,101453.25626091089,80
2021-05-05,6470.320850009366,2527.3048426452156,685.988991558678,235.75575188632433,-2797.013300864877,0.0,3673.307549144489,3673.307549144489,-2040.9405800952036,5714.248129239692,99342.4348704877,80
2021-05-06,1466.3054177751671,-2555.807891883297,694.3568128711041,-376.07638289513113,-2171.368047886476,0.0,-705.0626301113086,-705.0626301113086,-86.91082070280973,-618.1518094084989,95389.03047468691,80
2021-05-07,963.9942262754887,-913.6163789543546,738.0012836937462,-426.2007156748651,226.05360667325556,2334.797923121165,1190.0478329487444,-1144.7500901724206,-5890.113133647609,4745.3630434751885,116680.55605156474,91
2021-05-10,5640.396009556788,89.7927648531022,2244.6316637948557,3654.767532054577,9.340877425341375,2059.527109855072,5649.736886982129,3590.209777127057,5615.396636563616,-2025.1868594365594,127672.37989958657,102
2021-05-11,-6013.378738986385,-4081.3928880119943,819.531552582265,76.04844020355432,3171.630613606188,1343.8464419238355,-2841.7481253801957,-4185.594567304031,4641.300514923145,-8826.895082227176,146893.46394705004,117
2021-05-12,8639.537338879296,3397.0622183176106,778.9247000214423,1712.1998140201783,-3531.326922560619,2351.874140180817,5108.210416318676,2756.3362761378594,17304.442135115063,-14548.105858977206,160446.36715044756,132
2021-05-13,-7120.885875618541,-2927.5462374197737,775.5550136438943,83.62048827182082,4833.345104818289,1617.8130613318913,-2287.5407708002517,-3905.3538321321425,-11219.658276863294,7314.304444731151,176898.30533529283,147
2021-05-14,826.5026951420966,-1814.0001341734564,863.3130534181067,547.9574125268928,-619.11454159174,2573.3553911593754,207.3881535503566,-2365.9672376090184,-13638.106033226648,11272.13879561763,196295.01256077248,162
2021-05-17,-4328.683813550395,-7787.303034354805,2836.464930068612,-2184.0674150335212,-1251.208770168267,1126.8059508680844,-5579.8925837186625,-6706.698534586746,3305.5841163869213,-10012.28265097367,208397.95008193474,177
2021-05-18,1718.132352180611,2528.2399447650187,1119.3503718244112,896.7426154771471,2781.300100736699,2402.188077649807,4499.43245291731,2097.2443752675026,-1323.9575923111208,3421.201967578623,222643.81489375298,192
2021-05-19,-2866.232545575767,-3876.0516643381643,1102.8551983019106,-923.9334645154786,-644.3054874402682,2293.528170391052,-3510.538033016036,-5804.066203407088,5015.967524709173,-10820.033728116261,240868.63472090644,209
2021-05-20,-13671.109263759045,-3168.070274932464,1187.4077491600553,-503.5128692658326,10611.28127805333,1806.0327689961794,-3059.8279857057155,-4865.860754701895,-13744.831868311814,8878.97111360992,258327.75536784087,228
2021-05-21,1975.4530060941117,-542.2344300646256,1135.3532952231017,-100.34077027103844,-857.0038596215555,2063.153355786065,1118.449146472556,-944.7042093135086,-8417.83639347528,7473.132184161771,271939.3989866242,245
2021-05-24,8989.721155180567,1906.3212903964506,3732.6266105061454,2515.7988876356662,-1088.0286956683406,1248.4123794750517,7901.6924595122255,6653.280080037174,-14383.960170318149,21037.240250355324,278785.969339402,262
2021-05-25,-9750.713610814742,-5184.919695995816,1323.047773396382,-1616.6709603528072,4170.258909280405,967.2030158504522,-5580.454701534338,-6547.657717384791,-1612.7532596791923,-4934.904457705598,292616.80563005223,279
2021-05-26,15841.147824208612,2488.87268718589,1488.587483873721,-1764.5189751810528,-13393.411345072107,1192.417456173023,2447.7364791365044,1255.3190229634815,-8826.774439472827,10082.093462436309,306747.2042209267,299
2021-05-27,6068.5297577572865,-4221.412485239921,1559.5371434830188,-350.28274490921933,-7714.115641367376,1400.332499626552,-1645.585883610089,-3045.918383236641,-2689.84070669907,-356.0776765375711,322555.00589732407,319
2021-05-28,8419.325183457873,3035.884593645511,1742.8321615112754,-507.48300043572516,-4542.307182412756,1283.5545494039898,3877.018001045117,2593.463451641128,-8477.01098414999,11070.474435791119,334310.26572129875,341
2021-06-01,4266.043037337169,-4321.356947145824,7217.248862428086,-4335.485972596045,-5300.97186790761,0.0,-1034.928830570442,-1034.928830570442,-1917.0711598024534,882.1423292320114,313016.97092076007,341
