label,filters,holding_days,nw_lags,formation_days,names_per_side,days,mean_daily_pnl,t_stat_nw,daily_vol,sharpe_annual,total_pnl,max_drawdown,hit_rate,gross_pnl,spread_cost,break_even_spread_frac
30d sold at 21d,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,21,338,11.1,1102,-1389.40535321587,-9.736050017108013,5726.000231891359,-3.851925483059388,-1531124.6992438883,1529615.287018523,0.4283121597096189,177670.5542323779,1708795.2534762667,0.051987080918833306
60d sold at 21d,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,21,380,10.7,872,-874.0648505566082,-9.102364057692835,3009.7267897068673,-4.61016906695545,-762184.5496853623,760844.6356911709,0.33256880733944955,192972.54521089303,955157.0948962553,0.10101612930585666
30d expiry,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,6,338,11.1,1105,-1104.4612652264582,-3.716188530816531,12193.170051319295,-1.437918028631177,-1220429.6980752356,1248476.5759045451,0.4760180995475113,731826.8818347534,1952256.5799099898,0.18743101940742207
60d expiry,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,14,380,10.7,1094,-290.83664723556035,-1.6470331823116027,6798.19511707869,-0.6791344709680303,-318175.29207570304,428009.1069787203,0.463436928702011,346053.9407061896,664229.2327818926,0.260492856703147
