label,filters,holding_days,nw_lags,formation_days,names_per_side,days,mean_daily_pnl,t_stat_nw,daily_vol,sharpe_annual,total_pnl,max_drawdown,hit_rate,gross_pnl,spread_cost,break_even_spread_frac
30d oi>=0,vega>=5 & px>=10 & no_earnings_in_life,21,21,1201,23.6,1216,1235.705532761966,4.851391191394192,8951.391957711048,2.1914152897159567,1502617.927838552,191731.44659038796,0.6389802631578947,1502617.9278385502,0.0,NaN
30d oi>=25,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,12,690,17.4,1212,664.4620503209088,2.339005391682789,10307.905725509696,1.0232930263061457,805328.0049889405,223646.41242432361,0.5882838283828383,805328.0049889414,0.0,NaN
30d oi>=100,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,8,477,14.3,1200,623.0809645010684,2.0928768828407853,11028.59645671215,0.8968596966251939,747697.1574012813,209863.26725197816,0.5758333333333333,747697.1574012819,0.0,NaN
30d oi>=250,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,6,338,11.1,1105,662.2867708911795,2.0889021836705295,12126.054224572514,0.8670154660047358,731826.8818347537,144752.43911004032,0.5647058823529412,731826.8818347534,0.0,NaN
30d oi>=1000,vega>=5 & px>=10 & oi>=1000 & no_earnings_in_life,21,4,134,7.7,661,755.2277500330804,1.527085814073278,12939.855206418584,0.9265071878754436,499205.54277186614,254888.10978816246,0.5688350983358548,499205.54277186637,0.0,NaN
60d oi>=0,vega>=5 & px>=10 & no_earnings_in_life,21,26,777,20.7,1185,522.3439083550217,3.1952377101824694,6492.460274588729,1.277166456388779,618977.5314007004,102378.74426007975,0.5763713080168776,618977.5314007007,0.0,NaN
60d oi>=25,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,18,522,17.0,1171,236.13110005308963,1.5445605055756138,5641.55152261903,0.6644386726350999,276509.5181621681,182379.6715950256,0.5422715627668659,276509.5181621679,0.0,NaN
60d oi>=100,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,15,427,14.0,1135,271.983939309694,1.5794936154654087,6207.549224509227,0.6955419970019107,308701.77111650293,214606.22426838352,0.5436123348017621,308701.7711165027,0.0,NaN
60d oi>=250,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,14,380,10.7,1094,316.319872674762,1.7872700256942031,6756.3433122029655,0.7432159786789959,346053.9407061895,160316.84023141587,0.5310786106032906,346053.9407061896,0.0,NaN
60d oi>=1000,vega>=5 & px>=10 & oi>=1000 & no_earnings_in_life,21,7,113,8.4,597,487.6863496955426,2.233996063641324,7579.888377495942,1.0213581531828915,291148.7507682391,88692.99091592424,0.5309882747068677,291148.750768239,0.0,NaN
90d oi>=0,vega>=5 & px>=10 & no_earnings_in_life,21,13,290,11.9,1172,132.69761629652612,0.6995543246285786,6741.697834514386,0.312459769846955,155521.6062995288,260017.56459358774,0.5281569965870307,155521.6062995288,0.0,NaN
90d oi>=25,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,9,196,11.4,1164,61.17268691836419,0.338604758609334,7026.436333538261,0.13820466785680396,71205.0075729759,271941.0967326528,0.5146048109965635,71205.00757297594,0.0,NaN
90d oi>=100,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,7,150,9.4,1071,-42.953366642796254,-0.20861121108819153,7622.983213838461,-0.08944838753167782,-46003.055674434596,269478.01874297566,0.5051353874883286,-46003.05567443469,0.0,NaN
90d oi>=250,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,5,78,9.0,761,-275.9361285403917,-1.1437474333354054,9239.005415706126,-0.47411491237882203,-209987.3938192382,343153.10674473195,0.492772667542707,-209987.39381923812,0.0,NaN
90d oi>=1000,vega>=5 & px>=10 & oi>=1000 & no_earnings_in_life,21,4,27,6.1,322,-244.10647823810126,-0.7203793644804168,7492.917534660061,-0.5171644010629969,-78602.28599266858,153141.22087511633,0.5,-78602.2859926686,0.0,NaN
