month,names,naked,static_hedge,daily_hedge,variance_premium,vol_premium,iv,realized_vol,share_positive
2017-10-01,286,0.03832172061284689,0.03543497075062163,-0.07455570552789782,-0.02421785538625843,-0.0003618707228523475,0.2539582167832168,0.25432008750606916,0.6433566433566433
2017-11-01,273,-0.2628365041058415,-0.18192281289944384,-0.09272184778721136,-0.007099542741925991,-0.0049982066852729545,0.21902161172161172,0.22401981840688467,0.5128205128205128
2017-12-01,299,-0.4480231021366513,-0.3831245442221932,0.01454676372195057,0.0022417459863516578,0.010122709851473538,0.21101204013377928,0.20088933028230574,0.6321070234113713
2018-01-01,314,-0.13605096221692436,-0.18886996810704987,-0.32620755862549966,-0.05841700148396582,-0.09107243307638695,0.25647547770700635,0.34754791078339337,0.09235668789808917
2018-02-01,301,0.21450311184350546,0.19145908408809578,0.040967405135591745,0.010625878528486971,0.0332148554311161,0.2815742524916944,0.24835939706057825,0.7740863787375415
2018-03-01,280,0.15336262205695195,0.15585944600200152,-0.17228467013149193,-0.025675170825411004,-0.039177197862582905,0.2574160714285715,0.2965932692911543,0.2857142857142857
2018-04-01,292,0.16891207001525416,0.14767181288391368,0.11125738867973141,0.007569569302171398,0.04063674301519289,0.2859621575342466,0.2453254145190537,0.8287671232876712
2018-05-01,308,-0.012500876911360991,-0.025003004755216492,-0.03611868786528379,-0.0034331891457880046,0.0033076668721829347,0.22397970779220783,0.22067204092002485,0.5811688311688312
2018-06-01,303,0.16239677553494114,0.20656095866017068,0.006810904598026989,-0.0009577912551088784,0.0069329109298536295,0.22599158415841586,0.2190586732285622,0.636963696369637
2018-07-01,285,0.04236737903258184,0.04412356744620829,0.018204322103747568,0.0019996227926755085,0.019477411264400828,0.2596538596491228,0.240176448384722,0.6912280701754386
2018-08-01,287,0.10287534088445294,0.12268408579138515,0.058277041769425136,0.0064609765217965446,0.022381019726415905,0.21297299651567947,0.19059197678926354,0.7386759581881533
2018-09-01,310,-0.607102567987456,-0.5965726481609036,-0.26823814965936266,-0.033810830682897565,-0.05802537088807216,0.22291419354838712,0.2809395644364593,0.16129032258064516
2018-10-01,285,0.027609543001914892,0.049084732737629796,-0.15422409031032894,-0.04703017236846173,-0.04345222095130796,0.3250182456140351,0.36847046656534305,0.37894736842105264
2018-11-01,259,-0.45167077282169127,-0.3613421346379199,-0.08622598951376893,-0.012960480582895832,-0.021324748972154632,0.31093513513513515,0.3322598841072898,0.33976833976833976
2018-12-01,152,-0.3522541732228516,-0.07433772956223846,0.13112769821429754,0.014460827105702645,0.10795482065034516,0.3999358552631579,0.2919810346128127,0.9473684210526315
2019-01-01,254,-0.14596788099875485,-0.09056154641265801,0.096197023409246,0.03180004325465352,0.06477138584551902,0.3143954724409449,0.24962408659542587,0.8661417322834646
2019-02-01,277,0.1932502644942409,0.19819879223213535,0.15266323765612969,0.017622026021592928,0.05264417971014641,0.2525225631768953,0.19987838346674888,0.855595667870036
2019-03-01,263,-0.1739910932428407,-0.1675997151682227,-0.0958835950205773,-0.024412797911005125,-0.0200860976776456,0.22225323193916352,0.2423393296168091,0.49809885931558934
