symbol,month,entry_day,expiration,strike,spot_entry,iv,realized_var,premium_over_spot,naked,static_hedge,daily_hedge,variance_premium,earnings_in_hold,hedged_sessions
A,2020-09-01,2020-09-22,2020-10-16,97.5,98.62,0.29275,0.04473027905294087,0.058304603528696,-0.6000000000000005,-0.3834560000000005,0.04759669565217342,0.04097228344705914,false,18
A,2020-10-01,2020-10-20,2020-11-20,105.0,105.61,0.32545,0.08303323627189331,0.08166840261338888,0.31710144927536227,0.3712788405797101,0.20844579710144856,0.022884466228106706,false,23
A,2020-11-01,2020-11-24,2020-12-18,110.0,114.68,0.3284,0.038134329775722564,0.06627136379490757,-0.2236842105263172,0.053272631578946274,0.09746381578947308,0.06971223022427746,false,17
A,2020-12-01,2020-12-22,2021-01-15,120.0,117.37,0.2852,0.02979556238415598,0.05900144841100792,0.10324909747292302,-0.18129039711191464,0.18531379061371758,0.05154347761584402,false,16
A,2021-01-01,2021-01-20,2021-02-19,125.0,128.11,0.29475000000000007,0.05652428867478361,0.06966669268597299,0.79047619047619,0.7542278991596632,0.32878621848739414,0.030353273825216423,true,21
A,2021-02-01,2021-02-23,2021-03-19,125.0,122.42,0.29525,0.08335569791660462,0.06187714425747426,0.6950495049504966,0.6881310891089122,0.06549655445544639,0.0038168645833953907,false,18
A,2021-03-01,2021-03-23,2021-04-16,125.0,121.98,0.2142,0.039159887443308394,0.05041810132808657,-0.5577235772357743,-1.1930504065040675,-0.004753983739837716,0.006721752556691607,false,17
A,2021-04-01,2021-04-20,2021-05-21,135.0,132.46,0.24785000000000001,0.03168740924428004,0.06058432734410388,0.6635514018691603,0.6670963239875403,0.3280714018691603,0.02974221325571997,false,23
A,2021-05-01,2021-05-25,2021-06-18,135.0,133.23000000000002,0.26165,0.03834664753882727,0.05460481873451925,-0.3759450171821332,-0.5877421305841951,0.20836013745704365,0.03011407496117273,true,17
A,2021-06-01,2021-06-22,2021-07-16,145.0,146.63,0.18865,0.004932560220695558,0.03904385187205892,0.3135371179039289,0.3954532751091695,0.38122794759825296,0.030656262279304448,false,17
A,2021-07-01,2021-07-20,2021-08-20,150.0,149.3,0.25735,0.02435010353032079,0.06128600133958473,-0.9814207650273218,-1.0182575956284148,0.14704688524590018,0.04187891896967923,true,23
A,2021-08-01,2021-08-24,2021-09-17,170.0,170.57000000000002,0.19855,0.029428374471110595,0.041038869672275304,0.43714285714285744,0.4722390000000001,0.22815771428571247,0.009993728028889405,false,17
A,2021-09-01,2021-09-21,2021-10-15,170.0,171.44,0.26065,0.07314202443471549,0.05045496966868876,-0.9341040462427733,-1.2109602312138714,-0.27766161849710974,-0.005203601934715488,false,18
A,2021-10-01,2021-10-19,2021-11-19,155.0,155.62,0.20765,0.032348913681312506,0.051728569592597355,-0.15527950310559138,-0.07419428571428692,0.05056906832298078,0.010769608818687493,false,23
A,2021-12-01,2021-12-21,2022-01-21,150.0,153.96,0.29015,0.067944922158271,0.06690049363471032,-0.212621359223299,-0.6658747572815511,-0.07976961165048503,0.016242100341729016,false,21
A,2022-01-01,2022-01-25,2022-02-18,140.0,134.57,0.36145000000000005,0.09366936230026862,0.08248495206955489,0.2837837837837849,0.3506886486486493,0.14832324324324478,0.036976740199731406,false,18
A,2022-02-01,2022-02-23,2022-03-18,130.0,126.0,0.39460000000000006,0.14426391353104823,0.0746031746031746,0.029787234042552745,-0.31817191489361757,-0.22868308510638388,0.011445246468951814,false,17
A,2022-03-01,2022-03-22,2022-04-14,135.0,139.29000000000002,0.29775,0.11464913537905864,0.0624596166271807,0.016091954022989997,-0.5163706896551712,-0.1935085057471247,-0.02599407287905864,false,17
A,2022-04-01,2022-04-19,2022-05-20,125.0,126.53,0.3167,0.17518868226724355,0.07587133486129773,0.9864583333333323,0.9658374999999991,0.03756124999999887,-0.07488979226724356,false,23
A,2022-05-01,2022-05-24,2022-06-17,125.0,124.41000000000001,0.41685000000000005,0.1835683899679857,0.08841732979664013,-0.11727272727272654,-0.1318445454545447,-0.17163263636363582,-0.009804467467985634,true,17
A,2022-06-01,2022-06-22,2022-07-15,115.0,113.80000000000001,0.34235000000000004,0.09358553215056085,0.0672231985940246,0.49934640522875656,0.4609474509803905,0.06255581699346273,0.023617990349439177,false,16
A,2022-07-01,2022-07-19,2022-08-19,115.0,119.06,0.36455000000000004,0.15044001004552712,0.0890307408029565,-1.1339622641509435,-0.6050022641509436,-0.15467179245283053,-0.017543307545527104,true,23
A,2022-08-01,2022-08-23,2022-09-16,135.0,132.64000000000001,0.29480000000000006,0.10782828305591328,0.06050211097708082,0.36323987538941,0.4130654205607495,-0.30409271028037044,-0.020921243055913252,false,17
A,2022-09-01,2022-09-20,2022-10-21,130.0,128.14000000000001,0.3257,0.11045796807143712,0.07842984235991883,0.9880597014925369,0.9769617910447758,0.0063822885572153805,-0.004377478071437124,false,23
A,2022-12-01,2022-12-20,2023-01-20,145.0,147.93,0.28470000000000006,0.07048610243259074,0.0665855472182789,-0.10862944162436713,0.10267969543147071,-0.026405786802031903,0.010567987567409301,false,20
A,2023-02-01,2023-02-22,2023-03-17,145.0,142.08,0.34705,0.08978064362658765,0.06897522522522523,-0.20612244897959106,-0.0849734693877542,0.04888122448979725,0.030663058873412363,true,17
A,2023-03-01,2023-03-21,2023-04-21,135.0,137.01000000000002,0.3038,0.04460156404808502,0.06897306765929492,0.6296296296296297,0.6621415873015869,0.29278021164021156,0.04769287595191499,false,22
A,2023-05-01,2023-05-23,2023-06-16,130.0,128.64000000000001,0.32755,0.09524720336162243,0.06957400497512436,0.00893854748603452,0.035622122905028905,-0.07127173184357469,0.012041799138377579,true,17
A,2023-06-01,2023-06-21,2023-07-21,120.0,118.33000000000001,0.22655000000000003,0.03980740771973078,0.048170370996366084,-0.3368421052631589,-0.5144929824561411,-0.055305614035089525,0.011517494780269234,false,21
A,2023-07-01,2023-07-25,2023-08-18,130.0,127.31,0.30235,0.07803122920970967,0.0638205953970623,-0.3230769230769231,-0.174376123076923,-0.16069612307692238,0.013384293290290325,true,18
A,2023-08-01,2023-08-22,2023-09-15,120.0,117.64,0.24480000000000002,0.03569772159906312,0.0518531111866712,0.3295081967213132,0.38146491803278837,0.09822918032786943,0.024229318400936888,false,17
A,2023-09-01,2023-09-19,2023-10-20,115.0,112.31,0.24395,0.056232284134531865,0.05943371026622741,0.13558052434456996,0.22094382022471973,-0.027632659176028952,0.003279318365468138,false,23
A,2023-10-01,2023-10-24,2023-11-17,110.0,105.64,0.30169999999999997,0.09566438703494867,0.06910261264672474,0.5684931506849308,0.21377424657534147,-0.25988150684931594,-0.004641497034948691,false,18
A,2023-12-01,2023-12-19,2024-01-19,140.0,139.79000000000002,0.24525000000000002,0.06490948319734827,0.056155662064525345,-0.11847133757961803,-0.18637630573248443,-0.16830866242038237,-0.004761920697348258,false,20
A,2024-02-01,2024-02-21,2024-03-15,135.0,135.33,0.35475,0.06027540112629352,0.06909037168403163,-0.3347593582887718,-0.2226155080213921,0.23977037433154932,0.0655721613737065,true,17
A,2024-03-01,2024-03-19,2024-04-19,145.0,147.39000000000001,0.2384,0.05410461696877503,0.05563471063165751,-0.49634146341463176,-0.9772609756097537,-0.08561573170731492,0.0027299430312249726,false,22
A,2024-04-01,2024-04-23,2024-05-17,135.0,139.20000000000002,0.26,0.05282631464003232,0.05926724137931034,-1.330909090909093,-0.579591272727275,0.09111721212121096,0.01477368535996769,false,18
A,2024-05-01,2024-05-21,2024-06-21,155.0,153.67000000000002,0.2781,0.16029943828763368,0.06409839265959523,-1.2081218274111676,-1.1894639593908627,-0.4900784771573594,-0.08295982828763368,true,21
A,2024-06-01,2024-06-25,2024-07-19,135.0,134.69,0.23815,0.061920715967966666,0.04603162818323558,0.48064516129032275,0.4620117741935486,-0.24053387096774126,-0.005205293467966665,false,17
A,2024-07-01,2024-07-23,2024-08-16,135.0,130.65,0.24180000000000001,0.0742865700796329,0.054152315346345195,0.2876325088339194,-0.18166840989399657,-0.21408522968198088,-0.015819330079632883,false,18
A,2024-08-01,2024-08-20,2024-09-20,140.0,139.75,0.30885,0.024559386738661905,0.07334525939177101,0.9912195121951216,0.9932230243902436,0.6318700487804868,0.07082893576133811,true,22
A,2024-09-01,2024-09-24,2024-10-18,140.0,141.87,0.22275,0.07637362739991271,0.048636075280186084,0.8304347826086975,0.7239466666666687,-0.11221339130434461,-0.02675606489991271,false,18
A,2024-10-01,2024-10-22,2024-11-15,135.0,133.46,0.27980000000000005,0.0892406326463176,0.057320545481792294,-0.03660130718954147,0.01744222222222322,-0.18851163398692714,-0.010952592646317566,false,18
A,2024-11-01,2024-11-19,2024-12-20,125.0,125.69000000000001,0.3493,0.05697162743503476,0.08194764897764341,0.07669902912621178,0.17380466019417296,0.26480747572815505,0.06503886256496524,true,22
A,2024-12-01,2024-12-24,2025-01-17,135.0,136.1,0.21595000000000003,0.03934727690252166,0.051249081557678176,-0.7720430107526902,-0.5043859498207902,0.14119283154121776,0.00728712559747835,false,15
A,2025-01-01,2025-01-22,2025-02-21,150.0,152.6,0.2432,0.04583409537930527,0.05324377457404981,-0.8006153846153841,-1.3984168615384607,-0.09405403076922925,0.01331214462069473,false,21
A,2025-02-01,2025-02-25,2025-03-21,135.0,134.18,0.3509,0.11826783622959093,0.07154568490087941,-0.48437500000000006,-0.4923490625000001,-0.11333281249999878,0.0048629737704090625,true,18
A,2025-03-01,2025-03-25,2025-04-17,120.0,120.51,0.25925000000000004,0.33206235005164064,0.04709152767405195,-2.0872246696035233,-2.4611684581497784,-0.7188303083700427,-0.2648517875516406,false,17
A,2025-04-01,2025-04-22,2025-05-16,100.0,102.81,0.43320000000000003,0.14775099317862173,0.08535161949226729,-0.5692307692307703,-0.23175019943020023,0.0948675783475774,0.03991124682137831,false,18
A,2025-05-01,2025-05-20,2025-06-20,115.0,113.48,0.38670000000000004,0.07693020831893553,0.09032428621783574,0.9453658536585363,0.9405159024390242,0.49070507317073103,0.0726066816810645,true,21
A,2025-06-01,2025-06-24,2025-07-18,115.0,117.64,0.29145,0.10889226100462415,0.05844100646038762,0.8530909090909105,0.6864385454545472,-0.27043781818181467,-0.02394915850462416,false,17
A,2025-10-01,2025-10-21,2025-11-21,145.0,145.68,0.3133,0.054382299144345565,0.07344865458539264,0.41588785046728965,0.47216046728971955,0.14834757009345764,0.043774590855654445,false,23
A,2025-11-01,2025-11-25,2025-12-19,155.0,157.20000000000002,0.36605,0.05015869247247529,0.05916030534351145,-0.9096774193548376,-1.3603870967741925,0.03914086021505361,0.08383391002752472,false,17
AAL,2017-10-01,2017-10-24,2017-11-17,51.0,51.95,0.33830000000000005,0.07765166826148712,0.07083734359961501,0.019021739130434978,-0.24355,-0.021065489130434586,0.03679522173851292,false,18
AAL,2017-11-01,2017-11-21,2017-12-15,47.5,48.650000000000006,0.2741,0.0523488924748453,0.061253854059609446,-0.19463087248322225,0.044428187919461994,0.12927114093959632,0.022781917525154703,false,17
AAL,2017-12-01,2017-12-19,2018-01-19,51.5,51.440000000000005,0.2501,0.07414047062119039,0.057542768273716946,-1.2162162162162171,-1.1428594594594603,-0.01756587837837861,-0.011590460621190402,false,20
AAL,2018-01-01,2018-01-23,2018-02-16,58.0,58.290000000000006,0.29705000000000004,0.2084429426590248,0.06176016469377251,-0.7833333333333318,-0.9592844444444428,-0.4046138888888881,-0.12020424015902478,false,18
AAL,2018-02-01,2018-02-21,2018-03-16,51.5,52.78,0.3177,0.03868081663548813,0.06640773020083365,-0.11269614835948796,0.09742710413694605,0.18206134094151213,0.06225247336451187,false,17
AAL,2018-04-01,2018-04-24,2018-05-18,46.5,45.690000000000005,0.3781,0.12486949274919518,0.08229371853797328,0.17021276595744744,0.22519813829787302,0.06785771276595812,0.01809011725080481,false,18
AAL,2018-05-01,2018-05-22,2018-06-15,44.5,42.88,0.29215,0.06434906079449754,0.07171175373134328,0.4373983739837409,0.44875252032520424,0.1832182113821147,0.02100256170550248,false,17
AAL,2018-06-01,2018-06-19,2018-07-20,42.5,41.510000000000005,0.31245,0.1448426656495921,0.07552397012768006,-0.4736842105263151,-0.29328421052631487,0.0663237639553438,-0.04721766314959211,false,22
AAL,2018-07-01,2018-07-24,2018-08-17,38.0,37.45,0.36935,0.08308909766902306,0.07703604806408544,0.9272097053726167,0.9184533795493932,0.36291542461005055,0.05333032483097694,false,18
AAL,2018-08-01,2018-08-21,2018-09-21,40.0,40.330000000000005,0.29855,0.08984991360478663,0.06868336226134392,-0.2996389891696754,-0.15183971119133627,0.048537906137185054,-0.0007178111047866365,false,22
AAL,2018-09-01,2018-09-25,2018-10-19,42.0,40.81,0.3034,0.26117458427715873,0.06726292575349178,-2.628415300546448,-1.8456648451730417,-0.3573537340619304,-0.16912302427715872,false,18
AAL,2018-10-01,2018-10-23,2018-11-16,32.0,32.38,0.50775,0.26413899222387455,0.11612106238418776,-0.26329787234042545,-0.11209122340425536,-0.03728058510638391,-0.006328929723874499,false,18
AAL,2018-11-01,2018-11-20,2018-12-21,36.0,35.59,0.44285,0.3418345774150755,0.1119696543973026,-0.3099121706398994,-0.31063638644918423,-0.33174629861982413,-0.14571845491507548,false,21
AAL,2019-01-01,2019-01-23,2019-02-15,33.0,31.650000000000002,0.5012,0.1507466856462684,0.10774091627172196,0.3988269794721395,0.19642228739002796,0.13021700879765324,0.1004547543537316,false,17
AAL,2019-02-01,2019-02-20,2019-03-15,35.5,35.06,0.32955,0.08488210298247265,0.06503137478608101,-0.785087719298244,-0.661858771929823,0.08524342105263276,0.023721099517527364,false,17
AAL,2019-03-01,2019-03-19,2019-04-18,31.5,31.59,0.30535,0.07326958752497288,0.07454890788224122,-0.21868365180467286,-0.12601698513800602,0.03979957537154882,0.019969034975027125,false,22
AAL,2019-04-01,2019-04-23,2019-05-17,33.5,33.97,0.39965000000000006,0.0823100070812912,0.08124816014130115,0.3623188405797109,0.23158913043478352,0.18112028985507372,0.07741011541870886,false,18
AAL,2019-05-01,2019-05-21,2019-06-21,31.0,31.3,0.34345000000000003,0.19278902234118075,0.07587859424920128,0.7599999999999999,0.7753814736842104,-0.30131873684210686,-0.07483111984118074,false,22
AAL,2019-06-01,2019-06-25,2019-07-19,32.0,31.26,0.3437,0.0655092748722474,0.07613563659628918,0.5462184873949587,0.4292949579831942,0.3203327731092439,0.052620415127752604,false,17
AAL,2019-07-01,2019-07-23,2019-08-16,33.0,33.730000000000004,0.36665000000000003,0.2298085741968246,0.07663800770827156,-1.7891682785299796,-2.5057647969052215,-0.5351063829787231,-0.09537635169682457,false,18
AAL,2019-08-01,2019-08-20,2019-09-20,26.0,25.830000000000002,0.36205,0.17855243187983894,0.08497870692992644,0.09339407744874637,0.09979043280182148,-0.06890022779043312,-0.04747222937983894,false,22
AAL,2019-09-01,2019-09-24,2019-10-18,27.5,26.995,0.35905,0.08426822947528753,0.07797740322281904,0.6579572446555808,0.5960961995249394,0.3425235154394286,0.044648673024712454,false,18
AAL,2019-10-01,2019-10-22,2019-11-15,28.5,28.26,0.38545,0.10531332789210221,0.08280254777070063,0.8461538461538449,0.8423589743589731,0.23790769230769074,0.043258374607897804,false,18
AAL,2019-11-01,2019-11-19,2019-12-20,28.5,29.290000000000003,0.3068,0.077178178607761,0.0773301468077842,0.7615894039735087,0.7311589403973499,0.15531037527593672,0.01694806139223902,false,22
AAL,2019-12-01,2019-12-24,2020-01-17,29.5,29.18,0.27949999999999997,0.10813704217681633,0.060143934201507876,0.3732193732193744,0.407397150997152,-0.2151025641025631,-0.03001679217681634,false,16
AAL,2020-01-01,2020-01-22,2020-02-21,27.0,27.32,0.4074,0.22175310460266195,0.09169106881405563,0.6726546906187624,0.6997804391217564,-0.14374810379241548,-0.055778344602661956,false,21
AAL,2020-04-01,2020-04-21,2020-05-15,11.0,11.0,1.3223000000000003,0.952612130275847,0.2790909090909091,0.36156351791530983,0.2725016286644955,0.21827846905537485,0.7958651597241537,false,18
AAL,2020-05-01,2020-05-19,2020-06-19,10.0,9.64,1.2505000000000002,2.842289297761915,0.23858921161825722,-1.6086956521739133,-1.567217391304348,-0.5953695652173923,-1.2785390477619147,false,22
AAL,2020-07-01,2020-07-21,2020-08-21,11.5,11.47,1.0618500000000002,0.2832095024714291,0.24367916303400172,0.7638640429338103,0.7922540250447226,0.4704647584973164,0.8443159200285713,false,23
AAL,2020-08-01,2020-08-25,2020-09-18,13.5,13.14,0.85445,0.16481456770572764,0.1750380517503805,0.8652173913043484,0.8648847826086963,0.6102300000000005,0.5652702347942724,false,17
AAL,2020-09-01,2020-09-22,2020-10-16,12.0,12.34,0.7935000000000001,0.2251910917203559,0.1527552674230146,0.7559681697612728,0.7681336870026522,0.43996816976127295,0.4044511582796443,false,18
AAL,2020-10-01,2020-10-20,2020-11-20,12.5,12.8,0.8362499999999999,0.480575993704437,0.19257812500000002,0.9878296146044621,0.9688036511156183,0.32201135902636874,0.21873806879556296,false,23
AAL,2020-12-01,2020-12-22,2021-01-15,16.0,15.48,0.7707,0.1715555206693146,0.16182170542635657,0.9041916167664676,0.8980103792415175,0.4643892215568866,0.42242296933068546,false,16
AAL,2021-01-01,2021-01-20,2021-02-19,16.0,16.17,0.61675,0.32139140620385015,0.14935064935064934,-0.10973084886128351,0.014469979296066231,0.24142277432712184,0.05898915629614987,false,21
AAL,2021-02-01,2021-02-23,2021-03-19,20.5,20.66,0.7554000000000001,0.3204510953146935,0.15246853823814135,-0.41904761904761967,-0.2704552380952387,0.172680952380952,0.25017806468530657,false,18
AAL,2021-05-01,2021-05-25,2021-06-18,23.0,23.21,0.45015000000000005,0.11161124125617994,0.0915553640672124,0.6658823529411777,0.6188216470588249,0.3742489411764713,0.0910237812438201,false,17
AAL,2021-06-01,2021-06-22,2021-07-16,22.5,22.11,0.42845,0.1183083350890484,0.08616010854816826,-0.4225721784776887,-0.31296587926509045,0.1460052493438326,0.06526106741095161,false,17
AAL,2021-08-01,2021-08-24,2021-09-17,19.0,19.830000000000002,0.47700000000000004,0.17522953338612066,0.10690872415532021,0.6556603773584904,0.641150943396226,0.1673632075471691,0.05229946661387938,false,17
AAL,2021-09-01,2021-09-21,2021-10-15,20.5,19.76,0.48235000000000006,0.142018913236034,0.10450404858299595,0.7481840193704602,0.7281656174334143,0.21831815980629535,0.09064260926396606,false,18
AAL,2021-10-01,2021-10-19,2021-11-19,20.0,19.53,0.40915,0.14297515030848043,0.09959037378392216,0.6298200514138823,0.6437532133676097,0.07035218508997501,0.024428572191519587,false,23
AAL,2021-11-01,2021-11-23,2021-12-17,19.5,19.470000000000002,0.44720000000000004,0.4823623513963342,0.09296353364149973,-0.4088397790055252,-0.45910055248618825,-0.27818618784530336,-0.2823745113963342,false,17
AAL,2021-12-01,2021-12-21,2022-01-21,17.5,18.12,0.5613,0.17561517236076604,0.12748344370860926,0.48051948051948085,0.2954467532467535,0.2043004329004341,0.13944251763923396,false,21
AAL,2022-01-01,2022-01-25,2022-02-18,16.5,16.46,0.59995,0.3127424879883316,0.12424058323207775,0.3300733496332513,0.3642718826405863,0.013562836185818087,0.04719751451166837,false,18
AAL,2022-03-01,2022-03-22,2022-04-14,16.0,16.560000000000002,0.60975,0.2601817924158892,0.11322463768115941,-0.6,-0.2760981333333337,0.0008730666666660151,0.11161327008411082,false,17
AAL,2022-06-01,2022-06-22,2022-07-15,13.0,13.100000000000001,0.7261500000000001,0.37595686992698574,0.1431297709923664,0.21599999999999966,0.295934933333333,0.06465333333333291,0.15133695257301438,false,16
AAL,2022-07-01,2022-07-19,2022-08-19,14.5,15.16,0.6804000000000001,0.20705975576753594,0.15336411609498682,0.8580645161290322,0.7462051612903225,0.3016129032258064,0.2558844042324642,false,23
AAL,2022-08-01,2022-08-23,2022-09-16,13.5,13.82,0.5781000000000001,0.19947696392758257,0.11649782923299565,0.84472049689441,0.8363248447204968,0.26970559006211137,0.13472264607241752,false,17
AAL,2022-09-01,2022-09-20,2022-10-21,14.0,13.97,0.605,0.2930485071929486,0.14209019327129563,0.8539042821158694,0.844761712846348,0.26518740554156184,0.07297649280705137,false,23
AAL,2022-10-01,2022-10-25,2022-11-18,14.0,14.290000000000001,0.57265,0.13385365646421246,0.11161651504548636,0.9686520376175544,0.9411460815047017,0.5090332288401241,0.1940743660357875,false,18
AAL,2022-11-01,2022-11-22,2022-12-16,14.0,13.98,0.48140000000000005,0.22272008524198092,0.09334763948497855,0.08812260536398517,0.03988812260536447,-0.16060459770114857,0.009025874758019137,false,17
AAL,2022-12-01,2022-12-20,2023-01-20,12.5,12.530000000000001,0.49605,0.2777389033033953,0.11252992817238627,-1.7234042553191486,-1.4796723404255314,-0.14400921985815643,-0.03167330080339531,false,20
AAL,2023-01-01,2023-01-24,2023-02-17,16.0,16.02,0.47455,0.07528374427893166,0.09893882646691636,0.7728706624605681,0.7890662460567828,0.4722410094637221,0.14991395822106834,false,18
AAL,2023-02-01,2023-02-22,2023-03-17,15.5,15.56,0.44525000000000003,0.1510786379533735,0.08579691516709512,-0.13857677902621693,-0.24710561797752786,0.04959250936329687,0.04716892454662652,false,17
AAL,2023-03-01,2023-03-21,2023-04-21,14.0,14.370000000000001,0.5101,0.18525939381937648,0.11551844119693805,0.63855421686747,0.509298795180723,0.03213132530120449,0.0749426161806235,false,22
AAL,2023-05-01,2023-05-23,2023-06-16,14.5,14.07,0.37155000000000005,0.07337354879559285,0.0828002842928216,-0.6995708154506441,-1.0646909871244639,0.22608927038626545,0.06467585370440718,false,17
