effective_spread,carry,months,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
0.0,naked,98,-0.0352734536300196,0.4324162328720094,-0.8075306823889328,-3.6914551284777484,0.39205593947946227,-0.08157291736191635,NaN,NaN
0.0,static_hedge,98,-0.018471354060792276,0.34347173457365626,-0.5323788177916615,-2.628996239003962,0.36467183612793197,-0.05377838174579446,NaN,NaN
0.0,daily_hedge,98,-0.011323931590035599,0.1973225499512641,-0.5681114675731777,-1.3617608469181588,0.25314349690498833,-0.057387924455833614,NaN,NaN
0.25,naked,98,-0.04952162693333279,0.44087313725572996,-1.1119731588339776,-3.778892314576269,0.37915382048302754,-0.11232625158699021,NaN,NaN
0.25,static_hedge,98,-0.03237028089444387,0.34969995030165046,-0.9163553827640678,-2.696420410409436,0.3513898292556112,-0.09256587216132381,NaN,NaN
0.25,daily_hedge,98,-0.025086920416830402,0.2009795718271609,-1.2356869874076926,-1.4078966470993057,0.24065228394145252,-0.12482323545999362,NaN,NaN
0.5,naked,98,-0.06466429874516184,0.44996813821567233,-1.422642724317625,-3.870842074300216,0.36538979580765985,-0.14370861679581381,NaN,NaN
0.5,static_hedge,98,-0.04713613556555841,0.3564312395926836,-1.3091555495975242,-2.7673345455669547,0.33723911326101735,-0.1322446809640587,NaN,NaN
0.5,daily_hedge,98,-0.03972803566345528,0.205095395074032,-1.9175832190183533,-1.4566624848986047,0.22729572409075685,-0.19370515680820088,NaN,NaN
1.0,naked,98,-0.09888921203560172,0.4707402681482337,-2.079603807175657,-4.070553457804422,0.33471323240358886,-0.21007170774789552,NaN,NaN
1.0,static_hedge,98,-0.08046415406332649,0.3719847843531644,-2.1413630858954393,-2.9214194744747077,0.3057779304341953,-0.2163103370027452,NaN,NaN
1.0,daily_hedge,98,-0.07296695425163514,0.21566648731299992,-3.3493196052555922,-1.5636460685835893,0.19697953957539546,-0.33833237217675427,NaN,NaN
