window,sessions,skip,signal_rows,spread,spread_t_naive,spread_t_overlap_adj,decile_1,decile_10,rank_gross_pnl,rank_sharpe,rank_max_drawdown,rank_turnover,rank_positions,rank_market_loading,rank_market_t,rank_intercept_t,mvo_gross_pnl,mvo_sharpe,mvo_max_drawdown,mvo_turnover,mvo_positions,mvo_market_loading,mvo_market_t,mvo_intercept_t,rank_net_pnl_full_cost,rank_net_sharpe_full_cost,rank_cost_total
1m,21,0,895945,0.4940835857867644,5.1884206815657885,0.6698222297607478,1.4719718965940716,1.9660554823808356,-2288545.542189474,-3.44002687782572,-2291554.4969960917,53.34623099821449,479.4596131968146,0.02467634340576156,3.421055987490154,-9.275783498156976,-2863053.2825301345,-1.4264937535076587,-2911983.8049091687,39.480712190815055,480.10978384527874,0.00010262740551338911,0.004728523784204276,-3.7968461258045005,-39044006.500991315,-6.954496017708554,36755460.95880185
3m_skip1m,63,21,869629,-0.6756177886634189,-7.322888922868079,-0.9453808948131612,1.9628702046909252,1.287252416027506,260225.64164062607,0.46179751175977635,-116069.63461039099,39.48584213295962,467.2849829351536,0.02661516365103098,4.243587682282628,0.9931048560607937,126091.94759366033,0.0809753474397728,-407535.5363659726,30.117960891987103,467.77019340159273,0.021361781401994122,1.222735479139633,0.05772888720249341,-30431548.835215606,-5.954579671667885,30691774.476856235
6m_skip1m,126,21,849704,-1.6874224172088272,-17.762617536424088,-2.293144063454077,2.6274426285834274,0.9400202113745993,408505.29893060535,0.7183136315678512,-118844.16212661623,34.55600629171819,458.70932878270764,0.02588625977244388,4.243706768976654,1.7484964393586557,266566.4277896823,0.17229097892909884,-369425.9649399481,27.35706131607113,459.273606370876,0.021764525586306996,1.249476944692093,0.15932300087277285,-28395838.66447856,-5.674946095726266,28804343.963409167
12m_skip1m,252,21,810695,-1.555769400209425,-16.34415656648611,-2.1100215396602433,2.4516994849276164,0.8959300847181915,479347.21839267545,0.7821511161724194,-112110.10838140987,30.958263386705912,443.69005175388156,0.03944450672309608,5.896036687346914,1.8260522776783028,441314.31361032685,0.2533279431387355,-483126.7369908788,26.092009109571084,444.3122484186314,0.031344283528475694,1.5971955041811217,0.3884512667209529,-26510283.891862974,-5.573773205283077,26989631.110255644
12m_noskip,252,0,823638,-1.4883201172767981,-14.453811065090179,-1.8659789848107582,2.5415849496106375,1.0532648323338394,-242646.06253171118,-0.3916879497603228,-275437.1090163038,30.76095045959414,446.3196814562002,0.03984691490689013,6.0183342868968035,-1.2835141495510376,-363139.0881922153,-0.22781058615893288,-767514.2413970539,25.744367132917766,446.95676905574516,-0.008914981191003611,-0.4913194885622401,-0.7609808283869204,-27624449.761150483,-5.648810240194681,27381803.698618773
