state,months,mean_slope,mean_iv_30,short_naked_mean,short_naked_t,short_hedged_mean,short_hedged_t,variance_premium_mean,variance_premium_t
backwardation (slope < 0),18,-0.013927777777777785,0.22054722222222226,0.07725438240818001,0.46090498867434615,0.03961271731725176,0.8212690266156637,0.013879592524556637,2.216926418548383
contango (slope > 0),75,0.015540666666666664,0.130504,0.03521234294187327,0.46036392347603516,-0.03933248571635351,-0.855909127680518,-0.0018529260112862451,-0.481216534738705
slope tercile 1,32,-0.005298437500000007,0.19384062499999996,0.0840546023291826,0.6800731669443548,-0.010722372059617973,-0.1478006704099034,0.0025144158655361986,0.2884515160586894
slope tercile 2,30,0.01308166666666666,0.1320166666666667,0.05302396760284289,0.4679194287580066,-0.11952276744177533,-1.655538966429597,-0.0052054871308545485,-1.408893818398385
slope tercile 3,31,0.022320967741935486,0.11594354838709676,-0.008031022536496625,-0.06403278594880235,0.054577142327259826,1.0983042662231293,0.006018274865291262,1.977474259037276
slope z < -1,8,-0.0213125,0.2064,-0.07546878748914068,-0.24453545870095106,0.1252178041000269,3.742610603167418,0.025486144938763326,2.6405588728352143
slope z > 1,6,0.027858333333333332,0.12531666666666666,0.10026263246079158,0.410957982975855,0.04520926090276561,0.6395855607724701,-0.0030564275409875157,-0.5817324355803137
