date,iv_30,iv_30_dte,iv_90,iv_90_dte,slope,spx_close,VIX,VIX3M,slope_z,iv_30_mean_1y
2017-02-21,0.09240000000000001,31,0.11035,87,0.017949999999999994,,,,,
2017-02-22,0.0937,30,0.11535000000000001,86,0.021650000000000003,,,,,
2017-02-23,0.093,29,0.12040000000000001,85,0.027400000000000008,,,,,
2017-02-24,0.08935000000000001,28,0.11885000000000001,84,0.0295,,,,,
2017-02-27,0.09695000000000001,32,0.13365,93,0.03669999999999998,,,,,
2017-02-28,0.10575000000000001,31,0.13520000000000001,92,0.029450000000000004,,,,,
2017-03-01,0.10035,30,0.11995,79,0.019600000000000006,,,,,
2017-03-02,0.09835,29,0.12205000000000002,78,0.023700000000000013,,,,,
2017-03-03,0.08965000000000001,28,0.11580000000000001,77,0.026150000000000007,,,,,
2017-03-06,0.09290000000000001,32,0.1205,102,0.027599999999999986,,,,,
2017-03-07,0.0932,31,0.12614999999999998,85,0.03294999999999998,,,,,
2017-03-08,0.09425,30,0.12865000000000001,84,0.034400000000000014,,,,,
2017-03-09,0.0985,29,0.13055,83,0.032049999999999995,,,,,
2017-03-10,0.0889,28,0.11935000000000001,98,0.030450000000000005,,,,,
2017-03-13,0.08979999999999999,31,0.11825000000000001,95,0.028450000000000017,,,,,
2017-03-14,0.0952,30,0.11985000000000001,94,0.024650000000000005,,,,,
2017-03-15,0.08785000000000001,29,0.11410000000000001,93,0.026249999999999996,,,,,
2017-03-16,0.08255000000000001,28,0.11025,92,0.02769999999999999,,,,,
2017-03-17,0.0819,27,0.10955000000000001,91,0.027650000000000008,,,,,
2017-03-20,0.08605000000000002,32,0.11095,88,0.024899999999999978,,,,,
2017-03-21,0.09905,31,0.1177,87,0.01865,,,,,
2017-03-22,0.10235,30,0.11660000000000001,86,0.014250000000000013,,,,,
2017-03-23,0.10695,29,0.11855,85,0.0116,,,,,
2017-03-24,0.10650000000000001,28,0.1185,84,0.011999999999999983,,,,,
2017-03-27,0.10425000000000001,32,0.1247,95,0.020449999999999996,,,,,
2017-03-28,0.09405000000000001,31,0.11905,94,0.024999999999999994,,,,,
2017-03-29,0.09145,30,0.11810000000000001,93,0.026650000000000007,,,,,
2017-03-30,0.08915000000000001,29,0.11865,92,0.0295,,,,,
2017-03-31,0.09670000000000001,28,0.1192,91,0.022499999999999992,,,,,
2017-04-03,0.09795000000000001,32,0.1198,88,0.021849999999999994,,,,,
2017-04-04,0.09425,31,0.1173,87,0.02305,,,,,
2017-04-05,0.09935000000000001,30,0.11975000000000001,86,0.0204,,,,,
2017-04-06,0.10025,29,0.11895,85,0.018699999999999994,,,,,
2017-04-07,0.1015,28,0.1099,84,0.00839999999999999,,,,,
2017-04-10,0.1154,32,0.11385,81,-0.0015499999999999958,,,,,
2017-04-11,0.12255000000000002,31,0.1198,80,-0.0027500000000000163,,,,,
2017-04-12,0.1275,30,0.1231,100,-0.004400000000000001,,,,,
2017-04-13,0.13405,29,0.12514999999999998,99,-0.008900000000000019,,,,,
2017-04-17,0.11660000000000001,32,0.11755000000000002,95,0.0009500000000000064,,,,,
2017-04-18,0.11855,31,0.11850000000000001,94,-0.00004999999999999449,,,,,
