horizon,target,term,coef,t_stat,r2
5,target_rv,const,-0.008874217826742282,-0.5475715057544102,0.5489085700331824
5,target_rv,RV,0.5359544609018895,1.7673017840345664,0.5489085700331824
5,target_rv,ARCH,-0.7459319852590471,-1.6936386095156137,0.5489085700331824
5,target_rv,GARCH,-0.48792878925429667,-1.863906352233521,0.5489085700331824
5,target_rv,IV,1.4864604402112784,5.8798556819656715,0.5489085700331824
5,target_iv,const,0.11702902916066799,5.426131707559496,0.38818968816989574
5,target_iv,RV,0.5129405909498862,2.2363113044932965,0.38818968816989574
5,target_iv,ARCH,-0.6814173759395805,-1.9444687413199728,0.38818968816989574
5,target_iv,GARCH,0.013078321990769352,0.11876522931341077,0.38818968816989574
5,target_iv,IV,0.5127099183466776,2.5202954448753316,0.38818968816989574
21,target_rv,const,-0.012110704446763713,-0.5980042636594207,0.3008342099040535
21,target_rv,RV,0.37960446859125907,0.8199490368721142,0.3008342099040535
21,target_rv,ARCH,0.009803493855916195,0.03202132007809422,0.3008342099040535
21,target_rv,GARCH,-0.926990398319097,-1.2791154496521187,0.3008342099040535
21,target_rv,IV,1.3417690845263415,4.221579140202154,0.3008342099040535
21,target_iv,const,0.133129395250822,5.175013398314798,0.1652162883182281
21,target_iv,RV,0.11310882597678668,0.6970830057470975,0.1652162883182281
21,target_iv,ARCH,-0.0945017228743474,-0.5484986527318959,0.1652162883182281
21,target_iv,GARCH,-0.3612445085126771,-1.2570526865635252,0.1652162883182281
21,target_iv,IV,0.589741066886553,1.5810577166942463,0.1652162883182281
