horizon,target,model,rmse,qlike,mae,bias,corr,alpha,beta,t_alpha_eq_0,t_beta_eq_1,mz_joint_f,mz_joint_p,r2,rmse_vs_best,qlike_vs_best
5,target_rv,RV,0.11891107721121749,1.123473484686803,0.06740138824771852,0.0011819206877400961,0.4998771624028085,0.07145464980552593,0.5017733121465632,3.98625403145094,-3.114298804296224,8.02825123236375,0.0004200464268417223,0.2498771774918841,1.2729070150073976,2.3986532592157643
5,target_rv,ARCH,0.11104763421458654,0.6716956030428359,0.06677071511034927,0.011751217674245404,0.4448817366749805,0.042954038085545876,0.6501315533014453,1.5125571272513911,-1.6431942548591603,1.350314563513324,0.26108832839977164,0.19791975962694663,1.18873124276422,1.4340924546953149
5,target_rv,GARCH,0.11422551891725151,0.6906756965333845,0.06893009880668707,0.013378931501123044,0.4159932558466132,0.05056923548630343,0.5952320126900175,2.1187328036038893,-2.1499356526533,2.426917827074054,0.09043768796597998,0.1730503889098658,1.2227495346321986,1.4746155856208445
5,target_rv,IV,0.09341693918665885,0.46837677783162407,0.06573932789221168,0.03640269223152383,0.6945832622841148,-0.054807904292724995,1.1016800887305382,-2.04463371143534,0.5403684158265581,18.89846950625334,2.3406350913333105e-08,0.4824459082452436,1.0,1.0
5,target_rv,MEAN,0.12471405567405247,1.0184730299557085,0.08196469425235717,0.021072455784834826,-0.02671133662978215,0.16389294635379884,-0.11639652908951734,2.5387802711596144,-3.087957849622552,6.238079949288776,0.0022794207661840094,0.0007134955045495772,1.3350261393691998,2.174473795799154
5,target_iv,RV,0.10777070414025876,1.4107168025317087,0.07107619648737007,-0.03434678780394634,0.5219357158402046,0.13159481133352652,0.33295913705166413,15.297162689316057,-11.412056164931217,124.8756365393583,4.5035495666509026e-38,0.2724168914696269,1.576145078098465,9.621535746875228
5,target_iv,ARCH,0.08519431044678989,0.3780198814623075,0.047513981903679454,-0.02377749081744103,0.46040293792965636,0.11327971444406568,0.4275869197319465,9.00246011864248,-7.941576196157919,42.53365909449458,1.4217364234681644e-16,0.21197086525425912,1.2459656282652003,2.5782154121875047
5,target_iv,GARCH,0.08490307068579876,0.4065695036591617,0.048391936546472905,-0.022149776990563388,0.4715004402370448,0.1123987853052211,0.42875752076789864,10.296376833970657,-9.874629581258354,63.09494581087239,8.199040090404245e-23,0.22231266514372705,1.2417062507331085,2.7729328849175716
5,target_iv,IV,0.06837613214532152,0.14662075157698864,0.03780081300813008,0.0008739837398373988,0.5889042235533346,0.07268600150985886,0.5936158843302124,4.478889381163559,-3.8361897731935524,10.374402595773708,4.7403426750809895e-05,0.346808184518956,1.0,1.0
5,target_iv,MEAN,0.07943350538063854,0.31356870919914653,0.05516551704916703,0.009937006591832219,0.0019150288271075273,0.17888816388458761,0.006570219995568963,2.7343754590984064,-2.997308211039194,5.434047479055881,0.004909882904987664,3.6673354091298904e-06,1.1617139327480017,2.138637988323881
