month,straddle,call_hedged,put_hedged,variant
2017-10-01,-0.336690500204033,-0.018789261301273324,-0.020208296712610235,baseline
2017-11-01,0.3498730859196171,0.024381191293927112,0.019177168732000607,baseline
2017-12-01,0.4101974918872801,0.03578802420213124,0.026843118154175588,baseline
2018-01-01,0.26410028096876736,0.018314054742197078,0.019690359897955895,baseline
2018-02-01,-0.21634153959240796,-0.01509765323616131,-0.012709984865411651,baseline
2018-03-01,-0.1468589996636325,-0.015609431408721345,-0.01308129828685044,baseline
2018-04-01,0.010486178176956629,0.002978248623628676,0.0017101370354913239,baseline
2018-05-01,0.04658030299185621,0.004035961653904248,0.011548537307214005,baseline
2018-06-01,0.03584874150183137,0.0016363341125995388,0.003650311766898449,baseline
2018-07-01,0.07833220394153062,0.01284711821460732,0.007551281947807079,baseline
2018-08-01,-0.035729547219676444,0.002461973782425792,-0.0015197609367532065,baseline
2018-09-01,0.03275709185685516,-0.01096046881980885,-0.01711572231282548,baseline
2018-10-01,0.09887840541167647,0.012668919601526572,0.009480329357373727,baseline
2018-11-01,0.5813093177022799,0.052386509481836034,0.0334635514726419,baseline
2018-12-01,-0.8164986559088963,-0.03886230281349167,-0.06363882889846265,baseline
2019-01-01,-0.2251927236581429,-0.00818911028264074,-0.01383289732233346,baseline
2019-02-01,0.12485087108524359,0.008054584049356231,0.002899370276804176,baseline
2019-03-01,-0.16371834780909478,-0.020182754349099635,-0.017215276503993897,baseline
2019-04-01,-0.22742299175097833,-0.005306492750447358,-0.004057620010766569,baseline
2019-05-01,-0.12685343299228236,-0.006454290286069918,-0.007137271580358737,baseline
2019-06-01,-0.24160609522849538,-0.01184900934473479,-0.005903024290646065,baseline
2019-07-01,0.14185838305945977,0.002018181692652398,0.006505646044706069,baseline
2019-08-01,-0.37243869017817083,-0.03301958870085639,-0.024341837864913937,baseline
2019-09-01,-0.04706648320030665,-0.001405741537712335,-0.0008242067762658876,baseline
2019-10-01,0.3945920651128284,0.020093129374406864,0.021851031801318928,baseline
2019-11-01,0.11256610294885747,0.011472070455585567,0.009645305294699997,baseline
2019-12-01,-0.002856110157199998,0.010180608064212424,0.003262733259400884,baseline
2020-01-01,0.08564635987205597,-0.0033501231892564196,-0.00045451375886648585,baseline
2020-02-01,0.37320189913353463,0.011848943475441215,-0.005483808469958079,baseline
2020-03-01,0.45863493459357463,0.08589698917367117,0.0512320183462414,baseline
2020-04-01,0.14440406226551655,0.07751779208564327,0.054324628404926856,baseline
2020-05-01,-0.2413553824896324,-0.03490453007800915,-0.025812594663285712,baseline
2020-06-01,0.11049773366044188,0.03437238935177433,0.03370673090908992,baseline
2020-07-01,0.4054743665050214,0.06270646948126869,0.05503654123819377,baseline
2020-08-01,-0.4261637242145229,-0.023102201695684325,-0.022093438534071128,baseline
2020-09-01,0.38147301274565193,0.0361031439904941,0.034561829954258966,baseline
2020-10-01,0.47690688203047293,0.055084709719015704,0.04608733621241691,baseline
2020-11-01,-0.6991574623110056,-0.029709525613130644,-0.047136705069141666,baseline
2020-12-01,0.016370197177743684,0.0017068714722311218,0.0030724667284901305,baseline
2021-01-01,-0.24317657871763443,-0.006059800950033049,-0.011848286144300259,baseline
2021-02-01,-0.23072023605219077,-0.021258888844426938,-0.013699377448571743,baseline
2021-03-01,-0.13063183691521182,0.008025546463830602,0.001709352863530288,baseline
2021-04-01,-0.016873864414697126,0.01752042459239766,0.0069964679717926855,baseline
