liquidity,effective_spread,months,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
liquid,0.0,98,0.0012049815201387,0.38323591761629017,0.03112627994661802,-1.10149985262584,1.0384517996414755,0.0031442290890520645,NaN,NaN
liquid,0.5,98,-0.026463350072151823,0.3771001093267172,-0.6947062426282047,-1.1382102903145241,1.0116602921271816,-0.07017592787071865,NaN,NaN
liquid,0.75,98,-0.04030240364702328,0.37468224051206733,-1.064831469705426,-1.1567273555833602,0.99834854925435,-0.10756422186422063,NaN,NaN
liquid,1.0,98,-0.05416101200905761,0.3726937476402828,-1.4386253258611885,-1.1753600851367823,0.9850884273013955,-0.1453231033575933,NaN,NaN
illiquid,0.0,98,-0.011628146385103226,0.3215189421771333,-0.3580279764608393,-0.7101803462757037,0.9842054246118525,-0.03616628714427958,-0.20749849751410954,-0.45205995749145333
illiquid,0.5,98,-0.10256093645248511,0.32126419469267614,-3.1603318635516557,-0.8257194340013834,0.8705410194659315,-0.31924172735961354,-0.3790929182470232,-0.65849711067499
illiquid,0.75,98,-0.14955920823046762,0.32608706879948046,-4.540384352105663,-0.9620996273373064,0.8131216215322169,-0.45864808065245766,-0.6909566684605504,-0.9186348067877214
illiquid,1.0,98,-0.1989882056675401,0.33490930887309966,-5.881839298762704,-1.1154488513242893,0.7543965757748765,-0.5941554934292336,NaN,NaN
