month,decile,names,straddle,call_hedged,put_hedged,call_naked,put_naked,stock
2017-10-01,0,57,-0.336690500204033,-0.018789261301273324,-0.020208296712610235,-0.7304461759293976,0.12349868276802332,-0.01597122986841814
2017-10-01,1,29,0.1440278446586012,0.012512631080181526,0.009870616938928786,0.36799626415360287,-0.1553459478376833,0.00921007471892601
2017-10-01,2,29,0.05256433052800102,0.008258073572417583,0.004815802725457758,-0.07216792459974092,0.10413773956522568,-0.008305369437693345
2017-10-01,3,29,0.19516267457336298,0.005730888008166704,0.007813733629359816,0.4236239729594678,-0.14103896952030642,0.012035314919785756
2017-10-01,4,29,-0.18996261854432728,-0.012981150945980853,-0.0105253175782735,-0.2689926759612695,-0.2897690496055876,-0.0011425357447457805
2017-10-01,5,29,-0.12219988231307179,-0.00408295919248672,-0.010895642228863987,0.06515615093771554,-0.21105113585526877,-0.006257985067790004
2017-10-01,6,29,-0.1618369273882389,-0.008434019884639953,-0.010560409025390054,-0.4513412895919339,0.15187060186741988,-0.010211897141143834
2017-10-01,7,29,-0.01991697784185623,0.0002336157412160458,-0.00011876489093442574,0.08534457928098849,-0.2842570908729397,0.013322426602503636
2017-10-01,8,29,0.01262597282588725,0.00391083416398773,0.004061456286435138,0.3055018732580438,-0.19577468582140187,0.009582097473458204
2017-10-01,9,29,-0.14990364403430206,-0.0049741068195929055,-0.005280229751370236,-0.3008717066346701,0.04525267690111864,-0.004403946778435758
2017-10-01,10,28,-0.1926626555454318,-0.006276630221091797,-0.010337679773681451,-0.36244991177579483,-0.03184726506965997,-0.006761155149492132
2017-11-01,0,55,0.3498730859196171,0.024381191293927112,0.019177168732000607,1.7060148487547786,-0.6680499662961383,0.04395113147146262
2017-11-01,1,28,0.025748848359516546,-0.0009415261385505256,-0.0034050636675543927,0.0289676863809207,-0.08196616013508266,0.00766660494117027
2017-11-01,2,27,0.27905461543448074,0.0033803836829469757,0.005187845599377339,1.1010552363446686,-0.9604997100572321,0.045394114018027225
2017-11-01,3,28,0.3648194000943281,0.007052496680603719,0.013549647733069955,1.1900578249732983,-0.5117448855499346,0.03625426467484062
2017-11-01,4,27,0.196291133107122,0.004014807507535811,0.007477800271112167,0.6033616821118762,-0.3582218950509028,0.022038412227014366
2017-11-01,5,27,0.26141491971459413,0.00832824542128653,0.01012425600825577,0.7928406619120878,-0.34296426574234185,0.016686249084532333
2017-11-01,6,28,0.2575636466108428,0.00651290182716512,0.009966381670463617,0.939134145664734,-0.661331241737279,0.02954662980094827
2017-11-01,7,27,0.21320472117136088,0.012361382576946522,0.0076790632225354595,1.4582846231249107,-0.9342786496004892,0.05145576862799768
2017-11-01,8,28,0.4056571141180351,0.0145955838683167,0.013850555985008922,1.372295774353549,-0.5884142224269365,0.03351439336421997
2017-11-01,9,27,0.21701394103746438,0.009772884544396076,0.00803036218476282,1.0856009998531189,-0.776341183446717,0.043744584967493734
2017-11-01,10,27,0.3756219342791336,0.023439665155376585,0.015772105064446214,1.7349825351356993,-0.750016126431221,0.05161773641263289
2017-12-01,0,61,0.4101974918872801,0.03578802420213124,0.026843118154175588,1.647905570322385,-0.32354948515178766,0.038140462312373974
2017-12-01,1,31,0.19826348488914253,0.003981553918266148,0.003718975451952629,0.6672801135876462,-0.3936981253619521,0.03229513332554085
2017-12-01,2,30,0.3577382332462133,0.014245153209665204,0.010059412574773314,1.3300105662705413,-0.6574472723882667,0.04353731389126579
2017-12-01,3,30,0.35321535212362476,0.010505157540921543,0.010503238375934981,1.0779252746098567,-0.4128176648804197,0.03393481683263066
2017-12-01,4,30,0.27845549086835003,0.009216958208778358,0.012168954311052893,0.9817980758729952,-0.6469322307267814,0.0440012880108771
2017-12-01,5,30,0.42741133011824645,0.013922836056364773,0.015653379071331748,1.405962426013893,-0.7846483200327019,0.051453810245827264
2017-12-01,6,31,0.7067043014912392,0.03600325669771275,0.034680144438080686,1.9158086388661026,-0.5031032112716133,0.06658073867036116
2017-12-01,7,30,0.4939357806619416,0.014009592637209783,0.01951585250317235,1.86923597594846,-0.8412438940327827,0.06335835810409153
2017-12-01,8,30,0.5828267137523861,0.016681586704225652,0.021003444593190413,1.6987212576394584,-0.7390683542522839,0.058842637857280326
2017-12-01,9,30,0.5234536607284134,0.017590722560419915,0.02088204642315472,1.359431297039234,-0.5094849339530205,0.04605791157387183
2017-12-01,10,30,0.6084609767764226,0.039769578120397386,0.03056209360612822,2.3151856839100313,-0.7172476105137398,0.07043559563791482
2018-01-01,0,63,0.26410028096876736,0.018314054742197078,0.019690359897955895,-0.45629009544552845,0.9361280766203496,-0.04058289283051193
2018-01-01,1,32,-0.1405604480821323,-0.003134066655591982,-0.005223538511148951,-0.47712914083735614,0.2635433434423048,-0.02201706076880065
2018-01-01,2,32,-0.030679659431686716,0.0007954065308001393,-0.0002885666552687742,-0.46361515346108473,0.4148084727261726,-0.022928803733570736
2018-01-01,3,31,0.3680521720077867,0.020354992419891412,0.01955504080193237,-0.4250776222407853,1.0649470521848559,-0.03088476598055918
2018-01-01,4,32,0.2623741645236941,0.016393307197434703,0.016896769297620826,-0.14528587732787857,0.8912192926539643,-0.019184804326794116
2018-01-01,5,31,-0.14056789553223167,-0.00493752012268938,-0.01093368423837097,-0.6997458576808662,0.2997813720710847,-0.03225566253158076
