strategy,decile,months,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
straddle,1,98,0.03886845328460312,0.3529131329372352,1.090291124284365,-0.5549513803438068,2.54741362666046,0.11013603534985418,-0.07194212924962229,-0.2082334569618649
straddle,2,98,0.05445173980482931,0.4733418802864376,1.1388063151340142,-0.46079161295651555,3.987920750574888,0.11503680969847511,-0.06771996620934628,-0.1667648018006147
straddle,3,98,0.014576563444913128,0.4615965160944013,0.3126120128398136,-0.4929269030176443,3.8104044977363687,0.03157858202277261,-0.10446161031917056,-0.19865101046834155
straddle,4,98,0.039353709206642135,0.4808779035751317,0.8101471124617269,-0.5640058230528571,4.069809646341502,0.08183721671148395,-0.09117232162644506,-0.22754550551917918
straddle,5,98,0.009069597806258314,0.46806936868580634,0.1918186567351017,-0.5305765380973743,3.759464200870433,0.019376610419355005,-0.12655091115694084,-0.23710704994047693
straddle,6,98,0.03389062535568391,0.46745522098955045,0.7177159630327363,-0.49715096370029777,3.819606038302684,0.0725002606323259,-0.08961651638891777,-0.18857794940314465
straddle,7,98,0.058654107770739865,0.5396654059597941,1.0759371204371275,-0.4976998959196914,4.670794631483109,0.10868606199877427,-0.07745314161068595,-0.18102723866542347
straddle,8,98,0.050164061900433314,0.4979460071286623,0.9972946256699263,-0.5269364576406808,4.021550606320779,0.10074197037887206,-0.10243709328539607,-0.23522179185947878
straddle,9,98,0.03270312922507099,0.4547138801637096,0.7119740045287165,-0.43085275410505475,3.5122960237837098,0.07192023523297102,-0.09378553089725461,-0.177964162189981
straddle,10,98,0.03696336976146818,0.4131610128591946,0.8856563915881004,-0.46564319626213874,2.9206155257939947,0.08946480575616488,-0.09491180314066872,-0.19661698930006877
straddle,10-1,98,-0.0019050835231349456,0.28643210671856734,-0.06584235582789222,-0.8164986559088963,0.6222384601495896,-0.00665108232788574,-0.21305583878974566,-0.610420380846534
call_hedged,1,98,-0.0006683375263443163,0.032661841395022886,-0.2025667774812391,-0.11934246917399167,0.22896287795308076,-0.020462334571441514,-0.002104200224904984,-0.0038293648495187904
call_hedged,2,98,0.0013053923837822122,0.03274409697537479,0.3946581670357861,-0.0842598030728742,0.2506081244241592,0.039866495165951074,-0.0000551522003773286,-0.0015226636839323904
call_hedged,3,98,-0.0019096321600983541,0.03290055783553784,-0.5745918958025904,-0.0815486193893508,0.2564045524356571,-0.05804254656240654,-0.003255555376096342,-0.0046498098231606555
call_hedged,4,98,0.0007870158787247745,0.033050938887554795,0.23572884670464173,-0.05701453176794102,0.26943584708919777,0.023812209432305186,-0.0005357946123012436,-0.0018469880541702732
call_hedged,5,98,-0.0007220235845237848,0.03371812977480333,-0.2119829559600508,-0.0779498983519262,0.26554827251492474,-0.021413512236474454,-0.002126812773271314,-0.0035724485074101198
call_hedged,6,98,-0.00014467801991195487,0.03200092626499365,-0.04475618342098271,-0.05697260824519222,0.2601179006436975,-0.0045210572567151155,-0.0013909578809645495,-0.002629940754664384
call_hedged,7,98,0.0011844304574868234,0.03460161297834576,0.3388646455295972,-0.040161485882159974,0.2960960784607028,0.034230498394050554,-0.0002085312084441071,-0.00150511949074017
call_hedged,8,98,0.0018789506035384782,0.03518343987159916,0.5286766175722193,-0.04821856417671619,0.29055607928855554,0.05340440304858333,0.00040524775026162807,-0.0010250154145857726
call_hedged,9,98,0.0011221910000894489,0.0320448508079387,0.3466742344933788,-0.03411996536745596,0.24422146092241656,0.03501938601041764,-0.00016127141793431665,-0.001484888640346349
call_hedged,10,98,0.002633158938179899,0.031450608131399896,0.8288216071021134,-0.04182467708834841,0.24081182142852198,0.08372362553940525,0.0013886093737034422,0.00008658770175240527
call_hedged,10-1,98,0.003301496464524214,0.02509261677013331,1.302500565532892,-0.04647855922394538,0.08589698917367117,0.13157242605537445,0.00239198483153924,0.0012283491261770862
put_hedged,1,98,0.0015425487388450083,0.02646679837101296,0.576966402041186,-0.08232297909971321,0.1373343431831698,0.05828240791430379,0.0005405571924170793,-0.0007362433947218916
put_hedged,2,98,0.0018398816847373684,0.025857499132645026,0.7043952444351865,-0.060313542136581,0.15694015325835353,0.07115466485366802,0.0009126478693686213,-0.00020936059221621228
put_hedged,3,98,-0.0011668881325509067,0.022663709376756574,-0.5096960505338559,-0.05831094497832793,0.12971296576416136,-0.05148707623949867,-0.0018905723280473463,-0.002781940054997545
put_hedged,4,98,0.0015925341395606675,0.023633396994893127,0.6670764957897808,-0.03828628402890716,0.1475439515281225,0.06738490196330192,0.0008284395172324377,-0.00007070608472170559
put_hedged,5,98,0.00017735295189891994,0.025836228955645545,0.06795514362140866,-0.05423520087195357,0.15750045167836027,0.006864506124457689,-0.0007376802226520818,-0.001817307438625515
put_hedged,6,98,0.0010012829541544525,0.022569194851679745,0.43919136681253135,-0.04186939885126031,0.1413686452646524,0.04436502767310419,0.00029968409426683884,-0.0005335388824180276
put_hedged,7,98,0.0016777068688020968,0.023762633659239613,0.6989313933376704,-0.038953716297446164,0.1606346975266962,0.07060273254474699,0.0009128478690962893,0.00002494828266197402
put_hedged,8,98,0.0019176093221094919,0.024541163940152003,0.7735315171243123,-0.03961426638168262,0.15398304860721285,0.0781384830314456,0.0010887585991714577,0.00010160108766266163
put_hedged,9,98,0.001329497132975894,0.024313416881379564,0.5413204651714013,-0.03347963440260061,0.11684825038382547,0.054681624531107746,0.0005076963490211472,-0.0004784338165479962
put_hedged,10,98,0.002545002224322276,0.024107958985788824,1.0450588806872996,-0.032336597692742566,0.13185053471321173,0.10556688875331609,0.001736726716889292,0.0007636329592028979
put_hedged,10-1,98,0.001002453485477268,0.0239056078083407,0.41512365145589425,-0.06630241781954649,0.05503654123819377,0.041933821282197664,0.00015206649776122738,-0.0009909933938507809
call_naked,1,98,0.11118119731156391,0.632405771314289,1.7403979371422615,-0.9946529562982005,2.327561445505169,0.1758067404737674,-0.9473715714017903,-0.9885188671374779
call_naked,2,98,0.11903252732448512,0.660104477819089,1.7851142374219389,-0.9962962962962962,2.5208128228496363,0.18032376892481508,-0.9640220259048717,-0.992047455098585
call_naked,3,98,0.013528379385834071,0.6345791239912585,0.21104401038013168,-1.0,2.377533185359273,0.02131866440979932,NaN,NaN
call_naked,4,98,0.11627529281510829,0.6800887898983692,1.692524107989217,-1.0,2.525080060900412,0.17097075344012683,NaN,NaN
call_naked,5,98,0.07125744221956905,0.6857476971359632,1.0286767150581622,-1.0,2.3114043558057658,0.10391204012376119,NaN,NaN
call_naked,6,98,0.055325188271641706,0.6599619965920068,0.829883272052695,-1.0,1.9158086388661026,0.08383086989453443,NaN,NaN
call_naked,7,98,0.1485978307954879,0.7258896907621724,2.0265385943239362,-1.0,2.185366202111003,0.20471131176895846,NaN,NaN
call_naked,8,98,0.1529977489210419,0.7418741924388851,2.041586641230425,-1.0,2.435344628855298,0.2062313940562715,NaN,NaN
call_naked,9,98,0.11707702790111069,0.6670601290130975,1.7374797180807537,-1.0,2.436950469229613,0.17551195583271312,NaN,NaN
call_naked,10,98,0.18757639244908916,0.7988261232655868,2.3245503535695855,-1.0,2.462275596501011,0.23481504545980578,NaN,NaN
call_naked,10-1,98,0.07639519513752527,0.6671900100614214,1.133520940122843,-1.3648855471194126,1.7913840345864287,0.1145029061968304,NaN,NaN
put_naked,1,98,-0.046986416946154345,0.8228663295542703,-0.5652701780858347,-1.0,4.342819177439668,-0.05710091087528872,NaN,NaN
put_naked,2,98,-0.04637731680963786,1.032390172089362,-0.44470784916664735,-1.0,6.637857067204742,-0.044922276541802954,NaN,NaN
put_naked,3,98,-0.024059841852065826,0.9434966232121466,-0.2524442342775062,-1.0,5.552578438095265,-0.025500718561295727,NaN,NaN
put_naked,4,98,-0.07422137473594911,0.9384979334831635,-0.7829043593733886,-1.0,6.0459009280213705,-0.0790852830762047,NaN,NaN
put_naked,5,98,-0.07210035921539999,0.9843037208331771,-0.7251391271553512,-1.0,6.1978394833917045,-0.07325011344503471,NaN,NaN
put_naked,6,98,-0.024698708447938224,0.9849148868634445,-0.24824961271512597,-1.0,5.821491736918086,-0.025076997796828534,NaN,NaN
put_naked,7,98,-0.06047812676908521,1.0895136040357367,-0.5495139367774977,-1.0,6.917237751762617,-0.055509290150269196,NaN,NaN
put_naked,8,98,-0.08244756936776128,0.9741530594498845,-0.8378450260711632,-1.0,6.025854262161413,-0.08463512850261988,NaN,NaN
put_naked,9,98,-0.07561521509019777,1.0259553952458464,-0.7296149933855961,-1.0,5.036670027226066,-0.07370224421119043,NaN,NaN
put_naked,10,98,-0.08550017776960105,0.9602201880809028,-0.8814734239249812,-1.0,4.533298566368764,-0.08904226221329693,NaN,NaN
put_naked,10-1,98,-0.03851376082344675,0.5886665894959285,-0.6476786470726327,-2.266463015581341,1.7281408397126616,-0.06542542333925531,NaN,NaN
stock,1,98,0.007331789626585806,0.05609940929918291,1.293792843657362,-0.28334101388221916,0.148159988854284,0.13069281331439248,0.0020359564930299,-0.008033381730675915
stock,2,98,0.0074031335813900985,0.05571764258961102,1.315333528086058,-0.2856595121258011,0.15064505197584988,0.13286875103309684,0.002046056541570751,-0.00844582409534278
stock,3,98,0.0030521268657235355,0.05413684652900374,0.558113676550022,-0.2975691617086422,0.22892557300882815,0.05637799505163942,-0.001991777889950974,-0.012292300628013564
stock,4,98,0.009056391432022111,0.05782670979119944,1.5503856513538044,-0.30694981808655014,0.2486009046417384,0.1566126010752282,0.0033283211315728867,-0.008618985433664683
stock,5,98,0.006144406493728015,0.0569190575786575,1.0686494745470272,-0.3055999723334806,0.2330548573623824,0.10794989859480625,0.0005579484632276532,-0.011055037037048687
stock,6,98,0.004843867230942973,0.05433601931382331,0.8825055595145518,-0.29709215258353355,0.1307570268181311,0.08914652365250969,-0.00038143324881800833,-0.011193432117019064
stock,7,98,0.008426733425595686,0.05706644244227527,1.4618119039616577,-0.33050793016514135,0.15041589463276078,0.14766530144435805,0.0023597115384290657,-0.012123827441210988
stock,8,98,0.008397373775496438,0.05736142985151626,1.4492274580070488,-0.3294898572865281,0.19246809502525203,0.14639408043407526,0.0023437298265169826,-0.011959125508310353
stock,9,98,0.006096706240029184,0.05400696773263549,1.117528257686398,-0.27835841252082494,0.16252538507852,0.11288740131109136,0.0010229451936381029,-0.0088755561496352
stock,10,98,0.008407917237573344,0.05602323589003512,1.4857073640691318,-0.2887512282973876,0.18487250670055938,0.15007910742743913,0.0030334813508219316,-0.007550423712915921
stock,10-1,98,0.0010761276109875367,0.0356173787835544,0.29909892866787796,-0.10917908824921653,0.09315237798379711,0.03021355438666971,-0.0008408503975476656,-0.0034870551317219833
