effective_spread,leg,months,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
0.0,long,98,0.0369633697614682,0.4131610128591946,0.8856563915881006,-0.46564319626213874,2.9206155257939947,0.0894648057561649,-0.09491180314066872,-0.19661698930006877
0.0,short,98,0.038868453284603116,0.35291313293723514,1.090291124284365,-0.5549513803438068,2.54741362666046,0.11013603534985418,-0.07194212924962229,-0.2082334569618648
0.0,long_short,98,-0.001905083523134943,0.28643210671856734,-0.06584235582789212,-0.8164986559088963,0.6222384601495896,-0.006651082327885732,-0.21305583878974543,-0.610420380846534
0.5,long,98,0.009849364813270757,0.40071056584114195,0.2433270929433626,-0.4815493888885837,2.802584777436166,0.024579748209523,-0.11867374181984203,-0.2190452352835912
0.5,short,98,0.06945249215330716,0.3670876813424798,1.8729710348554869,-0.5395633604354083,2.6823702424025293,0.18919864567318576,-0.045851290325560456,-0.18483487621769734
0.5,long_short,98,-0.05960312734003645,0.2801638766240278,-2.1060561569139398,-0.9113727573526502,0.515640618492901,-0.2127437985876466,-0.4066340994079064,-0.8097800763696245
0.75,long,98,-0.002688062859089059,0.3949709438104568,-0.06737322094157933,-0.4890781636521076,2.7464808110578747,-0.0068057230568814645,-0.12973570946665047,-0.22955619738703914
0.75,short,98,0.08654166285364066,0.3753627939753631,2.282375256621199,-0.5312382578819274,2.755507464668635,0.2305547173098909,-0.031642268873219415,-0.17236260884369792
0.75,long_short,98,-0.08922972571272977,0.27884100433519465,-3.1678598346553306,-0.9593835208729826,0.4847424227398649,-0.3200021672761828,-0.6438380951961253,-0.9127892568417689
1.0,long,98,-0.01466300395720191,0.3895014242441048,-0.3726721505872237,-0.49634752455244924,2.6921759240441165,-0.03764557211994287,-0.14034013428055558,-0.23967592258414216
1.0,short,98,0.10536269299809153,0.38485788765866974,2.7101885638561884,-0.5224267960548008,2.8331385425180513,0.27377038739956305,-0.01641252024397377,-0.15930408435327603
1.0,long_short,98,-0.12002569695529341,0.2789683615653958,-4.259242061016574,-1.0079709303252455,0.45481782894758693,-0.43024842057996954,NaN,NaN
