window,sessions,skip,signal_rows,spread,spread_t_naive,spread_t_overlap_adj,decile_1,decile_10,rank_gross_pnl,rank_sharpe,rank_max_drawdown,rank_turnover,rank_positions,rank_market_loading,rank_market_t,rank_intercept_t,mvo_gross_pnl,mvo_sharpe,mvo_max_drawdown,mvo_turnover,mvo_positions,mvo_market_loading,mvo_market_t,mvo_intercept_t,rank_net_pnl_full_cost,rank_net_sharpe_full_cost,rank_cost_total
1m,21,0,1060955,0.3477919380960386,2.5813764266456554,0.3332542636897012,1.5356928273783288,1.8834847654743674,-2945513.6116284328,-3.333422271420677,-2980200.4011824504,54.25010574038232,492.88452787258245,0.06370967281989336,6.77706868346823,-9.163582212701952,-6049284.425232543,-2.1113078589383836,-6049284.425232547,44.81581014830935,489.3265073947668,-0.02848775604623894,-0.9287191482463869,-5.438362681136807,-45621170.894955054,-7.210193514403612,42675657.28332661
3m_skip1m,63,21,1033300,-1.5666916441935625,-14.832584109559228,-1.9148783745847886,2.2307504633838366,0.6640588191902742,297376.4027629147,0.45470173926618807,-182543.4098220652,40.020894129788054,491.80489192263934,0.03613399009457855,4.9686328259301025,1.0085065272621345,308529.447735401,0.1389200683268383,-678978.582557939,32.52543979850833,489.3265073947668,0.044689479178043154,1.7981367501730445,0.2765350887484441,-34757654.0462506,-6.128467210131007,35055030.44901352
6m_skip1m,126,21,1012367,-2.319298953378267,-22.752028964244623,-2.937274309031607,2.4396257425131567,0.12032678913489041,522582.93266875175,0.8186345859462443,-117386.4711052636,34.93721710328802,490.51820250284413,0.035424451612854416,5.18960203372581,2.1186205993517606,1038954.3341626828,0.4917495705822239,-240898.04971315165,29.06311250643205,489.3265073947668,0.03005720116420464,1.2717847572134147,1.2841545416955722,-32237035.577163905,-5.8939546657609325,32759618.509832658
12m_skip1m,252,21,971367,-1.9848603425145404,-18.27368923736908,-2.359123136336672,2.5126901248188505,0.5278297823043103,603331.2317935559,0.9273121873530163,-121547.72600636966,31.066891274928345,487.3794084186576,0.05654543489998064,8.269042917354806,2.296733230133395,861132.2161174549,0.44336206265054534,-311039.7336279451,26.678316099918757,487.9448236632537,0.030798738107925838,1.3936443241326133,1.0539193727780882,-29773593.54400679,-5.68484137539049,30376924.775800347
12m_noskip,252,0,985011,-1.7693804454247488,-15.563512627633793,-2.0092408405104836,2.308148983149605,0.5387685377248562,-394633.6575569578,-0.5326189788502061,-397987.7122022093,30.902977554374246,488.5716723549488,0.081329595837731,10.846065020323145,-1.6991145057613626,-921290.8199811579,-0.44514498061909635,-1472712.893777992,26.56473448906893,489.04835039817976,-0.02819852047233065,-1.2260005144122366,-0.9650125020197433,-31294570.59336836,-5.8206847209058346,30899936.9358114
