19:25:42 level_book 659 symbols, history from 2017-04-24, forward to 2025-10-08
19:25:42 level_book reference paths: 1067053 rows (0s)
19:25:43 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/index_greeks_2017/SPX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
19:25:43 level_book surface: 1067345 rows (1s)
19:25:45 level_book HAR: 1046279 forecasts, last fit [{'date': datetime.date(2025, 10, 1), 'rows': 1043953, 'const': -1.131449256807854, 'residual_var': 0.5294040664610805, 'b_rv_1': 0.025852336886258424, 'b_rv_5': 0.19588718583422726, 'b_rv_22': 0.8056671009823344}] (3s)
19:25:46 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
19:58:03 voltium.backtester 2020-09-22  positions=77  day pnl=2144  cum pnl=-3052285
19:58:43 voltium.backtester 2020-10-06  positions=79  day pnl=1411  cum pnl=-3098044
19:59:23 voltium.backtester 2020-10-20  positions=79  day pnl=179  cum pnl=-3090624
20:00:05 voltium.backtester 2020-11-03  positions=80  day pnl=831  cum pnl=-3171613
20:00:45 voltium.backtester 2020-11-17  positions=79  day pnl=-3232  cum pnl=-3279152
20:01:26 voltium.backtester 2020-12-02  positions=81  day pnl=-2713  cum pnl=-3304665
20:02:08 voltium.backtester 2020-12-16  positions=82  day pnl=1329  cum pnl=-3310382
20:02:48 voltium.backtester 2020-12-31  positions=77  day pnl=4748  cum pnl=-3332814
20:02:48 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2021/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
20:03:31 voltium.backtester 2021-01-15  positions=65  day pnl=-3569  cum pnl=-3338530
20:04:15 voltium.backtester 2021-02-01  positions=61  day pnl=-47708  cum pnl=-3365150
20:04:59 voltium.backtester 2021-02-16  positions=62  day pnl=-319  cum pnl=-3372925
20:05:42 voltium.backtester 2021-03-02  positions=58  day pnl=3290  cum pnl=-3399000
20:06:25 voltium.backtester 2021-03-16  positions=64  day pnl=2998  cum pnl=-3451407
20:07:08 voltium.backtester 2021-03-30  positions=64  day pnl=4401  cum pnl=-3573950
20:07:50 voltium.backtester 2021-04-14  positions=65  day pnl=-7902  cum pnl=-3585530
20:08:33 voltium.backtester 2021-04-28  positions=64  day pnl=-958  cum pnl=-3598264
20:09:15 voltium.backtester 2021-05-12  positions=60  day pnl=-10418  cum pnl=-3667826
20:09:57 voltium.backtester 2021-05-26  positions=68  day pnl=7688  cum pnl=-3678318
20:10:41 voltium.backtester 2021-06-10  positions=72  day pnl=-1401  cum pnl=-3693607
