15:42:36 level_book 659 symbols, history from 2017-04-24, forward to 2025-10-08
15:42:37 level_book reference paths: 1067053 rows (1s)
15:42:48 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ALGN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:49 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ALK.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:50 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ALL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:50 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ALLE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:50 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ALXN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:51 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AMAT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:51 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2019/AMCR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:51 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AMD.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:52 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AME.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:52 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AMG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:52 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AMGN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:53 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AMP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:53 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AMT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:53 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2024/AMTM.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:53 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AMZN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:55 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0099, theta/day share 1.00)
15:42:55 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ANDV.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:55 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/ANET.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:55 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ANSS.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:56 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AON.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:56 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AOS.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:42:56 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/APA.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
