decile,gross_fwd_pnl_per_vega,net_fwd_pnl_per_vega,gross_t_stat,mean_names,dates,signal_version
1,1.5895111191028335,-15.268550254739418,5.45955820431888,41.2625284738041,1756,raw
2,2.1421047307540597,-15.67634109794566,6.9428164197815665,41.79783599088838,1756,raw
3,2.1967501455548346,-16.271293057040157,6.993456276534205,41.70387243735763,1756,raw
4,2.1802339214829494,-16.476329062021605,6.8564978615324,41.7750569476082,1756,raw
5,2.1109679738103204,-16.77459342521063,6.668601806265353,41.88325740318906,1756,raw
6,2.1425100200457856,-17.201027091169454,6.693222226785398,41.59738041002278,1756,raw
7,2.0321797141016065,-17.204255348158796,6.510871599158147,41.676537585421414,1756,raw
8,1.7216222887938417,-17.8700392988088,5.538828652567048,41.80239179954442,1756,raw
9,1.5377845458296138,-18.75329849238139,5.09575943000141,41.699316628701595,1756,raw
10,0.47938334148302486,-24.291566117305564,1.5902544815385014,42.16116173120729,1756,raw
1,1.5102005053045195,-15.80561719788119,5.096988184394726,41.2625284738041,1756,iv_adjusted
2,2.088116307668622,-15.516770854135284,6.73252867814348,41.79783599088838,1756,iv_adjusted
3,2.2300702740650498,-15.774924574739766,6.901738145224316,41.70387243735763,1756,iv_adjusted
4,2.178086474177088,-16.189910074303516,6.868645938836415,41.7750569476082,1756,iv_adjusted
5,2.0895245957869797,-16.35981716645276,6.71834951051592,41.88325740318906,1756,iv_adjusted
6,2.0785752995676954,-16.74041300786032,6.720820500228541,41.59738041002278,1756,iv_adjusted
7,1.9543977039831826,-17.060054315940516,6.336466414617628,41.676537585421414,1756,iv_adjusted
8,1.8704848848453874,-17.692113591191127,5.998158327390985,41.80239179954442,1756,iv_adjusted
9,1.571298301222577,-18.829195880132012,5.1245560222840405,41.699316628701595,1756,iv_adjusted
10,0.5587857064773052,-25.81168922734884,1.8531419318503257,42.16116173120729,1756,iv_adjusted
1,1.7356591380083963,-15.963354568280485,5.711108838901282,40.600227790432804,1756,fully_adjusted
2,2.2228715354172897,-15.248553947659616,6.933092201330973,41.13496583143508,1756,fully_adjusted
3,2.25328652532441,-15.709164535317873,7.076578495648478,41.018223234624145,1756,fully_adjusted
4,2.1972535541394627,-16.148355603557494,6.988766238181273,41.12585421412301,1756,fully_adjusted
5,2.0938785683208074,-16.327500417299056,6.766867586111176,41.21981776765376,1756,fully_adjusted
6,2.034498244942145,-16.51038849098544,6.485336924021901,40.92312072892938,1756,fully_adjusted
7,1.8541954298696646,-17.002627296518774,6.113142081687207,41.021640091116176,1756,fully_adjusted
8,1.663274510501763,-18.056238375630482,5.398396557871395,41.12243735763098,1756,fully_adjusted
9,1.574787087922016,-18.791095570463124,5.146869130707178,41.03075170842825,1756,fully_adjusted
10,0.48297310863353954,-26.06500139811505,1.6189363012979598,41.51138952164009,1756,fully_adjusted
