signal_version,sessions,mean_positions,mean_gross_vega,mean_net_vega,total_gross_pnl,total_cost,total_net_pnl,sharpe,annual_net_pnl_per_gross_vega,max_drawdown,annual_turnover_over_gross_vega,cost_drag
raw,1758,416.5585893060296,19430.65214651445,115.89894494449919,913831.1336459268,0.0,913831.1336459268,1.348072289289796,6.741557502040832,-95254.37787763972,50.189241705360125,0.0
iv_adjusted,1758,416.5654152445961,19437.308409577792,98.73184330853412,885487.4224953135,0.0,885487.4224953135,1.3250093452757439,6.530221933044434,-79162.83229151717,51.167378169111714,0.0
fully_adjusted,1758,415.5932878270762,19428.627295405848,61.58208200078265,887653.9356536437,0.0,887653.9356536437,1.3970992470247887,6.5491243391051,-66310.90906052676,51.238366710685696,0.0
