date,gross_pnl,gross_vega,signal_version
2018-07-02,0.0,20000.0,raw
2018-07-03,2765.7432766219817,19692.435921881577,raw
2018-07-05,-55713.82160911102,19090.966037267888,raw
2018-07-06,54239.99607443846,18712.07677926679,raw
2018-07-09,796.7829807120947,20000.0,raw
2018-07-10,1706.0192725334632,19324.580208691004,raw
2018-07-11,2806.2378644113646,19461.86969736637,raw
2018-07-12,-244.71167364185663,18806.60679246198,raw
2018-07-13,-744.3550004579706,18278.05768458698,raw
2018-07-16,3832.213201713604,19999.999999999996,raw
2018-07-17,-4744.465007985897,19050.410216544387,raw
2018-07-18,-2849.9365123781904,18265.9913259106,raw
2018-07-19,-1167.0112934893511,18471.882531122814,raw
2018-07-20,-2199.6536384429896,17776.63257624219,raw
2018-07-23,698.0831939541249,20000.0,raw
2018-07-24,1189.4997286755317,19454.717942683317,raw
2018-07-25,-9580.84765215783,17757.887294974462,raw
2018-07-26,3679.207375310088,16747.43858938096,raw
2018-07-27,-4713.059046939273,16209.580609670613,raw
2018-07-30,-14149.126125702142,19999.999999999996,raw
2018-07-31,11365.488276622706,19483.562118778947,raw
2018-08-01,-766.7394672220134,19139.08755808785,raw
2018-08-02,4953.7049319652,18619.283023896467,raw
2018-08-03,-8136.058827606397,18206.500996637704,raw
2018-08-06,5420.15222599673,20000.0,raw
2018-08-07,-2728.4884650878116,19673.702493307726,raw
2018-08-08,11134.769304518995,19273.988475317525,raw
2018-08-09,918.0680430890352,18828.698255141735,raw
2018-08-10,-7929.929050064334,18903.54185284296,raw
2018-08-13,-3039.566055163289,20000.0,raw
2018-08-14,10049.947971500167,19401.518036700792,raw
2018-08-15,-17375.165918158054,19069.997433666067,raw
2018-08-16,731.8950774666152,18090.68895317378,raw
2018-08-17,-2141.839897616552,17303.770426242027,raw
2018-08-20,14507.09971781248,20000.0,raw
2018-08-21,-2514.800101229144,20125.073807309986,raw
2018-08-22,-1443.9860062331234,19758.319927499662,raw
2018-08-23,-1984.5652375163827,18974.588116313073,raw
2018-08-24,717.272613833362,17981.25076608468,raw
2018-08-27,-38.413133451872085,20000.0,raw
2018-08-28,9248.3730781315,18664.354860767653,raw
2018-08-29,-4428.3625303310155,17629.84031817938,raw
2018-08-30,14109.088074754225,18515.451650429106,raw
2018-08-31,-6281.698394540393,17580.442872038453,raw
2018-09-04,-9790.633334619766,20000.0,raw
2018-09-05,2474.9994524839635,19858.976209540535,raw
2018-09-06,950.8071856119601,19361.7922995176,raw
2018-09-07,-1416.3985583608921,18972.79141838348,raw
2018-09-10,4877.069502107721,20000.0,raw
2018-09-11,3645.304477368746,19644.471075217236,raw
2018-09-12,343.8041769412812,19176.748896144753,raw
2018-09-13,-5210.75996943532,18628.586033624066,raw
2018-09-14,-3595.9731220594267,18323.344939199047,raw
2018-09-17,1541.5061703292781,20000.0,raw
2018-09-18,-6305.738368642768,19423.992599047546,raw
2018-09-19,8014.4783902962035,19159.426636679054,raw
2018-09-20,-6893.955935487781,18520.012198038843,raw
2018-09-21,14406.269582457713,17752.82716814266,raw
2018-09-24,-6481.01305256282,20000.0,raw
2018-09-25,6743.666961272488,19455.405880077666,raw
2018-09-26,771.7901286609883,18620.37762664812,raw
2018-09-27,-2663.030008893204,18137.651298863835,raw
2018-09-28,-6802.6803872344035,17471.39737210549,raw
2018-10-01,7800.780191099712,20000.0,raw
2018-10-02,1301.4727305099038,19640.625570213542,raw
2018-10-03,555.8569164582483,19431.825229899427,raw
2018-10-04,-1708.6664059250847,19049.68183745642,raw
2018-10-05,830.1068631108282,18602.98778101177,raw
2018-10-08,2022.5528390657416,20000.0,raw
2018-10-09,673.3882217323052,19472.685263075953,raw
2018-10-10,445.80017656151995,18917.302869506813,raw
2018-10-11,3522.277045958711,17739.261212529345,raw
2018-10-12,-2195.5453154657644,18003.76174484488,raw
2018-10-15,2367.519662315786,20000.0,raw
