horizon,target,symbol,origins,qlike_RV,rmse_RV,qlike_ARCH,rmse_ARCH,qlike_GARCH,rmse_GARCH,qlike_IV,rmse_IV,qlike_MEAN,rmse_MEAN,t_dm_iv_vs_rv,premium_points,premium_ratio,mean_iv,best_qlike,best_rmse
5,target_rv,A,105,1.1974383167760887,0.17726528058637467,0.4760024321900824,0.1425516965833064,0.4738904329855487,0.1436917547129174,0.4280622706069921,0.1303093241802656,0.6865138631839067,0.1431085299164086,-2.1985668003140164,3.944715869478732,1.1478843746515097,30.61904085326736,IV,IV
5,target_rv,AAPL,125,1.601889214577706,0.13699656128660564,0.7278746354335186,0.15080415440438272,0.7772126693936838,0.15910484397852462,0.5958944237630092,0.12173216576384237,0.9535853455512665,0.116184172706497,-2.2213359631308673,6.045090740458148,1.3224422154957947,24.792917327504398,IV,MEAN
5,target_rv,ABBV,125,2.0298699224675203,0.15740450778335977,0.5985662335271474,0.1372058924269379,0.564074941085121,0.1275416932807953,0.4765541746623326,0.11224732906127635,0.5517361690417778,0.10911071537258922,-2.3809508631272287,3.6019074321874642,1.174155556313004,24.284034999302666,IV,MEAN
5,target_rv,ABNB,125,1.28006561826932,0.1559853551503593,0.6590983906013016,0.18406977104422126,0.6942119067321194,0.19205953864877928,0.6170493059524634,0.18047625730386835,0.6184161014177725,0.13082577691437708,-2.4359827367790605,12.864289167834242,1.5583658547784223,35.903465109098086,IV,MEAN
5,target_rv,ABT,125,3.546393091647016,0.18379289327222004,0.7567192240615315,0.14046402876308295,0.8109781060241095,0.13678274454674705,0.5751044637849402,0.11975211633278443,0.873841378139074,0.133659629430357,-1.4455297493212145,3.432848266691925,1.1917784352851635,21.332922702003042,IV,IV
5,target_rv,ACGL,101,0.4756028041943141,0.08099365159982813,0.37697410277361887,0.09814348229921378,0.3858162293539853,0.1001412498813826,0.3207123861570154,0.08986537010760975,0.25393884764857505,0.06873473001295659,-1.5635122746328316,6.2253222314687635,1.338777944817539,24.601141338647135,MEAN,MEAN
5,target_rv,ACN,125,0.8995193263302864,0.1460664778853374,0.379605109182754,0.11632907090568959,0.3692470683284413,0.11391532562830205,0.48600928897986895,0.14773314125884512,0.43278289986013385,0.11031304416177423,-2.065229732280137,8.699645978625684,1.3513561283329734,33.45984020065788,GARCH,MEAN
5,target_rv,ADBE,125,1.3772905039862353,0.13636098560848825,0.4126316423506352,0.1329780818344912,0.3957204748324694,0.12687672384680937,0.4776593449054088,0.1703290053715932,0.4241466349626688,0.10035184906100728,-1.5910579402776246,12.22541134938803,1.4986419625949337,36.74282517827433,GARCH,MEAN
5,target_rv,ADI,125,0.8902433957274801,0.1499497659566472,0.6439146396581784,0.1832717483882915,0.6664370728341759,0.18496420880149747,0.42353630370331263,0.12365301602594904,0.6848462346347399,0.1273567329547489,-2.3109464173881107,7.419757590975105,1.3076641942307548,31.53617324839849,IV,IV
5,target_rv,ADM,123,1.0620088976560256,0.15737209558121779,0.42530904317273915,0.12420247161990294,0.42989463658527866,0.12566011167975663,0.3680812789240735,0.11518204365047635,0.43228068991224766,0.11152659773615653,-2.7858463746011175,5.53330688991716,1.236079414129599,28.971635514705994,IV,MEAN
