horizon,target,model_a,model_b,loss,mean_loss_diff,t_stat,a_better,b_better
5,target_rv,RV,ARCH,mse,0.005525968229009899,2.378819441981219,False,True
5,target_rv,RV,ARCH,qlike,0.9367988083326086,8.135679691000684,False,True
5,target_rv,RV,GARCH,mse,0.008381391249472481,2.728501227455331,False,True
5,target_rv,RV,GARCH,qlike,0.9325729867217307,8.12837262119755,False,True
5,target_rv,RV,IV,mse,0.02138187943711205,5.758909283827763,False,True
5,target_rv,RV,IV,qlike,1.076989067694221,8.743143759190348,False,True
5,target_rv,RV,MEAN,mse,0.018956930800149048,7.106217650321356,False,True
5,target_rv,RV,MEAN,qlike,0.8017325283684135,9.908198000451097,False,True
5,target_rv,ARCH,GARCH,mse,0.002855423020462579,2.4893341811428584,False,True
5,target_rv,ARCH,GARCH,qlike,-0.00422582161087795,-1.585207358978624,False,False
5,target_rv,ARCH,IV,mse,0.01585591120810215,7.0157238215687165,False,True
5,target_rv,ARCH,IV,qlike,0.1401902593616119,7.025264440710128,False,True
5,target_rv,ARCH,MEAN,mse,0.013430962571139151,8.717555890606233,False,True
5,target_rv,ARCH,MEAN,qlike,-0.13506627996419532,-1.9905812535302345,True,False
5,target_rv,GARCH,IV,mse,0.013000488187639572,9.662331991357135,False,True
5,target_rv,GARCH,IV,qlike,0.1444160809724899,7.192165660740058,False,True
5,target_rv,GARCH,MEAN,mse,0.010575539550676574,9.601734023128369,False,True
5,target_rv,GARCH,MEAN,qlike,-0.13084045835331734,-1.9526070664566038,False,False
5,target_rv,IV,MEAN,mse,-0.0024249486369630003,-1.6797559693675523,False,False
5,target_rv,IV,MEAN,qlike,-0.2752565393258072,-3.485101550058304,True,False
5,target_iv,RV,ARCH,mse,0.01565012451810477,8.250397745601543,False,True
5,target_iv,RV,ARCH,qlike,1.1542941112965501,10.71829672923976,False,True
5,target_iv,RV,GARCH,mse,0.01832523879668562,7.617851709560143,False,True
5,target_iv,RV,GARCH,qlike,1.1386877627569925,10.798561710619898,False,True
5,target_iv,RV,IV,mse,0.027625405586880685,9.734605713248296,False,True
5,target_iv,RV,IV,qlike,1.2340957094901166,11.61539565115174,False,True
5,target_iv,RV,MEAN,mse,0.01980858850052568,7.660476125687404,False,True
5,target_iv,RV,MEAN,qlike,0.9506264181783036,10.90791911729242,False,True
5,target_iv,ARCH,GARCH,mse,0.002675114278580859,2.3184993603247053,False,True
5,target_iv,ARCH,GARCH,qlike,-0.015606348539557767,-4.174943744837911,True,False
5,target_iv,ARCH,IV,mse,0.011975281068775916,6.404715273358965,False,True
5,target_iv,ARCH,IV,qlike,0.07980159819356653,13.093970577087564,False,True
5,target_iv,ARCH,MEAN,mse,0.00415846398242091,1.7721652640837697,False,False
5,target_iv,ARCH,MEAN,qlike,-0.20366769311824662,-3.7666156551411127,True,False
5,target_iv,GARCH,IV,mse,0.009300166790195057,11.568331565606197,False,True
5,target_iv,GARCH,IV,qlike,0.09540794673312428,15.714500455532788,False,True
5,target_iv,GARCH,MEAN,mse,0.0014833497038400515,0.9487143619158104,False,False
5,target_iv,GARCH,MEAN,qlike,-0.18806134457868887,-3.557353396517691,True,False
5,target_iv,IV,MEAN,mse,-0.007816817086355007,-6.015588867003477,True,False
5,target_iv,IV,MEAN,qlike,-0.2834692913118132,-5.361171935145476,True,False
21,target_rv,RV,ARCH,mse,-0.013989450660876524,-5.2551288902670885,True,False
21,target_rv,RV,ARCH,qlike,0.14905028669375486,2.445659831525249,False,True
21,target_rv,RV,GARCH,mse,-0.010327963979852833,-6.057683999147498,True,False
21,target_rv,RV,GARCH,qlike,0.15770973175288625,2.7318195408854637,False,True
21,target_rv,RV,IV,mse,0.013346887699150985,6.1823457583518024,False,True
21,target_rv,RV,IV,qlike,0.3063323851762191,5.555342127988184,False,True
21,target_rv,RV,MEAN,mse,0.007954333426117316,6.118062851042883,False,True
21,target_rv,RV,MEAN,qlike,0.11911539057272992,3.387405833923258,False,True
21,target_rv,ARCH,GARCH,mse,0.003661486681023691,2.1007217842339845,False,True
21,target_rv,ARCH,GARCH,qlike,0.008659445059131403,1.621624132287994,False,False
21,target_rv,ARCH,IV,mse,0.027336338360027516,6.1877734356114376,False,True
21,target_rv,ARCH,IV,qlike,0.15728209848246422,5.532183342266991,False,True
21,target_rv,ARCH,MEAN,mse,0.021943784086993837,6.244226590760891,False,True
21,target_rv,ARCH,MEAN,qlike,-0.029934896121024925,-0.39587269147468607,False,False
21,target_rv,GARCH,IV,mse,0.023674851679003822,8.174941979823776,False,True
21,target_rv,GARCH,IV,qlike,0.1486226534233328,6.21897939554091,False,True
21,target_rv,GARCH,MEAN,mse,0.018282297405970156,7.430995139602732,False,True
21,target_rv,GARCH,MEAN,qlike,-0.03859434118015633,-0.5253218025281429,False,False
21,target_rv,IV,MEAN,mse,-0.005392554273033671,-2.7415331944010615,True,False
21,target_rv,IV,MEAN,qlike,-0.18721699460348915,-2.419536686328289,True,False
21,target_iv,RV,ARCH,mse,-0.008979073454002416,-1.849196098811293,False,False
21,target_iv,RV,ARCH,qlike,0.20081966695372747,2.0272752822188527,False,True
21,target_iv,RV,GARCH,mse,-0.006346043267708781,-1.8416116354564285,False,False
21,target_iv,RV,GARCH,qlike,0.1909184145066497,2.1767455909152447,False,True
21,target_iv,RV,IV,mse,0.009898820887267422,5.390789694307789,False,True
21,target_iv,RV,IV,qlike,0.24361779287056934,3.3782257099327824,False,True
21,target_iv,RV,MEAN,mse,0.0086415739532845,6.675384742575192,False,True
21,target_iv,RV,MEAN,qlike,0.16474450271982483,2.995268730125483,False,True
21,target_iv,ARCH,GARCH,mse,0.0026330301862936335,1.462761987593641,False,False
21,target_iv,ARCH,GARCH,qlike,-0.009901252447077777,-0.7929759313062126,False,False
21,target_iv,ARCH,IV,mse,0.01887789434126983,4.29384509684252,False,True
21,target_iv,ARCH,IV,qlike,0.042798125916841886,1.400136111862044,False,False
21,target_iv,ARCH,MEAN,mse,0.017620647407286916,3.8475335402506117,False,True
21,target_iv,ARCH,MEAN,qlike,-0.03607516423390261,-0.7120269327978891,False,False
21,target_iv,GARCH,IV,mse,0.0162448641549762,6.07490404886169,False,True
21,target_iv,GARCH,IV,qlike,0.05269937836391967,2.6884243010991065,False,True
21,target_iv,GARCH,MEAN,mse,0.014987617220993281,5.00067713344861,False,True
21,target_iv,GARCH,MEAN,qlike,-0.026173911786824842,-0.6369401367416155,False,False
21,target_iv,IV,MEAN,mse,-0.0012572469339829195,-1.382170084089906,False,False
21,target_iv,IV,MEAN,qlike,-0.0788732901507445,-2.7015752695623463,True,False
