horizon,target,term,coef,t_stat,r2
5,target_rv,const,-0.010851117386676743,-1.1015440845061717,0.25476459748002955
5,target_rv,RV,0.01202278145369531,0.9998628089814271,0.25476459748002955
5,target_rv,ARCH,0.018579117790038065,0.7767472312423416,0.25476459748002955
5,target_rv,GARCH,-0.006200861031168431,-0.25993280910659994,0.25476459748002955
5,target_rv,IV,0.8368562252059324,13.989979867576281,0.25476459748002955
5,target_iv,const,0.022067610632486166,7.458888874428852,0.8409214655161654
5,target_iv,RV,-0.019679757935392242,-3.1902319372646324,0.8409214655161654
5,target_iv,ARCH,0.029839882071662355,2.784198339033299,0.8409214655161654
5,target_iv,GARCH,0.05864834495645045,5.110328504027787,0.8409214655161654
5,target_iv,IV,0.8466180278559277,30.786533902307273,0.8409214655161654
21,target_rv,const,-0.0012238710859661028,-0.23839859299119212,0.47552639638324146
21,target_rv,RV,-0.006325519591098138,-0.39498536206298657,0.47552639638324146
21,target_rv,ARCH,0.003072027411916996,0.09899689792426666,0.47552639638324146
21,target_rv,GARCH,0.027517973186114833,1.6869562809417467,0.47552639638324146
21,target_rv,IV,0.874107023373249,15.933517978155622,0.47552639638324146
21,target_iv,const,0.07555706975175747,9.985633812511583,0.554381582753078
21,target_iv,RV,0.0654450245235569,2.23881182209528,0.554381582753078
21,target_iv,ARCH,0.10439711468039031,2.544173817514348,0.554381582753078
21,target_iv,GARCH,0.04894784362445824,2.4444430713789136,0.554381582753078
21,target_iv,IV,0.4942737738404972,13.50550092573645,0.554381582753078
