horizon,target,model,rmse,qlike,mae,bias,corr,alpha,beta,t_alpha_eq_0,t_beta_eq_1,mz_joint_f,mz_joint_p,r2,rmse_vs_best,qlike_vs_best
5,target_rv,RV,0.2188394006131673,1.5529276747276484,0.13374402484650402,0.002714706867510633,0.23084907726201398,0.19458311663297156,0.23268775815731793,18.404724072090097,-34.26833588165187,1271.6648867617848,7.269062862262469e-277,0.05329129647272335,1.3440965025075915,3.2628739332730294
5,target_rv,ARCH,0.20582690550975216,0.61612886639504,0.14139010057522747,0.084691172974959,0.3432950844353437,0.11461705014398751,0.41225207501399175,9.07984775405352,-20.61215595495611,579.0099268999518,1.8603381406932664e-126,0.11785151499746904,1.2641746552150472,1.294555342411559
5,target_rv,GARCH,0.198769444360188,0.620354688005918,0.14002702152175295,0.0797801170290895,0.3474942935265683,0.10328548066085536,0.45221738629425723,11.438390096818019,-32.96694260689686,1127.2130808195916,1.693516902009698e-245,0.12075228403352878,1.2208282156747554,1.3034342640800867
5,target_rv,IV,0.16281524444479484,0.47593860703342816,0.11322812203786557,0.05381779772728304,0.5044143393520801,-0.009844672452704078,0.8573373699508859,-0.9141214628601674,-3.4847059303853785,78.08328268927629,1.1077215369101838e-17,0.25443382574399565,1.0,1.0
5,target_rv,MEAN,0.17009924297474488,0.7511951463592352,0.10336021294526217,-0.001667870667300447,0.3487510461711115,0.09642912737501225,0.6250730113937788,6.352264326698061,-6.6041212644286915,45.77394006665698,1.1489872435802207e-10,0.12162729220544521,1.0447378165035388,1.5783446336524536
5,target_iv,RV,0.17171403722744022,1.2656312116108377,0.1176568929886495,-0.05055207995014301,0.403882517819065,0.2462511649087363,0.23890542256401148,30.76068294954848,-26.847663412378758,1023.0036168918373,7.204222350856047e-223,0.1631210881998676,3.9811975048621,40.13353606249368
5,target_iv,ARCH,0.11762476806711235,0.11133710031428835,0.06744518979569838,0.03142438615730534,0.6428638294891061,0.15405129433222436,0.4530434086604128,13.13967420023477,-13.75654517106202,193.82605194905747,8.150938094228916e-43,0.4132739032653985,2.7271354206092693,3.530532029839762
5,target_iv,GARCH,0.10564313410847444,0.12694344885384615,0.06833460282564233,0.026513330211435863,0.6669811448984239,0.13745012367338252,0.5093762538968836,19.569143287574988,-20.620584669256004,493.7120896301929,6.191300912964124e-108,0.4448638476500121,2.4493407103426965,4.025413908676342
5,target_iv,IV,0.04313125310104102,0.031535502120721884,0.027996546598092805,0.0005510109096293994,0.9141509971378208,0.02662968073350637,0.9118172990400246,7.286491774377161,-4.477980007024416,68.866002031529,1.1115721661734584e-15,0.8356720455680742,1.0,1.0
5,target_iv,MEAN,0.09837236441410292,0.3150047934325349,0.07183760781635291,-0.05493465748495409,0.6771470887161337,0.1276658752774059,0.7122358080507813,7.781247267586583,-4.540685635319334,99.11647103804728,3.0000727154130053e-22,0.458528179756736,2.280767595220381,9.988894174782972
21,target_rv,RV,0.15624514036021164,0.4831515025104489,0.09883848729577045,-0.0010469193944779975,0.3761262558188761,0.1790744886410218,0.36516500324495993,15.662336007511355,-15.83631725622932,319.9226091879269,3.386008911654899e-70,0.141470960316326,1.4853128294105622,2.732461906803769
21,target_rv,ARCH,0.19596426854673984,0.334101215816694,0.12870809085114887,0.095315413631623,0.45027218149877635,0.1524331673732498,0.34248194584563296,15.899026466982267,-21.035693538221885,449.1079332984009,3.002281393663775e-98,0.20274503743166683,1.862894689124366,1.8895084471277164
21,target_rv,GARCH,0.18638805719797358,0.3254417707575626,0.12038224024319322,0.07767711157627412,0.42698375691464036,0.15981531304643803,0.33874722231721355,30.930824833122912,-35.3238714296602,2634.9977259194766,0.0,0.18231512866894073,1.771860372532644,1.840534980968155
21,target_rv,IV,0.1051934227365535,0.17681911733422978,0.07198952990795089,0.031338408595944806,0.6889800766119929,0.00013333716528493686,0.8993923328819237,0.024527616172892865,-2.8091848400741,115.01348223862597,1.0595944128736018e-25,0.47469354596826896,1.0,1.0
21,target_rv,MEAN,0.12828955709669015,0.364036111937719,0.07952352572640901,-0.011693413773865582,0.4855851807016465,0.11667466294668823,0.6108703383731013,5.977099961233176,-5.959973259291757,38.45893832716784,4.453973741642055e-09,0.2357929677170516,1.2195587305679618,2.0588051644302974
21,target_iv,RV,0.1283855488061469,0.3554859933518128,0.08763559463868,-0.02501172083782875,0.5134387098997476,0.1989785610398347,0.3796453049236417,14.207876030953612,-18.871813053661597,460.2713872575257,1.1306759849588944e-100,0.2636193088235177,1.5822324926664284,3.177721567188488
21,target_iv,ARCH,0.1595679247100054,0.1546663263980853,0.0926907823810181,0.07135061218827224,0.6168581624239277,0.17079949504220693,0.35734014429602556,22.784319994172286,-16.780022992470798,581.319441469914,5.862558282417937e-127,0.38051399254902585,1.9665262766040594,1.3825763329769278
21,target_iv,GARCH,0.15109233074502595,0.1645675788451631,0.08848150017513075,0.053712310132923366,0.5823612108622285,0.17906452190918534,0.3518768987576222,29.45521755035091,-24.31523915240329,2379.0651215970247,0.0,0.3391445799169198,1.862072463143429,1.4710845274815665
21,target_iv,IV,0.08114202520881586,0.11186820048124341,0.06148733328223511,0.007373607152594042,0.7052008611435673,0.08612256478756221,0.7011150314083455,9.535367464739231,-9.88090422151287,269.49963215476015,3.012301514275315e-59,0.4973082545576296,1.0,1.0
21,target_iv,MEAN,0.0885509750876354,0.19074149063198792,0.06263844292829437,-0.03565821521721634,0.7150566521316869,0.12061172096929092,0.6851063479640747,10.48382493901005,-5.359352502241039,116.86776706639125,4.1926327783022234e-26,0.5113060157577742,1.0913084170595064,1.7050555011293755
