signal_date,entry_date,expiration,strike,zscore,direction,entry_mark,entry_cost,entry_iv,exit_date,exit_mark,gross,zero_bid_exit,net,exit_cost,iv_change
2017-04-05,2017-04-06,2017-05-05,2355.0,1.6156290376478832,-1,53.6,2.0,0.1008,2017-04-13,52.8,80.00000000000043,false,76.00000000000043,2.0,0.006600000000000009
2017-04-13,2017-04-17,2017-05-12,2330.0,4.163169926786484,-1,65.75,2.0,0.1297,2017-04-24,57.1,864.9999999999999,false,860.9999999999999,2.0,-0.030050000000000007
2017-04-24,2017-04-25,2017-05-22,2375.0,-1.315218371860627,1,44.3,2.0,0.08155000000000001,2017-05-02,39.05,-525.0,false,-529.0,2.0,-0.000800000000000009
2017-05-02,2017-05-03,2017-05-31,2390.0,-1.3286892727517565,1,40.9,2.0,0.07745,2017-05-10,33.800000000000004,-709.9999999999994,false,-713.9999999999994,2.0,-0.006949999999999998
2017-05-10,2017-05-11,2017-06-09,2400.0,-1.4165467307087465,1,41.5,2.0,0.0769,2017-05-18,48.75,725.0,false,721.0,2.0,0.011200000000000015
2017-05-18,2017-05-19,2017-06-16,2365.0,1.070832234653845,-1,54.85,2.0,0.1,2017-05-26,61.8,-694.9999999999995,false,-698.9999999999995,2.0,-0.010050000000000003
2017-05-26,2017-05-30,2017-06-26,2415.0,-1.3341926510246884,1,38.6,2.0,0.07370000000000002,2017-06-06,39.85,125.0,false,121.0,2.0,0.009199999999999986
2017-07-14,2017-07-17,2017-08-14,2460.0,-1.3021252762534614,1,36.35,2.0,0.06675,2017-07-24,32.85,-350.0,false,-354.0,2.0,-0.00045000000000000595
2017-07-25,2017-07-26,2017-08-23,2475.0,-1.3391552590505442,1,36.300000000000004,2.0,0.06565000000000001,2017-08-02,30.55,-575.0000000000003,false,-579.0000000000003,2.0,-0.0018500000000000183
2017-08-10,2017-08-11,2017-09-08,2440.0,3.842786271060303,-1,61.55,2.0,0.11395,2017-08-18,48.7,1284.9999999999995,false,1280.9999999999995,2.0,-0.011399999999999993
2017-08-18,2017-08-21,2017-09-18,2425.0,2.9653441946147527,-1,56.550000000000004,2.0,0.10500000000000001,2017-08-28,46.3,1025.0000000000007,false,1021.0000000000007,2.0,-0.0131
2017-09-15,2017-09-18,2017-10-16,2500.0,-1.240234568100712,1,37.3,2.0,0.06665,2017-09-25,32.25,-504.9999999999997,false,-508.9999999999997,2.0,0.0007500000000000007
2017-09-29,2017-10-02,2017-10-30,2520.0,-1.0072683738791242,1,38.2,2.0,0.066,2017-10-09,44.349999999999994,614.9999999999991,false,610.9999999999991,2.0,0.012999999999999998
2017-10-13,2017-10-16,2017-11-13,2555.0,-1.0552614038879473,1,35.8,2.0,0.06280000000000001,2017-10-23,40.2,440.00000000000057,false,436.00000000000057,2.0,0.016549999999999995
2017-11-15,2017-11-16,2017-12-15,2565.0,2.693608940064077,-1,57.300000000000004,2.0,0.09295,2017-11-24,52.349999999999994,495.000000000001,false,491.000000000001,2.0,-0.011950000000000002
2017-11-29,2017-11-30,2017-12-29,2625.0,1.5055791759965462,-1,59.25,2.0,0.0933,2017-12-07,45.15,1410.0000000000002,false,1406.0000000000002,2.0,-0.008799999999999988
2018-01-16,2018-01-17,2018-02-14,2780.0,2.2957272204327914,-1,62.45,2.0,0.0952,2018-01-24,79.0,-1654.9999999999998,false,-1658.9999999999998,2.0,0.018000000000000002
2018-01-24,2018-01-25,2018-02-23,2840.0,2.282587578763949,-1,60.7,2.0,0.09495,2018-02-01,61.900000000000006,-120.00000000000028,false,-124.00000000000028,2.0,0.014550000000000007
