mode,trades,skipped_entries,gross_pnl,net_pnl,costs,win_rate,mean_trade,worst_trade,max_drawdown,missing_marks
reversion,119,51,24315.000000000007,-56300.99999999998,80616.0,0.4369747899159664,-473.11764705882337,-30583.999999999996,-68392.99999999999,4
long,119,51,37334.99999999997,-43281.00000000003,80616.0,0.3445378151260504,-363.70588235294144,-14394.000000000002,-100819.50000000003,4
short,119,51,-37334.99999999997,-117950.99999999999,80616.0,0.5546218487394958,-991.1848739495797,-51223.99999999999,-131562.99999999994,4
midpoint-fees,119,51,24315.000000000007,23839.000000000007,476.0,0.4957983193277311,200.32773109243703,-28759.0,-50853.5,4
half-crossing,119,51,24315.000000000007,-16231.0,40546.0,0.4789915966386555,-136.39495798319328,-29671.5,-54573.49999999999,4
two-sided-exit,119,50,7040.000000000013,-41510.99999999999,48551.0,0.44537815126050423,-348.8319327731092,-30583.999999999996,-59197.99999999999,4
