signal_date,entry_date,expiration,strike,zscore,direction,entry_mark,entry_cost,entry_iv,exit_date,exit_mark,gross,zero_bid_exit,net,exit_cost,iv_change
2017-04-05,2017-04-06,2017-05-05,2355.0,1.6156290376478832,-1,53.6,52.0,0.1008,2017-04-13,52.8,80.00000000000043,false,-53.999999999999645,82.00000000000007,0.006600000000000009
2017-04-13,2017-04-17,2017-05-12,2330.0,4.163169926786484,-1,65.75,76.99999999999983,0.1297,2017-04-24,57.1,864.9999999999999,false,665.9999999999998,122.00000000000028,-0.030050000000000007
2017-04-24,2017-04-25,2017-05-22,2375.0,-1.315218371860627,1,44.3,81.99999999999989,0.08155000000000001,2017-05-02,39.05,-525.0,false,-684.0,77.00000000000017,-0.000800000000000009
2017-05-02,2017-05-03,2017-05-31,2390.0,-1.3286892727517565,1,40.9,82.00000000000026,0.07745,2017-05-10,33.800000000000004,-709.9999999999994,false,-843.9999999999997,52.0,-0.006949999999999998
2017-05-10,2017-05-11,2017-06-09,2400.0,-1.4165467307087465,1,41.5,72.00000000000011,0.0769,2017-05-18,48.75,725.0,false,545.9999999999998,107.00000000000007,0.011200000000000015
2017-05-18,2017-05-19,2017-06-16,2365.0,1.070832234653845,-1,54.85,76.99999999999983,0.1,2017-05-26,61.8,-694.9999999999995,false,-833.9999999999995,62.00000000000023,-0.010050000000000003
2017-05-26,2017-05-30,2017-06-26,2415.0,-1.3341926510246884,1,38.6,82.00000000000007,0.07370000000000002,2017-06-06,39.85,125.0,false,-24.0000000000001,67.00000000000003,0.009199999999999986
2017-07-14,2017-07-17,2017-08-14,2460.0,-1.3021252762534614,1,36.35,57.00000000000007,0.06675,2017-07-24,32.85,-350.0,false,-463.99999999999994,56.99999999999989,-0.00045000000000000595
2017-07-25,2017-07-26,2017-08-23,2475.0,-1.3391552590505442,1,36.300000000000004,82.00000000000007,0.06565000000000001,2017-08-02,30.55,-575.0000000000003,false,-714.0000000000005,56.999999999999986,-0.0018500000000000183
2017-08-10,2017-08-11,2017-09-08,2440.0,3.842786271060303,-1,61.55,97.00000000000011,0.11395,2017-08-18,48.7,1284.9999999999995,false,1095.9999999999995,92.00000000000003,-0.011399999999999993
2017-08-18,2017-08-21,2017-09-18,2425.0,2.9653441946147527,-1,56.550000000000004,87.00000000000014,0.10500000000000001,2017-08-28,46.3,1025.0000000000007,false,876.0000000000008,61.99999999999979,-0.0131
2017-09-15,2017-09-18,2017-10-16,2500.0,-1.240234568100712,1,37.3,61.99999999999987,0.06665,2017-09-25,32.25,-504.9999999999997,false,-623.9999999999997,57.00000000000007,0.0007500000000000007
2017-09-29,2017-10-02,2017-10-30,2520.0,-1.0072683738791242,1,38.2,61.999999999999964,0.066,2017-10-09,44.349999999999994,614.9999999999991,false,495.9999999999993,56.9999999999998,0.012999999999999998
2017-10-13,2017-10-16,2017-11-13,2555.0,-1.0552614038879473,1,35.8,52.0,0.06280000000000001,2017-10-23,40.2,440.00000000000057,false,326.0000000000005,62.00000000000006,0.016549999999999995
2017-11-15,2017-11-16,2017-12-15,2565.0,2.693608940064077,-1,57.300000000000004,52.0,0.09295,2017-11-24,52.349999999999994,495.000000000001,false,396.000000000001,47.000000000000014,-0.011950000000000002
2017-11-29,2017-11-30,2017-12-29,2625.0,1.5055791759965462,-1,59.25,96.99999999999974,0.0933,2017-12-07,45.15,1410.0000000000002,false,1236.0000000000005,77.0,-0.008799999999999988
2018-01-16,2018-01-17,2018-02-14,2780.0,2.2957272204327914,-1,62.45,96.99999999999974,0.0952,2018-01-24,79.0,-1654.9999999999998,false,-1833.9999999999995,81.99999999999999,0.018000000000000002
2018-01-24,2018-01-25,2018-02-23,2840.0,2.282587578763949,-1,60.7,71.99999999999993,0.09495,2018-02-01,61.900000000000006,-120.00000000000028,false,-284.00000000000045,92.00000000000021,0.014550000000000007
2018-02-01,2018-02-02,2018-03-02,2820.0,2.849127386188202,-1,88.0,142.00000000000057,0.12304999999999999,2018-02-09,205.875,-11787.5,false,-12509.0,579.4999999999991,0.07955000000000001
2018-10-04,2018-10-05,2018-11-02,2900.0,2.7059919215719823,-1,69.65,116.99999999999986,0.10835,2018-10-12,136.875,-6722.499999999999,false,-7063.999999999998,224.49999999999943,0.030500000000000027
2018-10-12,2018-10-15,2018-11-12,2765.0,3.567616479919591,-1,104.19999999999999,132.00000000000006,0.17060000000000003,2018-10-22,87.35,1684.9999999999995,false,1465.9999999999993,87.00000000000014,-0.005400000000000016
2018-10-22,2018-10-23,2018-11-21,2760.0,2.0357830978434976,-1,103.8,142.00000000000023,0.16685,2018-10-30,118.5,-1470.0000000000002,false,-1774.0,161.99999999999943,0.024550000000000016
2019-01-31,2019-02-01,2019-03-01,2700.0,-1.2126788364810073,1,80.75,57.00000000000007,0.13435,2019-02-08,68.0,-1275.0,false,-1384.0,52.0,-0.0040999999999999925
2019-02-08,2019-02-11,2019-03-11,2710.0,-1.2867041217746173,1,77.80000000000001,62.00000000000014,0.1322,2019-02-19,92.30000000000001,1450.0,false,1275.9999999999995,112.00000000000023,0.005449999999999983
2019-02-19,2019-02-20,2019-03-20,2780.0,-1.2782843628239675,1,72.2,62.00000000000014,0.11895,2019-02-27,65.5,-670.0000000000002,false,-794.0000000000005,62.00000000000014,0.004500000000000004
2019-02-27,2019-02-28,2019-03-29,2790.0,-1.0675345544598436,1,73.80000000000001,11.999999999999787,0.11985000000000001,2019-03-07,73.55,-25.00000000000142,false,-94.00000000000128,57.00000000000007,0.006749999999999978
2019-03-11,2019-03-12,2019-04-08,2785.0,-1.0488905907524264,1,68.30000000000001,61.999999999999964,0.11195000000000001,2019-03-19,77.8,949.9999999999986,false,775.9999999999989,111.99999999999979,0.012649999999999995
2019-03-29,2019-04-01,2019-04-29,2850.0,-1.0298312193022012,1,72.19999999999999,61.999999999999964,0.1107,2019-04-08,73.3,110.00000000000085,false,-3.999999999999197,52.000000000000085,-0.0003000000000000086
2019-04-10,2019-04-11,2019-05-10,2890.0,-1.2683906793572282,1,67.45,46.99999999999993,0.10375000000000001,2019-04-18,60.15,-730.0000000000005,false,-824.0000000000005,47.00000000000011,-0.001350000000000004
2019-04-18,2019-04-22,2019-05-17,2905.0,-1.5127222767914648,1,60.7,42.00000000000039,0.09955,2019-04-29,66.6,589.9999999999991,false,505.9999999999988,41.99999999999994,0.010599999999999998
2019-04-29,2019-04-30,2019-05-28,2945.0,-1.5043947006165965,1,64.30000000000001,82.00000000000026,0.09845000000000001,2019-05-07,90.05,2574.9999999999986,false,2385.9999999999986,106.99999999999972,0.0398
2019-05-08,2019-05-09,2019-06-07,2880.0,3.4859166381087663,-1,107.1,142.00000000000023,0.16565000000000002,2019-05-16,74.2,3289.999999999999,false,3085.999999999999,62.00000000000014,-0.03400000000000003
2019-05-23,2019-05-24,2019-06-21,2820.0,1.5342874501798616,-1,92.80000000000001,52.0,0.14815,2019-06-03,95.35,-254.9999999999983,false,-443.9999999999984,137.00000000000014,0.0019000000000000128
