year,gross,net
2017,3705.0000000000027,1396.0000000000018
2018,-20070.0,-21999.0
2019,14609.999999999998,11110.0
2020,-3275.0000000000055,-9676.000000000002
2021,0.0,0.0
2022,33950.0,-5577.999999999991
2023,13715.000000000004,4744.000000000002
2024,-4815.000000000016,-14540.000000000022
2025,-13504.999999999996,-21757.99999999999
