date,gross,net,costs,missing_marks
2017-01-03,0.0,0.0,0.0,0
2017-01-04,0.0,0.0,0.0,0
2017-01-05,0.0,0.0,0.0,0
2017-01-06,0.0,0.0,0.0,0
2017-01-09,0.0,0.0,0.0,0
2017-01-10,0.0,0.0,0.0,0
2017-01-11,0.0,0.0,0.0,0
2017-01-12,0.0,0.0,0.0,0
2017-01-13,0.0,0.0,0.0,0
2017-01-17,0.0,0.0,0.0,0
2017-01-18,0.0,0.0,0.0,0
2017-01-19,0.0,0.0,0.0,0
2017-01-20,0.0,0.0,0.0,0
2017-01-23,0.0,0.0,0.0,0
2017-01-24,0.0,0.0,0.0,0
2017-01-25,0.0,0.0,0.0,0
2017-01-26,0.0,0.0,0.0,0
2017-01-27,0.0,0.0,0.0,0
2017-01-30,0.0,0.0,0.0,0
2017-01-31,0.0,0.0,0.0,0
2017-02-01,0.0,0.0,0.0,0
2017-02-02,0.0,0.0,0.0,0
2017-02-03,0.0,0.0,0.0,0
2017-02-06,0.0,0.0,0.0,0
2017-02-07,0.0,0.0,0.0,0
2017-02-08,0.0,0.0,0.0,0
2017-02-09,0.0,0.0,0.0,0
2017-02-10,0.0,0.0,0.0,0
2017-02-13,0.0,0.0,0.0,0
2017-02-14,0.0,0.0,0.0,0
2017-02-15,0.0,0.0,0.0,0
2017-02-16,0.0,0.0,0.0,0
2017-02-17,0.0,0.0,0.0,0
2017-02-21,0.0,0.0,0.0,0
2017-02-22,0.0,0.0,0.0,0
2017-02-23,0.0,0.0,0.0,0
2017-02-24,0.0,0.0,0.0,0
2017-02-27,0.0,0.0,0.0,0
2017-02-28,0.0,0.0,0.0,0
2017-03-01,0.0,0.0,0.0,0
2017-03-02,0.0,0.0,0.0,0
2017-03-03,0.0,0.0,0.0,0
2017-03-06,0.0,0.0,0.0,0
2017-03-07,0.0,0.0,0.0,0
2017-03-08,0.0,0.0,0.0,0
2017-03-09,0.0,0.0,0.0,0
2017-03-10,0.0,0.0,0.0,0
2017-03-13,0.0,0.0,0.0,0
2017-03-14,0.0,0.0,0.0,0
2017-03-15,0.0,0.0,0.0,0
2017-03-16,0.0,0.0,0.0,0
2017-03-17,0.0,0.0,0.0,0
2017-03-20,0.0,0.0,0.0,0
2017-03-21,0.0,0.0,0.0,0
2017-03-22,0.0,0.0,0.0,0
2017-03-23,0.0,0.0,0.0,0
2017-03-24,0.0,0.0,0.0,0
2017-03-27,0.0,0.0,0.0,0
2017-03-28,0.0,0.0,0.0,0
2017-03-29,0.0,0.0,0.0,0
2017-03-30,0.0,0.0,0.0,0
2017-03-31,0.0,0.0,0.0,0
2017-04-03,0.0,0.0,0.0,0
2017-04-04,0.0,0.0,0.0,0
2017-04-05,0.0,0.0,0.0,0
2017-04-06,0.0,-52.0,52.0,0
2017-04-07,64.99999999999986,64.99999999999986,0.0,0
2017-04-10,-139.99999999999986,-139.99999999999986,0.0,0
2017-04-11,-70.00000000000028,-70.00000000000028,0.0,0
2017-04-12,210.00000000000014,210.00000000000014,0.0,0
2017-04-13,15.000000000000568,-66.9999999999995,82.00000000000007,0
2017-04-17,0.0,-76.99999999999983,76.99999999999983,0
2017-04-18,400.0,400.0,0.0,0
2017-04-19,59.99999999999943,59.99999999999943,0.0,0
2017-04-20,-119.99999999999957,-119.99999999999957,0.0,0
2017-04-21,-119.99999999999957,-119.99999999999957,0.0,0
2017-04-24,644.9999999999995,522.9999999999993,122.00000000000028,0
2017-04-25,0.0,-81.99999999999989,81.99999999999989,0
2017-04-26,119.99999999999957,119.99999999999957,0.0,0
2017-04-27,95.00000000000028,95.00000000000028,0.0,0
2017-04-28,244.99999999999957,244.99999999999957,0.0,0
2017-05-01,154.99999999999972,154.99999999999972,0.0,0
2017-05-02,-89.99999999999915,-166.99999999999932,77.00000000000017,0
2017-05-03,0.0,-82.00000000000026,82.00000000000026,0
2017-05-04,154.99999999999972,154.99999999999972,0.0,0
2017-05-05,-99.99999999999929,-99.99999999999929,0.0,0
2017-05-08,634.9999999999994,634.9999999999994,0.0,0
2017-05-09,10.000000000000142,10.000000000000142,0.0,0
2017-05-10,9.999999999999432,-42.00000000000057,52.0,0
2017-05-11,0.0,-72.00000000000011,72.00000000000011,0
2017-05-12,259.99999999999943,259.99999999999943,0.0,0
2017-05-15,320.0000000000003,320.0000000000003,0.0,0
2017-05-16,145.00000000000028,145.00000000000028,0.0,0
2017-05-17,-2080.0000000000005,-2080.0000000000005,0.0,0
2017-05-18,630.0000000000005,523.0000000000003,107.00000000000007,0
2017-05-19,0.0,-76.99999999999983,76.99999999999983,0
2017-05-22,130.00000000000043,130.00000000000043,0.0,0
2017-05-23,-180.00000000000043,-180.00000000000043,0.0,0
2017-05-24,54.999999999999716,54.999999999999716,0.0,0
2017-05-25,-714.9999999999991,-714.9999999999991,0.0,0
2017-05-26,14.999999999999858,-47.00000000000037,62.00000000000023,0
2017-05-30,0.0,-82.00000000000007,82.00000000000007,0
2017-05-31,10.000000000000142,10.000000000000142,0.0,0
2017-06-01,-310.0000000000001,-310.0000000000001,0.0,0
2017-06-02,-219.99999999999957,-219.99999999999957,0.0,0
2017-06-05,269.99999999999955,269.99999999999955,0.0,0
2017-06-06,125.0,57.99999999999997,67.00000000000003,0
2017-06-07,0.0,0.0,0.0,0
2017-06-08,0.0,0.0,0.0,0
2017-06-09,0.0,0.0,0.0,0
2017-06-12,0.0,0.0,0.0,0
2017-06-13,0.0,0.0,0.0,0
2017-06-14,0.0,0.0,0.0,0
2017-06-15,0.0,0.0,0.0,0
2017-06-16,0.0,0.0,0.0,0
2017-06-19,0.0,0.0,0.0,0
2017-06-20,0.0,0.0,0.0,0
2017-06-21,0.0,0.0,0.0,0
2017-06-22,0.0,0.0,0.0,0
2017-06-23,0.0,0.0,0.0,0
2017-06-26,0.0,0.0,0.0,0
2017-06-27,0.0,0.0,0.0,0
2017-06-28,0.0,0.0,0.0,0
2017-06-29,0.0,0.0,0.0,0
2017-06-30,0.0,0.0,0.0,0
2017-07-03,0.0,0.0,0.0,0
2017-07-05,0.0,0.0,0.0,0
2017-07-06,0.0,0.0,0.0,0
2017-07-07,0.0,0.0,0.0,0
2017-07-10,0.0,0.0,0.0,0
2017-07-11,0.0,0.0,0.0,0
2017-07-12,0.0,0.0,0.0,0
2017-07-13,0.0,0.0,0.0,0
2017-07-14,0.0,0.0,0.0,0
2017-07-17,0.0,-57.00000000000007,57.00000000000007,0
2017-07-18,35.00000000000014,35.00000000000014,0.0,0
2017-07-19,-350.0,-350.0,0.0,0
2017-07-20,129.99999999999972,129.99999999999972,0.0,0
2017-07-21,285.0000000000001,285.0000000000001,0.0,0
2017-07-24,250.0,193.0000000000001,56.99999999999989,0
2017-07-25,0.0,0.0,0.0,0
2017-07-26,0.0,-82.00000000000007,82.00000000000007,0
2017-07-27,-19.999999999999574,-19.999999999999574,0.0,0
2017-07-28,125.0,125.0,0.0,0
2017-07-31,0.0,0.0,0.0,1
2017-08-01,400.0,400.0,0.0,0
2017-08-02,69.99999999999993,12.999999999999943,56.999999999999986,0
2017-08-03,0.0,0.0,0.0,0
2017-08-04,0.0,0.0,0.0,0
2017-08-07,0.0,0.0,0.0,0
2017-08-08,0.0,0.0,0.0,0
2017-08-09,0.0,0.0,0.0,0
2017-08-10,0.0,0.0,0.0,0
2017-08-11,0.0,-97.00000000000011,97.00000000000011,0
2017-08-14,600.0,600.0,0.0,0
2017-08-15,214.99999999999986,214.99999999999986,0.0,0
2017-08-16,54.999999999999005,54.999999999999005,0.0,0
2017-08-17,115.00000000000057,115.00000000000057,0.0,0
2017-08-18,300.0,207.99999999999997,92.00000000000003,0
2017-08-21,0.0,-87.00000000000014,87.00000000000014,0
2017-08-22,-64.99999999999986,-64.99999999999986,0.0,0
2017-08-23,194.99999999999957,194.99999999999957,0.0,0
2017-08-24,225.0000000000007,225.0000000000007,0.0,0
2017-08-25,419.99999999999955,419.99999999999955,0.0,0
2017-08-28,250.0000000000007,188.0000000000009,61.99999999999979,0
2017-08-29,0.0,0.0,0.0,0
2017-08-30,0.0,0.0,0.0,0
2017-08-31,0.0,0.0,0.0,0
2017-09-01,0.0,0.0,0.0,0
2017-09-05,0.0,0.0,0.0,0
2017-09-06,0.0,0.0,0.0,0
2017-09-07,0.0,0.0,0.0,0
2017-09-08,0.0,0.0,0.0,0
2017-09-11,0.0,0.0,0.0,0
2017-09-12,0.0,0.0,0.0,0
2017-09-13,0.0,0.0,0.0,0
2017-09-14,0.0,0.0,0.0,0
2017-09-15,0.0,0.0,0.0,0
2017-09-18,0.0,-61.99999999999987,61.99999999999987,0
2017-09-19,-60.00000000000014,-60.00000000000014,0.0,0
2017-09-20,89.99999999999986,89.99999999999986,0.0,0
2017-09-21,270.0000000000003,270.0000000000003,0.0,0
2017-09-22,119.99999999999957,119.99999999999957,0.0,0
2017-09-25,85.00000000000014,28.00000000000007,57.00000000000007,0
2017-09-26,0.0,0.0,0.0,0
2017-09-27,0.0,0.0,0.0,0
2017-09-28,0.0,0.0,0.0,0
2017-09-29,0.0,0.0,0.0,0
2017-10-02,0.0,-61.999999999999964,61.999999999999964,0
2017-10-03,-270.0000000000003,-270.0000000000003,0.0,0
2017-10-04,35.00000000000085,35.00000000000085,0.0,0
2017-10-05,-745.0000000000002,-745.0000000000002,0.0,0
2017-10-06,295.0000000000003,295.0000000000003,0.0,0
2017-10-09,70.00000000000028,13.000000000000483,56.9999999999998,0
2017-10-10,0.0,0.0,0.0,0
2017-10-11,0.0,0.0,0.0,0
2017-10-12,0.0,0.0,0.0,0
2017-10-13,0.0,0.0,0.0,0
2017-10-16,0.0,-52.0,52.0,0
2017-10-17,-55.000000000000426,-55.000000000000426,0.0,0
2017-10-18,25.0,25.0,0.0,0
2017-10-19,-14.999999999999858,-14.999999999999858,0.0,0
2017-10-20,-625.0,-625.0,0.0,0
2017-10-23,229.99999999999972,167.99999999999966,62.00000000000006,0
2017-10-24,0.0,0.0,0.0,0
2017-10-25,0.0,0.0,0.0,0
2017-10-26,0.0,0.0,0.0,0
2017-10-27,0.0,0.0,0.0,0
2017-10-30,0.0,0.0,0.0,0
2017-10-31,0.0,0.0,0.0,0
2017-11-01,0.0,0.0,0.0,0
2017-11-02,0.0,0.0,0.0,0
2017-11-03,0.0,0.0,0.0,0
2017-11-06,0.0,0.0,0.0,0
2017-11-07,0.0,0.0,0.0,0
2017-11-08,0.0,0.0,0.0,0
2017-11-09,0.0,0.0,0.0,0
2017-11-10,0.0,0.0,0.0,0
2017-11-13,0.0,0.0,0.0,0
2017-11-14,0.0,0.0,0.0,0
2017-11-15,0.0,0.0,0.0,0
2017-11-16,0.0,-52.0,52.0,0
2017-11-17,660.0000000000001,660.0000000000001,0.0,0
2017-11-20,220.00000000000028,220.00000000000028,0.0,0
2017-11-21,-300.0,-300.0,0.0,0
2017-11-22,124.99999999999929,124.99999999999929,0.0,0
2017-11-24,-209.99999999999872,-256.99999999999875,47.000000000000014,0
2017-11-27,0.0,0.0,0.0,0
2017-11-28,0.0,0.0,0.0,0
2017-11-29,0.0,0.0,0.0,0
2017-11-30,0.0,-96.99999999999974,96.99999999999974,0
2017-12-01,-54.999999999999716,-54.999999999999716,0.0,0
2017-12-04,554.9999999999998,554.9999999999998,0.0,0
2017-12-05,635.0000000000001,635.0000000000001,0.0,0
2017-12-06,244.99999999999957,244.99999999999957,0.0,0
2017-12-07,30.000000000000426,-46.999999999999574,77.0,0
2017-12-08,0.0,0.0,0.0,0
2017-12-11,0.0,0.0,0.0,0
2017-12-12,0.0,0.0,0.0,0
2017-12-13,0.0,0.0,0.0,0
2017-12-14,0.0,0.0,0.0,0
2017-12-15,0.0,0.0,0.0,0
2017-12-18,0.0,0.0,0.0,0
2017-12-19,0.0,0.0,0.0,0
2017-12-20,0.0,0.0,0.0,0
2017-12-21,0.0,0.0,0.0,0
2017-12-22,0.0,0.0,0.0,0
2017-12-26,0.0,0.0,0.0,0
2017-12-27,0.0,0.0,0.0,0
2017-12-28,0.0,0.0,0.0,0
2017-12-29,0.0,0.0,0.0,0
2018-01-02,0.0,0.0,0.0,0
2018-01-03,0.0,0.0,0.0,0
2018-01-04,0.0,0.0,0.0,0
2018-01-05,0.0,0.0,0.0,0
2018-01-08,0.0,0.0,0.0,0
2018-01-09,0.0,0.0,0.0,0
2018-01-10,0.0,0.0,0.0,0
2018-01-11,0.0,0.0,0.0,0
2018-01-12,0.0,0.0,0.0,0
2018-01-16,0.0,0.0,0.0,0
2018-01-17,0.0,-96.99999999999974,96.99999999999974,0
